original categorynames,how categorynames should look,guessing extra,extra information category
Percentage of people being fully vaccinated against Covid (higher is better),The percentage of people being fully vaccinated against Covid-10 is higher in CountryA than in CountryB,,
Percentage of people being satisfied with their education quality (higher is better),The percentage of people being satisfied with their education quality is higher in CountryA than in CountryB,,
Percentage of people being satisfied with their standard of living (higher is better),The percentage of people being satisfied with their standard of living is higher in CountryA than in CountryB,,
Percentage of people being satsified with environment policy of government (higher is better),The percentage of people being satisfied with the environment policy of their government is higher in CountryA than in CountryB,,
Percentage of people feeling safe walking alone (at night) (higher is better),More people feel safe walking alone at night in CountryA than in CountryB,,
Percentage of people feeling safe walking alone (during the day) (higher is better),More people feel safe walking alone during the day in CountryA than in CountryB,,
Percentage of people having a credit card (higher is better),More people have a credit card in CountryA than in CountryB,,
Percentage of people having confidence in the judical system (higher is better),The percentage of people having confidence in their judical system is higher in CountryA than in CountryB,,
Percentage of people having volunteered at least once (higher is better),The percentage of people having volunteered at least once is higher in CountryA than in CountryB,,
Percentage of people saying that the local labour market is good (higher is better),The percentage of people believing that the local labour market is good is higher in CountryA than in CountryB,,
Percentage of people trusting their national government (higher is better),The percentage of people trusting their national government is higher in CountryA than in CountryB,,
Percentage of people using the internet (higher is better),More people use the internet in CountryA than in CountryB,,
Percentage of people who are proficient in english (higher is better),More people are proficient in English in CountryA than in CountryB,,
Percentage of people working in the agricultural sector (higher is better),More people work in the agricultural sector in CountryA than in CountryB,,
Percentage of people working in the agricultural sector (lower is better),Less people work in the agricultural sector in CountryA than in CountryB,,
Percentage of population being christian (higher is better),More people are Christian in CountryA than in CountryB,,
Percentage of population being female (higher is better),More people are female in CountryA than in CountryB,,
Percentage of population being female (lower is better),Less people are female in CountryA than in CountryB,,
Percentage of population being hindu (higher is better),More people are Hindu in CountryA than in CountryB,,
Percentage of population being immigrants (higher is better),More people are immigrants in CountryA than in CountryB,,
Percentage of population being muslim (higher is better),More people are muslim in CountryA than in CountryB,,
Percentage of population living in the capital (higher is better),A higher proportion of the population of CountryA live in the capital than of CountryB,,
Percentage of non-performing loans,More loans perform in CountryA than in CountryB,,
Percentage of prisoners being female (higher is better),More prisoners are female in CountryA than in CountryB,,
Percentage of railway being electrified (higher is better),The railway in CountryA is more electrified than in CountryB,,
Percentage of total stock market capitalization to GDP (higher is better),The percentage of total stock market capitalization is higher in CountryA than in CountryB,,
Percentage of urban population (higher is better),The percentage of urban population is higher in CountryA than in CountryB,,
Percentage of US-american citizens having a positive opinion about that country (higher is better),More US-american citizens have a positive opinion about CountryA than about CountryB,,
Percentage of US-american citizens having heard of that country (higher is better),More US-american citizens have heard of CountryA than of CountryB,,
Perception of corruption score (less corrupt is higher) (higher is better),The perceived corruption is lower in CountryA than in CountryB (according to the World Happiness Index),,
Person of that country with the most social media follower (higher is better),CountryA has a person with more social media followers than CountryB,person,person
Pineapple production in tons (by 1000 population) (higher is better),CountryA produces more pineapples than CountryB (per capita),,
Plum production in tons (by 1000 population) (higher is better),CountryA produces more plums than CountryB (per capita),,
Population density (in citizens per km^2) (higher is better),The population density is higher in CountryA than in CountryB,,
Population growth rate in 2021 in percent (higher is better),In 2021 the population of CountryA grew more than the population of CountryB,,
Population of the capital (higher is better),The capital of CountryA has more population than the one of CountryB,capital,
Population of the most populated city of that country (higher is better),CountryA has a more populated city than CountryB,city,
Population of the second most populated city of that country (higher is better),The second most populated city of CountryA is more populated than the one of CountryB,city,
Population of the third most populated city of that country (higher is better),The third most populated city of CountryA is more populated than the one of CountryB,city,
Potato production in tons (by 100 population) (higher is better),CountryA produces more potatoes than CountryB (per capita),,
Price for a 3 course meal for 2 in a normal restaurant in US$ (lower is better),On average a 3 course meal for 2 costs less in CountryA than in CountryB,,
"Price for garbage, water, heating, electricity for 85 sqm apartment in US$ (lower is better)","On average garbage, water, heating, electricity costs less in CountryA than in CountryB",,
Price of 0.5 l normal beer in a restaurant in US$ (lower is better),On average a normal beer in a restaurant costs less in CountryA than in CountryB,,
Price of 0.5l local beer in supermarket in US$ (lower is better),On average a local beer in a supermarket costs less in CountryA than in CountryB,,
Price of 1.5l water bottle in supermarket in US$ (lower is better),On average a bottle of water in a supermarket costs less in CountryA than in CountryB,,
Price of 1kg of potatoes in US$ (lower is better),On average potatoes cost less in CountryA than in CountryB,,
Price of 1kg of rice in US$ (lower is better),On average rice costs less in CountryA than in CountryB,,
Price of 1kg of tomatoes in US$ (lower is better),On average tomatoes cost less in CountryA than in CountryB,,
Price of 1l of milk in US$ (lower is better),On average milk costs less in CountryA than in CountryB,,
Price of a bottled water in a restaurant in US$ (lower is better),On average a bottled water in a restaurant costs less in CountryA than in CountryB,,
Price of a dozen eggs in US$ (lower is better),On average eggs cost less in CountryA than in CountryB,,
Price of a kg of apples in US$ (lower is better),On average apples cost less in CountryA than in CountryB,,
Price of a mcdonalds menu in US$ (lower is better),On average a McDonalds menu costs less in CountryA than in CountryB,,
Price of a new Volkswagen Golf 1.4 in US$ (lower is better),On average a Volkswagen Golf costs less in CountryA than in CountryB,,
Price of a regular cappuchino in a restaurant in US$ (lower is better),On average a regular cappuccino costs less in CountryA than in CountryB,,
"Price of a skinless, boneless chicken breast in US$ (lower is better)",On average a chicken breast costs less in CountryA than in CountryB,,
Price of local 1kg cheese in US$ (lower is better),On average cheese costs less in CountryA than in CountryB,,
Price of newest nike shoes in US$ (lower is better),On average the newest Nike shoes cost less in CountryA than in CountryB,,
Price of one head of lettuce in supermarket in US$ (lower is better),On average lettuce costs less in CountryA than in CountryB,,
Price of one pack of Marlboro in US$ (lower is better),On average a pack of Marlboro cigarettes costs less in CountryA than in CountryB,,
Price of one pair of Levi 501s or equivalent in US$ (lower is better),On average a pair of Levi's 501 jeans cost less in CountryA than in CountryB,,
Prison occupacy (lower is better),The prison occupancy is lower in CountryA than in CountryB,,
Projected population growth until 2100 in percent (higher is better),The projected population growth until 2100 is higher in CountryA than in CountryB,,
Projected population in 2100 (higher is better),"In 2100, CountryA will have a higher population than CountryB",,
"Prostitutes per 10,000 inhabitants (lower is better)",There are less prostitutes in CountryA than in CountryB (per capita),,
Pupil-teacher ratio (lower is better),The pupil teacher ratio is better in CountryA than in CountryB,,
"Rapes per 100,000 population (lower is better)",Rapes occur less in CountryA than in CountryB (per capita),,
"Refugee population (by 100,000 population) (higher is better)",There are more refugees in CountryA than in CountryB (per capita),,
Religious diversity score (higher is better),CountryA is relgiously more diverse than CountryB,,
Road Quality Index (higher is better),Roads in CountryA have a higher quality than in CountryB (according to the IIIIRoad Quality IndexIIII),,
S&P credit rating (better rating is better) (lower is better),CountryA has a better credit rating than CountryB (according to S&P),credit rating,
Shadow economy (lower is better),There is less shadow economy in CountryA than in CountryB,,
Share of clean energy (higher is better),The share of clean energy is higher in CountryA than in CountryB,,
Side of traffic (left hand side beats right hand side) (higher is better),TODO,,
Size of largest island in km2 (higher is better),The BBBBlargest islandBBBB of CountryA is larger than that of CountryB,island,
Size of the lower house (or equivalent) of that country (higher is better),The lower house (or equivalent) is bigger in CountryA than in CountryB,,
Social support score (higher is better),CountryA is socially more supportive than CountryB (according to the World Happiness Index),,
"Soybean production in tons (by 10,000 population) (higher is better)",CountryA produces more soybeans than CountryB (per capita),,
Strength of passport (in countries enterable without need of visa) (higher is better),The passport of CountryA is stronger than the passport of CountryB,,
"Suicides per 100,000 population (lower is better)",Suicides occur less in CountryA than in CountryB (per capita),,
Sum of the three most populated cities of that country (higher is better),The three most populated cities of CountryA are on average more populated than the ones of CountryB,,
Sum of wiki-languages of the three most famous cities of that country (higher is better),The three most IIIIfamousIIII cities of CountryA are on average more IIIIfamousIIII than the ones of CountryB,,
Taxi price per 1km in US$ (lower is better),Taxis are cheaper in CountryA than in CountryB,,
Tobacco production (in kg per year and person) (higher is better),CountryA produces more tobacco than CountryB (per capita),,
Tomato production in tons (by 100 population) (higher is better),CountryA produces more tomatoes than CountryB (per capita),,
Unemployment rate (lower is better),The unemployment rate is lower in CountryA than in CountryB,,
Unpaid diplomatic parking fines in NYC (lower is better),TODO,,
VAT resp. GST in percent (lower is better),The VAT is lower in CountryA than in CountryB,,
Vehicles per 1000 population (higher is better),There are more vehicles in CountryA than in CountryB (per capita),,
Wine production in tons (by 100 population) (higher is better),CountryA produces more wine than CountryB (per capita),,
World Happiness Index (higher is better),CountryA ranks better in the World Happiness Index than CountryB,,
Year of first Burger King opening in that country (lower is better),"Burger King opened their first branch in CountryA earlier, than in CountryB",,
Year of last executed death penalty (lower is better),TODO,,
Yearly average temperature in (in Celsius) (higher is better),On average the temperature in CountryA is higher than in CountryB,,
Youth unemployment in 2021 (lower is better),The youth unemployment is lower in CountryA than in CountryB,,
