,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
708,Djibouti,4.0,Tezeta Abraham,http://www.wikidata.org/entity/Q21207158,wd:Q21207158,65962971,Tezeta Abraham (born 15 February 1985) is an Italian-Ethiopian model and actress.,https://en.wikipedia.org/wiki/Tezeta_Abraham
709,Dominica,18.0,Henry Wilcoxon,http://www.wikidata.org/entity/Q1372180,wd:Q1372180,155973,"Harry Frederick Wilcoxon (8 September 1905 – 6 March 1984), known as Henry Wilcoxon, was an actor born in Roseau, Dominica, British West Indies, and who was a leading man in many of Cecil B. DeMille's films, also serving as DeMille's associate producer on his later films.",https://en.wikipedia.org/wiki/Henry_Wilcoxon
714,Dominican Republic,69.0,Zoe Saldana,http://www.wikidata.org/entity/Q190162,wd:Q190162,1713217,"Zoe Yadira Saldaña Perego (née Saldaña Nazario; born June 19, 1978) is an American actress. After her performances with the theater group Faces, she was in two 1999 episodes of Law & Order. Her film career began a year later with Center Stage (2000) portraying a ballet dancer.
Saldaña worked in science fiction films, beginning in 2009 with her first of multiple appearances as Nyota Uhura in the Star Trek film series and her first appearance as Neytiri in the Avatar film series. She portrays Gamora in the Marvel Cinematic Universe, beginning with Guardians of the Galaxy (2014). Saldaña appeared in three of the five highest-grossing films of all time (Avatar, Avengers: Infinity War, and Avengers: Endgame), something no other actor has done. Her films grossed more than $11 billion worldwide, and she is the second-highest-grossing film actress of all time as of 2019.",https://en.wikipedia.org/wiki/Zoe_Salda%C3%B1a
736,Ecuador,30.0,Mike Judge,http://www.wikidata.org/entity/Q434585,wd:Q434585,275566,"Michael Craig Judge (born October 17, 1962) is an American actor, animator, writer, producer, director and musician. He is the creator of the animated television series Beavis and Butt-Head (1993–1997, 2011, 2021–present), and co-creator of the television series King of the Hill (1997–2010), The Goode Family (2009), Silicon Valley (2014–2019), and Mike Judge Presents: Tales from the Tour Bus (2017–2018). He also wrote and directed the films Beavis and Butt-Head Do America (1996), Office Space (1999), Idiocracy (2006), and Extract (2009).
Judge was born in Guayaquil, Ecuador, and raised in the U.S. state of New Mexico. He graduated from the University of California, San Diego, where he studied physics. After losing interest in a career in science, Judge began to focus on animation and creating short films. One of these (Frog Baseball) was developed into the successful MTV series Beavis and Butt-Head, which eventually spawned a 1996 feature film, as well as the spin-off series Daria (with which Judge had no involvement).
In 1995, Judge and former The Simpsons writer Greg Daniels developed King of the Hill, which debuted on Fox in 1997 and quickly became a hit with both critics and audiences; running for 13 seasons, it became one of the longest-running American animated series. During the run of the show, Judge took some time off to write and direct Office Space, Idiocracy, and Extract. As King of the Hill was coming to an end, Judge created his third show, ABC's The Goode Family, which received mixed reviews and was cancelled after 13 episodes. After a four-year hiatus, he created his fourth show, the live-action Silicon Valley for HBO, which has received critical acclaim since its premiere. In 2017, Judge's fourth animated series, the music-themed Tales from the Tour Bus, premiered on Cinemax, to critical and audience acclaim.
Judge has won a Primetime Emmy Award and two Annie Awards for King of the Hill and two Critics' Choice Television Awards and Satellite Awards for Silicon Valley.",https://en.wikipedia.org/wiki/Mike_Judge
755,Egypt,89.0,Umm Kulthum,http://www.wikidata.org/entity/Q1110560,wd:Q1110560,214221,"Umm Kulthum (Arabic: أم كلثوم, Egyptian Arabic: [ˈomme kælˈsuːm]; English: Oum Kalthoum; born Fāṭima ʾIbrāhīm es-Sayyid el-Beltāǧī, فاطمة إبراهيم السيد البلتاجي; 31 December 1898 – 3 February 1975) was an Egyptian singer, songwriter, and film actress active from the 1920s to the 1970s. She was given the honorific title Kawkab al-Sharq (كوكب الشرق, 'Star of the East'). She is considered a national icon in her native Egypt; she has been dubbed ""The voice of Egypt"", the Lady of Arabic Song and ""Egypt's fourth pyramid"".",https://en.wikipedia.org/wiki/Umm_Kulthum
780,El Salvador,12.0,Mari Possa,http://www.wikidata.org/entity/Q2738509,wd:Q2738509,4757149,"Mari Possa (born January 21, 1980) is a Salvadoran American pornographic actress and reality TV personality.",https://en.wikipedia.org/wiki/Mari_Possa
781,El Salvador,11.0,Diego Velázquez,http://www.wikidata.org/entity/Q17417521,wd:Q17417521,43114413,error,error
791,Equatorial Guinea,9.0,Emilio Buale Coka,http://www.wikidata.org/entity/Q3390358,wd:Q3390358,24743220,"Ludwig Emilio Buale Coka (born 26 November 1972) is an Equatoguinean-born Spanish actor, known internationally for his role as Baharat in the science fiction-horror movie The Platform (2019).",https://en.wikipedia.org/wiki/Emilio_Buale
793,Eritrea,25.0,Tiffany Haddish,http://www.wikidata.org/entity/Q11835264,wd:Q11835264,16175465,"Tiffany Sara Cornilia Haddish (born December 3, 1979) is an American stand-up comedian, actress and author. Haddish was named one of the 100 most influential people in the world by Time magazine in 2018, and The Hollywood Reporter listed her among the 100 most powerful people in entertainment in both 2018 and 2019.After guest-starring on several television series, she gained prominence for her role as Nekeisha Williams on the NBC sitcom The Carmichael Show (2015–2017). Her breakthrough came in with a leading role in the comedy film Girls Trip (2017), which earned her several accolades, such as nominations for two Critics' Choice Awards. In 2021, Haddish's performance was included on The New Yorker's list of the best film performances of the 21st century. She won a Primetime Emmy Award for hosting a Saturday Night Live episode (2017) and published a memoir, The Last Black Unicorn (2017).
Haddish starred in the TBS series The Last O.G. (2018–present) and executive produced and voiced Tuca in the Netflix/Adult Swim animated series Tuca & Bertie (2019–present). Haddish released the album Black Mitzvah in 2019, for which she won the Grammy Award for Best Comedy Album, making her the second African-American woman to win this prize after Whoopi Goldberg in 1986.",https://en.wikipedia.org/wiki/Tiffany_Haddish
812,Estonia,34.0,Getter Jaani,http://www.wikidata.org/entity/Q237061,wd:Q237061,31018434,"Getter Jaani (born 3 February 1993) is an Estonian singer and actress. She represented Estonia in the Eurovision Song Contest 2011 with the song ""Rockefeller Street"".",https://en.wikipedia.org/wiki/Getter_Jaani
831,Eswatini,10.0,Noma Dumezweni,http://www.wikidata.org/entity/Q7048366,wd:Q7048366,16020109,"Noma Dumezweni (born 28 July 1969) is a British actress. In 2006, she won the Laurence Olivier Award for Best Performance in a Supporting Role for her performance as Ruth Younger in A Raisin in the Sun at the Lyric Hammersmith Theatre. In 2017, she won the Laurence Olivier Award for Best Actress in a Supporting Role for her performance as Hermione Granger in the original West End run of Harry Potter and the Cursed Child; she reprised the role for the show's original Broadway run and, in 2018, was nominated for the Tony Award for Best Featured Actress in a Play.",https://en.wikipedia.org/wiki/Noma_Dumezweni
835,Ethiopia,42.0,Ruth Negga,http://www.wikidata.org/entity/Q3453629,wd:Q3453629,5929117,"Ruth Negga ( NAY-gə; born 7 January 1982) is an Ethiopian-Irish actress known for the AMC television series Preacher and the film Loving. For her portrayal of Mildred Loving in the latter, Negga received several major nominations from the Academy Awards, British Academy Film Awards and the Golden Globe Awards, and won the Irish Film and Television Award for Best Actress.
Negga has also appeared in the films Capital Letters (2004) (also released as Trafficked in some countries), Isolation (2005), Breakfast on Pluto (2005), Warcraft (2016), and Passing (2021). Other television projects include the BBC mini-series Criminal Justice, RTÉ's Love/Hate, E4's Misfits, and ABC's Marvel's Agents of S.H.I.E.L.D.",https://en.wikipedia.org/wiki/Ruth_Negga
855,Fiji,26.0,Craig Parker,http://www.wikidata.org/entity/Q469179,wd:Q469179,968409,"Craig Parker (born 12 November 1970) is a New Zealand actor, known for his roles as Guy Warner in the New Zealand soap opera Shortland Street (1992–96, 2007–08, 2020), Haldir in the Lord of the Rings films The Fellowship of the Ring (2001) and The Two Towers (2002), Darken Rahl in the syndicated television series Legend of the Seeker (2008-10), Gaius Claudius Glaber in the starz series Spartacus (2010-12), and Stéphane Narcisse in the CW television series Reign (2014-17).",https://en.wikipedia.org/wiki/Craig_Parker
864,Finland,37.0,George Gaynes,http://www.wikidata.org/entity/Q279225,wd:Q279225,802346,"George Gaynes (born George Jongejans; May 16, 1917 – February 15, 2016) was a Finnish-born American singer, actor, and voice artist. Born to Dutch and Russian-Finnish parents in the Grand Duchy of Finland of the Russian Empire, he served in the Royal Netherlands Navy during World War II, and subsequently emigrated to the United States, where he became a citizen and began his acting career on Broadway.
Gaynes' most recognized roles in cinema were that of Commandant Eric Lassard in the Police Academy series and as John Van Horn in the 1982 comedy film Tootsie. He appeared as Senator Strobe Smithers in the hit TV show Hearts Afire; as the curmudgeonly but lovable foster parent Henry Warnimont on the NBC series Punky Brewster; as high-powered theatrical producer Arthur Feldman on The Days and Nights of Molly Dodd, in which Gaynes' real-life wife, Allyn Ann McLerie, co-starred as his love interest; and as Frank Smith, the mob boss brought down by Luke Spencer (Anthony Geary) and Laura Spencer (Genie Francis) on the soap opera General Hospital.",https://en.wikipedia.org/wiki/George_Gaynes
883,France,199.0,Molière,http://www.wikidata.org/entity/Q687,wd:Q687,51465,"Jean-Baptiste Poquelin (French pronunciation: ​[ʒɑ̃ batist pɔklɛ̃], [pɔkəlɛ̃]; 15 January 1622 (baptised) – 17 February 1673), known by his stage name Molière (UK: , US: , French: [mɔljɛʁ]), was a French playwright, actor, and poet, widely regarded as one of the greatest writers in the French language and world literature. His extant works include comedies, farces, tragicomedies, comédie-ballets, and more. His plays have been translated into every major living language and are performed at the Comédie-Française more often than those of any other playwright today. His influence is such that the French language is often referred to as the ""language of Molière"".Born into a prosperous family and having studied at the Collège de Clermont (now Lycée Louis-le-Grand), Molière was well suited to begin a life in the theatre. Thirteen years as an itinerant actor helped him polish his comedic abilities while he began writing, combining Commedia dell'arte elements with the more refined French comedy.Through the patronage of aristocrats including Philippe I, Duke of Orléans—the brother of Louis XIV—Molière procured a command performance before the King at the Louvre. Performing a classic play by Pierre Corneille and a farce of his own, The Doctor in Love, Molière was granted the use of salle du Petit-Bourbon near the Louvre, a spacious room appointed for theatrical performances. Later, he was granted the use of the theatre in the Palais-Royal. In both locations, Molière found success among Parisians with plays such as The Affected Ladies, The School for Husbands, and The School for Wives. This royal favour brought a royal pension to his troupe and the title Troupe du Roi (""The King's Troupe""). Molière continued as the official author of court entertainments.Despite the adulation of the court and Parisians, Molière's satires attracted criticism from churchmen. For Tartuffe's impiety, the Catholic Church denounced this study of religious hypocrisy, which was followed by a ban by the Parlement, while Don Juan was withdrawn and never restaged by Molière. His hard work in so many theatrical capacities took its toll on his health and, by 1667, he was forced to take a break from the stage. In 1673, during a production of his final play, The Imaginary Invalid, Molière, who suffered from pulmonary tuberculosis, was seized by a coughing fit and a haemorrhage while playing the hypochondriac Argan. He finished the performance but collapsed again and died a few hours later.",https://en.wikipedia.org/wiki/Moli%C3%A8re
916,Gabon,88.0,Samuel L. Jackson,http://www.wikidata.org/entity/Q172678,wd:Q172678,54306,"Samuel Leroy Jackson (born December 21, 1948) is an American actor and producer. One of the most widely recognized actors of his generation, the films in which he has appeared have collectively grossed over $27 billion worldwide, making him the highest-grossing actor of all time (excluding cameo appearances and voice roles). He rose to fame with films such as Coming to America (1988), Goodfellas (1990), Patriot Games (1992), Juice (1992), Menace II Society (1993), True Romance (1993), Jurassic Park (1993), and Fresh (1994). Jackson continued gaining greater prominence for his collaborations with director Spike Lee in the films School Daze (1988), Do the Right Thing (1989), Mo' Better Blues (1990), Jungle Fever (1991), Oldboy (2013) and Chi-Raq (2015) and in the Quentin Tarantino films Pulp Fiction (1994), Jackie Brown (1997), Django Unchained (2012), and The Hateful Eight (2015). For his role in Pulp Fiction, he was nominated for the Academy Award for Best Supporting Actor. In 2021 it was announced by the Academy of Motion Pictures Arts and Sciences that Jackson will be the recipient of the Honorary Academy Award.Jackson is a highly prolific actor, having appeared in over 150 films. His other roles include Die Hard with a Vengeance (1995), A Time to Kill (1996), Hard Eight (1996), Eve's Bayou (1997), The Red Violin (1998), The Negotiator (1998), Unbreakable (2000), Shaft (2000) and its 2019 sequel/reboot, Coach Carter (2005), Snakes on a Plane (2006), The Other Guys (2010), Kingsman: The Secret Service (2014), Kong: Skull Island (2017), and Glass (2019). Jackson also won widespread recognition as the Jedi Mace Windu in the Star Wars prequel trilogy (1999–2005), and later voiced the role in the animated film Star Wars: The Clone Wars (2008). With his permission, his likeness was used for the Ultimate version of the Marvel Comics character Nick Fury; he subsequently played Fury in 11 Marvel Cinematic Universe films, beginning with a cameo appearance in Iron Man (2008), as well as guest-starring in the television series Agents of S.H.I.E.L.D. He will reprise this role in the upcoming Disney+ series Secret Invasion, which is set to premiere in 2022.Jackson has provided his voice for several animated films, documentaries, television series, and video games, including Lucius Best/Frozone in the Pixar films The Incredibles (2004) and Incredibles 2 (2018), Whiplash in Turbo (2013), the title character of the anime television series Afro Samurai (2007), and Frank Tenpenny in the video game Grand Theft Auto: San Andreas (2004). In 2016, Jackson served as the narrator of the acclaimed documentary I Am Not Your Negro based on James Baldwin's writings.",https://en.wikipedia.org/wiki/Samuel_L._Jackson
932,Georgia,34.0,Sofia Nizharadze,http://www.wikidata.org/entity/Q229755,wd:Q229755,19935123,"Sopho ""Sofia"" Nizharadze (Georgian: სოფო ნიჟარაძე, IPA: [sɔpʰɔ niʒarad͡zɛ]) is a Georgian singer, actor, and songwriter who represented Georgia in the Eurovision Song Contest 2010 with the song ""Shine"". Nizharadze was a judge on the TV shows Georgia's Got Talent', 'Only Georgian' and 'The X Factor Georgia.",https://en.wikipedia.org/wiki/Sofia_Nizharadze
946,Germany,180.0,Marlene Dietrich,http://www.wikidata.org/entity/Q4612,wd:Q4612,145325,"Marie Magdalene ""Marlene"" Dietrich (, German: [maʁˈleːnə ˈdiːtʁɪç] (listen); 27 December 1901 – 6 May 1992) was a German-born American actress and singer. Her career spanned from the 1910s to the 1980s.In 1920s Berlin, Dietrich performed on the stage and in silent films. Her performance as Lola-Lola in Josef von Sternberg's The Blue Angel (1930) brought her international acclaim and a contract with Paramount Pictures. Dietrich starred in many Hollywood films including six iconic roles directed by Sternberg —Morocco (1930) (her only Academy Award nomination), Dishonored (1931), Shanghai Express and Blonde Venus (both 1932), The Scarlet Empress (1934) and The Devil Is a Woman (1935)— plus Desire (1936) and Destry Rides Again (1939). She successfully traded on her glamorous persona and ""exotic"" looks, and became one of the highest-paid actresses of the era. Throughout World War II she was a high-profile entertainer in the United States. Although she delivered notable performances in several post-war films including Alfred Hitchcock's Stage Fright (1950), Billy Wilder's Witness for the Prosecution (1957), Orson Welles's Touch of Evil (1958) and Stanley Kramer's Judgment at Nuremberg (1961), Dietrich spent most of the 1950s to the 1970s touring the world as a marquee live-show performer.
Dietrich was known for her humanitarian efforts during World War II, housing German and French exiles, providing financial support and even advocating their American citizenship. For her work on improving morale on the front lines during the war, she received several honors from the United States, France, Belgium and Israel. In 1999 the American Film Institute named Dietrich the ninth greatest female screen legend of classic Hollywood cinema.",https://en.wikipedia.org/wiki/Marlene_Dietrich
972,Ghana,25.0,Peter Mensah,http://www.wikidata.org/entity/Q469145,wd:Q469145,6956115,"Peter Mensah (born 27 August 1959) is a Ghanaian-English actor, best known for his roles in the films Tears of the Sun, Hidalgo, 300, and television series such as Starz' Spartacus: Blood and Sand, Spartacus: Gods of the Arena, and Spartacus: Vengeance.",https://en.wikipedia.org/wiki/Peter_Mensah
991,Greece,118.0,Tom Hanks,http://www.wikidata.org/entity/Q2263,wd:Q2263,43568,"Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker. Known for both his comedic and dramatic roles, he is one of the most popular and recognizable film stars worldwide, and is regarded as an American cultural icon. Hanks's films have grossed more than $4.9 billion in North America and more than $9.96 billion worldwide, making him the fourth-highest-grossing actor in North America.Hanks made his breakthrough with leading roles in a series of comedy films which received positive media attention, such as Splash (1984), Bachelor Party (1984), Big (1988) and A League of Their Own (1992). He won two consecutive Academy Awards for Best Actor for starring as a gay lawyer suffering from AIDS in Philadelphia (1993) and the title character in Forrest Gump (1994). Hanks collaborated with film director Steven Spielberg on five films: Saving Private Ryan (1998), Catch Me If You Can (2002), The Terminal (2004), Bridge of Spies (2015), and The Post (2017), as well as the 2001 miniseries Band of Brothers, which launched him as a director, producer, and screenwriter. Hanks's other films include the romantic comedies Sleepless in Seattle (1993) and You've Got Mail (1998); the dramas Apollo 13 (1995), The Green Mile (1999), Cast Away (2000), Road to Perdition (2002), and Cloud Atlas (2012); and the biographical dramas Charlie Wilson's War (2007), Captain Phillips (2013), Saving Mr. Banks (2013), Sully (2016), A Beautiful Day in the Neighborhood (2019), and News of the World (2020). He has also appeared as the title character in the Robert Langdon film series, and voiced Sheriff Woody in the Toy Story film series (1995–present).
Hanks's accolades include two Academy Awards out of six nominations. Hanks has also won seven Primetime Emmy Awards for his work as a producer of various limited series and television movies, including From the Earth to the Moon, Band of Brothers, John Adams, and The Pacific. In 2013, he received a Tony Award nomination for Best Actor in a Play for his performance in Nora Ephron's Lucky Guy. He has received the AFI Life Achievement Award in 2002. He received the Stanley Kubrick Britannia Award for Excellence in Film from the British Academy of Film and Television Arts in 2004. In 2014, he received a Kennedy Center Honor, and in 2016, he received a Presidential Medal of Freedom from President Barack Obama, as well as the French Legion of Honor. In 2020, he received the Golden Globe Cecil B. DeMille Award.",https://en.wikipedia.org/wiki/Tom_Hanks
1014,Grenada,16.0,Henry Stephenson,http://www.wikidata.org/entity/Q1607291,wd:Q1607291,7197949,"Henry Stephenson (born Harry Stephenson Garraway, 16 April 1871 – 24 April 1956) was a British actor. He portrayed friendly and wise gentlemen in many films of the 1930s and 1940s. Among his roles were Sir Joseph Banks in Mutiny on the Bounty (1935) and Mr. Brownlow in Oliver Twist (1948).",https://en.wikipedia.org/wiki/Henry_Stephenson
1017,Guatemala,53.0,Oscar Isaac,http://www.wikidata.org/entity/Q336788,wd:Q336788,5013125,"Óscar Isaac Hernández Estrada (born March 9, 1979) is an American actor. In 2006, he portrayed Saint Joseph, husband of Mary, in The Nativity Story. He also portrayed José Ramos-Horta, former president of East Timor and corecipient of the 1996 Nobel Peace Prize, in the Australian film Balibo, for which he won the AACTA Award for Best Actor in a Supporting Role. His other early film roles include Body of Lies (2007), Robin Hood (2010), and W.E. (2011). Isaac earned critical acclaim for his roles in Drive (2011), Inside Llewyn Davis (2013), for which he received a Golden Globe Award nomination, the crime drama A Most Violent Year (2014), and the science fiction thriller Ex Machina (2015).
He gained international stardom for his performance in the Star Wars sequel trilogy as X-wing pilot Poe Dameron, and in X-Men: Apocalypse (2016) as the titular mutant supervillain Apocalypse.
He also starred in the science fiction films Annihilation (2018), directed by Alex Garland, and Dune (2021), directed by Denis Villeneuve. Isaac voiced Miguel O'Hara in the animated film Spider-Man: Into the Spider-Verse from Sony Pictures Animation, which was released in December 2018 and will reprise the role for the sequel, Spider-Man: Across the Spider-Verse (Part One), in 2022. Isaac will star as Marc Spector / Moon Knight in the upcoming Disney+ series Moon Knight (2022), which is set in the Marvel Cinematic Universe.He is also known for his television roles such as the HBO miniseries Show Me a Hero (2015), and Scenes from a Marriage for which he earned Golden Globe Award for Best Actor – Miniseries or Television Film nominations, with Isaac winning the award for the first one.",https://en.wikipedia.org/wiki/Oscar_Isaac
1037,Guinea,12.0,Maimouna N'Diaye,http://www.wikidata.org/entity/Q19630887,wd:Q19630887,55733293,"Maimouna N'Diaye is a French actress. She is best known for her leading role in the film Eye of the Storm (2015), for which she received critical acclaim. 
In 2019, N'Diaye was appointed as a jury member of the main competition in the 72nd annual Cannes Film Festival.",https://en.wikipedia.org/wiki/Maimouna_N%27Diaye
1045,Guinea-Bissau,4.0,Babetida Sadjo,http://www.wikidata.org/entity/Q60711585,wd:Q60711585,63979056,"Babetida Sadjo, born on September 19, 1983 in Bafatá, Guinea-Bissau, is a Belgian actress.",https://en.wikipedia.org/wiki/Babetida_Sadjo
1046,Guyana,37.0,Letitia Wright,http://www.wikidata.org/entity/Q27489535,wd:Q27489535,52067131,"Letitia Michelle Wright (born October 31, 1993) is a Guyanese-born British actress. She began her career with guest roles in the television series Top Boy, Coming Up, Chasing Shadows, Humans, Doctor Who and Black Mirror; for the latter, she received a Primetime Emmy Award nomination. She then had her breakthrough for her role in the 2015 film Urban Hymn, for which the British Academy of Film and Television Arts (BAFTA) named Wright among the 2015 group of BAFTA Breakthrough Brits.
In 2018, she attained global recognition for her portrayal of Shuri in the Marvel Cinematic Universe film Black Panther, for which she won an NAACP Image Award and a SAG Award. She reprised the role in Avengers: Infinity War (2018) and Avengers: Endgame (2019), the latter of which became the second highest-grossing film of all time. In 2019, she received the BAFTA Rising Star Award. She also appeared in the 2020 anthology series Small Axe, which earned her a Satellite Award nomination.",https://en.wikipedia.org/wiki/Letitia_Wright
1067,Haiti,46.0,Wyclef Jean,http://www.wikidata.org/entity/Q202663,wd:Q202663,302511,"Nel Ust Wyclef Jean (; born October 17, 1969) is a Haitian-American rapper, singer, songwriter and actor. At the age of nine, Jean immigrated to the United States with his family. He first achieved fame as a member of the New Jersey hip hop group the Fugees, alongside Lauryn Hill and Pras Michel. They released the albums Blunted on Reality (1994) and The Score (1996), the latter becoming one of the best-selling albums of all time. Jean would follow this with the release of his first solo studio album, Wyclef Jean Presents The Carnival (1997), which contains the top ten hit ""Gone till November"".
Jean would continue to have a successful music career as a soloist. He released an additional eight studio albums; including the Recording Industry Association of America Platinum certified album, The Ecleftic: 2 Sides II a Book (2000), which reached the top ten on the Billboard 200 chart. While also releasing the commercially successful singles ""911"" (featuring Mary J. Blige), and ""Sweetest Girl (Dollar Bill)"" (featuring Akon, Niia & Lil Wayne)""; featured on Destiny Child's ""No, No, No"", and the US Billboard Hot 100 number one single ""Hips Don't Lie"" by Shakira; and wrote and produced the single ""Maria Maria"" by Santana.
In August 2010, Jean filed for candidacy in the 2010 Haitian presidential election. However, Haiti's Provisional Electoral Council ruled him ineligible to stand for office, as he had not met the constitutional requirement to have been a resident in Haiti for five years prior to the election. Jean's highly publicized efforts to raise relief funds after the 2010 Haitian earthquake were channeled through his charitable organization, Yéle Haiti. The charity, which conducted education and welfare activities in Haiti between 2005 and 2010, effectively closed in 2012. The New York Times reported that much of the money raised by the organization in the Hope for Haiti Now telethon was retained by Jean for his own benefit. In 2012, Jean published his memoir Purpose: An Immigrant's Story. Jean performed his single ""Dar um Jeito (We Will Find a Way)"", at the closing ceremony for the 2014 FIFA World Cup in Brazil. 
He has won three Grammy Awards, and has received a Golden Globe Award nomination for his musical work. In 2011, President Michel Martelly of Haiti awarded Jean with the National Order of Honour and Merit to the rank of Grand Officer. Jean has also been inducted into the New Jersey Hall of Fame.",https://en.wikipedia.org/wiki/Wyclef_Jean
1086,Honduras,60.0,Carlos Mencia,http://www.wikidata.org/entity/Q1043065,wd:Q1043065,2184033,"Ned Arnel Mencia (born October 22, 1967), known professionally as Carlos Mencia (and previously Ned Holness) is a Honduran-born American comedian, writer, and actor. His style of comedy is often political and involves issues of race, culture, criminal justice, and social class. He is best known as the host of the Comedy Central show Mind of Mencia, which produced four seasons before being cancelled in 2008. Around this time, Mencia received several accusations of plagiarism and joke-stealing in his stand-up routines.",https://en.wikipedia.org/wiki/Carlos_Mencia
1098,Hungary,77.0,Zsa Zsa Gabor,http://www.wikidata.org/entity/Q207405,wd:Q207405,152860,"Zsa Zsa Gabor (, Hungarian: [ˈɡaːbor ˈʒɒʒɒ]; born Sári Gábor [ˈɡaːbor ˈʃaːri]; February 6, 1917 – December 18, 2016) was a Hungarian-American actress and socialite. Her sisters were actresses Eva and Magda Gabor.
Gabor began her stage career in Vienna and was crowned Miss Hungary in 1936. She emigrated from Hungary to the United States in 1941. Becoming a sought-after actress with ""European flair and style"", she was considered to have a personality that ""exuded charm and grace"". Her first film role was a supporting role in Lovely to Look At. She later acted in We're Not Married! and played one of her few leading roles in the John Huston-directed film, Moulin Rouge (1952). Huston would later describe her as a ""creditable"" actress.Outside her acting career, Gabor was known for her extravagant Hollywood lifestyle, her glamorous personality, and her many marriages. In total, Gabor had nine husbands, including hotel magnate Conrad Hilton and actor George Sanders. She once stated, ""Men have always liked me and I have always liked men. But I like a mannish man, a man who knows how to talk to and treat a woman—not just a man with muscles.""",https://en.wikipedia.org/wiki/Zsa_Zsa_Gabor
1119,Iceland,76.0,Stefán Karl Stefánsson,http://www.wikidata.org/entity/Q962283,wd:Q962283,2745936,"Stefán Karl Stefánsson (; Icelandic: [ˈstɛːfaun ˈkʰartl̥ ˈstɛːfaunsɔn]; 10 July 1975 – 21 August 2018) was an Icelandic actor and singer. He is best known for portraying Robbie Rotten, the antagonist of the children's television series LazyTown.",https://en.wikipedia.org/wiki/Stef%C3%A1n_Karl_Stef%C3%A1nsson
1139,India,116.0,Shah Rukh Khan,http://www.wikidata.org/entity/Q9535,wd:Q9535,352699,"Shah Rukh Khan (pronounced [ˈʃɑːɦɾʊx xɑːn]; born 2 November 1965), also known by the initialism SRK, is an Indian actor, film producer, and television personality who works in Hindi films. Referred to in the media as the ""Baadshah of Bollywood"" (in reference to his 1999 film Baadshah), ""King of Bollywood"" and ""King Khan"", he has appeared in more than 80 films, and earned numerous accolades, including 14 Filmfare Awards. The Government of India has awarded him the Padma Shri, and the Government of France has awarded him the Ordre des Arts et des Lettres and the Legion of Honour. Khan has a significant following in Asia and the Indian diaspora worldwide. In terms of audience size and income, he has been described as one of the most successful film stars in the world.
Khan began his career with appearances in several television series in the late 1980s. He made his Bollywood debut in 1992 with Deewana. Early in his career, Khan was recognised for portraying villainous roles in the films Baazigar (1993), Darr (1993), and Anjaam (1994). He then rose to prominence after starring in a series of romantic films, including Dilwale Dulhania Le Jayenge (1995), Dil To Pagal Hai (1997), Kuch Kuch Hota Hai (1998), Mohabbatein (2000) and Kabhi Khushi Kabhie Gham... (2001). Khan went on to earn critical acclaim for his portrayal of an alcoholic in Devdas (2002), a NASA scientist in Swades (2004), a hockey coach in Chak De! India (2007) and a man with Asperger syndrome in My Name Is Khan (2010). His highest-grossing films include the comedies Chennai Express (2013), Happy New Year (2014), Dilwale (2015), and the crime film Raees (2017). Many of his films display themes of Indian national identity and connections with diaspora communities, or gender, racial, social and religious differences and grievances.
As of 2015, Khan is co-chairman of the motion picture production company Red Chillies Entertainment and its subsidiaries and is the co-owner of the Indian Premier League cricket team Kolkata Knight Riders and the Caribbean Premier League team Trinbago Knight Riders. He is a frequent television presenter and stage show performer. The media often label him as ""Brand SRK"" because of his many endorsement and entrepreneurship ventures. Khan's philanthropic endeavours have provided health care and disaster relief, and he was honoured with UNESCO's Pyramide con Marni award in 2011 for his support of children's education and the World Economic Forum's Crystal Award in 2018 for his leadership in championing women's and children's rights in India. He regularly features in listings of the most influential people in Indian culture, and in 2008, Newsweek named him one of their fifty most powerful people in the world.",https://en.wikipedia.org/wiki/Shah_Rukh_Khan
