country,number,nonsense,item,wikidata_id,wikidata_id_short,pageid,wikidata_description,wikipedia_summary,wikipedia_url
Fiji,1,1,Sina Woolcott,http://www.wikidata.org/entity/Q41784257,wd:Q41784257,55489542,"New Zealand artist, born in Fiji","Sina Helen Gibson Woolcott (24 August 1907 – 29 May 2003) was a New Zealand artist, born in Ba, Fiji.Woolcott was educated at the Elam School of Fine Art in Auckland. She was a member of, and exhibited with: 

Auckland Society of Arts
New Zealand Academy of Fine Arts
Rutland Group
The Group in 1950",https://en.wikipedia.org/wiki/Sina_Woolcott
Finland,46,1,Akseli Gallen-Kallela,http://www.wikidata.org/entity/Q170068,wd:Q170068,159552,Finnish painter (1865-1931),"Akseli Gallen-Kallela (26 April 1865 – 7 March 1931) was a Finnish painter who is best known for his illustrations of the Kalevala, the Finnish national epic (illustration, below). His work is considered a very important aspect of Finnish national identity. He changed his name from Gallén to Gallen-Kallela in 1907.",https://en.wikipedia.org/wiki/Akseli_Gallen-Kallela
France,159,1,Henri Matisse,http://www.wikidata.org/entity/Q5589,wd:Q5589,60203,French artist (1869-1954),"Henri Émile Benoît Matisse (French: [ɑ̃ʁi emil bənwa matis]; 31 December 1869 – 3 November 1954) was a French artist, known for both his use of colour and his fluid and original draughtsmanship. He was a draughtsman, printmaker, and sculptor, but is known primarily as a painter.
Matisse is commonly regarded, along with Pablo Picasso, as one of the artists who best helped to define the revolutionary developments in the visual arts throughout the opening decades of the twentieth century, responsible for significant developments in painting and sculpture.The intense colorism of the works he painted between 1900 and 1905 brought him notoriety as one of the Fauves (wild beasts). Many of his finest works were created in the decade or so after 1906, when he developed a rigorous style that emphasized flattened forms and decorative pattern. In 1917, he relocated to a suburb of Nice on the French Riviera, and the more relaxed style of his work during the 1920s gained him critical acclaim as an upholder of the classical tradition in French painting. After 1930, he adopted a bolder simplification of form. When ill health in his final years prevented him from painting, he created an important body of work in the medium of cut paper collage.
His mastery of the expressive language of colour and drawing, displayed in a body of work spanning over a half-century, won him recognition as a leading figure in modern art.

",https://en.wikipedia.org/wiki/Henri_Matisse
Georgia,45,1,Niko Pirosmani,http://www.wikidata.org/entity/Q310896,wd:Q310896,1289941,Georgian artist (1862-1918),"Niko Pirosmani (Georgian: ნიკო ფიროსმანი Nik’o Pirosmani), simply referred to as Nikala (ნიკალა Nik’ala; 1862–1918), was a Georgian painter who posthumously rose to prominence. Relatively poor for most of his life, he worked a variety of ordinary jobs. His rustic, everyday scenes are celebrated today for their depiction of the Georgia of Pirosmani's lifetime, and he has become one of the country's most beloved artistic figures.
Niko Pirosmani is alleged to be the inspiration for the male protagonist portrayed in the famous Russian song Million Roses.",https://en.wikipedia.org/wiki/Niko_Pirosmani
Germany,171,1,Albrecht Dürer,http://www.wikidata.org/entity/Q5580,wd:Q5580,2402,"German painter, printmaker, mathematician, and theorist","Albrecht Dürer (; German: [ˈʔalbʁɛçt ˈdyːʁɐ]; Hungarian: Ajtósi Adalbert; 21 May 1471 – 6 April 1528), sometimes spelled in English as Durer (without an umlaut) or Duerer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints. He was in contact with the major Italian artists of his time, including Raphael, Giovanni Bellini, and Leonardo da Vinci, and from 1512 was patronized by Emperor Maximilian I.

Dürer's vast body of work includes engravings, his preferred technique in his later prints, altarpieces, portraits and self-portraits, watercolours and books. The woodcuts series are more Gothic than the rest of his work. His well-known engravings include the three Meisterstiche (master prints) Knight, Death and the Devil (1513), Saint Jerome in his Study (1514), and Melencolia I (1514). His watercolours mark him as one of the first European landscape artists, while his woodcuts revolutionised the potential of that medium.
Dürer's introduction of classical motifs into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance. This is reinforced by his theoretical treatises, which involve principles of mathematics, perspective, and ideal proportions.

",https://en.wikipedia.org/wiki/Albrecht_D%C3%BCrer
Greece,106,1,El Greco,http://www.wikidata.org/entity/Q301,wd:Q301,140639,"Greek artist, painter, sculptor and architect, 1541-1614","Domḗnikos Theotokópoulos (Greek: Δομήνικος Θεοτοκόπουλος [ðoˈminikos θeotoˈkopulos]; 1 October 1541 –  7 April 1614), most widely known as El Greco (""The Greek""), was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname, and the artist normally signed his paintings with his full birth name in Greek letters, Δομήνικος Θεοτοκόπουλος (Domḗnikos Theotokópoulos), often adding the word Κρής (Krḗs), which means Cretan.
El Greco was born in the Kingdom of Candia (modern Crete), which was at that time part of the Republic of Venice, Italy, and the center of Post-Byzantine art. He trained and became a master within that tradition before traveling at age 26 to Venice, as other Greek artists had done. In 1570, he moved to Rome, where he opened a workshop and executed a series of works. During his stay in Italy, El Greco enriched his style with elements of Mannerism and of the Venetian Renaissance taken from a number of great artists of the time, notably Tintoretto. In 1577, he moved to Toledo, Spain, where he lived and worked until his death. In Toledo, El Greco received several major commissions and produced his best-known paintings, such as View of Toledo and Opening of the Fifth Seal.
El Greco's dramatic and expressionistic style was met with puzzlement by his contemporaries but found appreciation by the 20th century. El Greco is regarded as a precursor of both Expressionism and Cubism, while his personality and works were a source of inspiration for poets and writers such as Rainer Maria Rilke and Nikos Kazantzakis. El Greco has been characterized by modern scholars as an artist so individual that he belongs to no conventional school. He is best known for tortuously elongated figures and often fantastic or phantasmagorical pigmentation, marrying Byzantine traditions with those of Western painting.",https://en.wikipedia.org/wiki/El_Greco
Guatemala,13,1,Rina Lazo,http://www.wikidata.org/entity/Q2153294,wd:Q2153294,39679639,Guatemalan-Mexican painter and muralist (1923-2019),"Rina Lazo Wasem (October 23, 1923 – November 1, 2019) was a Guatemalan-Mexican painter. She began her career in mural painting with Diego Rivera as his assistant. She worked with him from 1947 until his death in 1957 on projects both in Mexico and Guatemala. Thereafter, she remained an active painter, better known for her mural works than canvases, although the latter have been exhibited in Mexico and other countries. This has made her one of Guatemala's best-known artists. She was a member of the Mexican muralism movement and criticized modern artists as too commercial and not committed to social causes. She believed muralism would revive in Mexico because of its historical value.",https://en.wikipedia.org/wiki/Rina_Lazo
Guyana,4,1,Frank Bowling,http://www.wikidata.org/entity/Q1264049,wd:Q1264049,7803069,British painter,"Sir Richard Sheridan Franklin Bowling  (born 26 February 1934), known as Frank Bowling, is a Guyana-born British artist. His paintings relate to Abstract expressionism, Color Field painting, and Lyrical Abstraction.",https://en.wikipedia.org/wiki/Frank_Bowling
Haiti,18,1,Frankétienne,http://www.wikidata.org/entity/Q162778,wd:Q162778,852125,Haitian artist and writer,"Frankétienne (born Franck Étienne on April 12, 1936, in Ravine-Sèche, Haiti) is a Haitian writer, poet, playwright, painter, musician, activist and intellectual. He is recognized as one of Haiti's leading writers and playwrights of both French and Haitian Creole, and is ""known as the father of Haitian letters"". As a painter, he is known for his colorful abstract works, often emphasizing the colors blue and red. He was a candidate for the Nobel Prize in Literature in 2009, made a Commander of the Ordre des Arts et Lettres (Order of the Arts and Letters), and was named UNESCO Artist for Peace in 2010.",https://en.wikipedia.org/wiki/Frank%C3%A9tienne
Honduras,4,1,Teresita Fortín,http://www.wikidata.org/entity/Q50300756,wd:Q50300756,56726940,Honduran painter,"Teresa Victoria Fortín Franco (November 17, 1885 – January 19, 1982) was a Honduran painter.
Born in Yuscarán, into a middle class family, Fortín was descended from a family of Creole miners of French origin. She evinced artistic talent from a young age, but was unable to pursue a career in the arts due to her gender. Instead she traveled to Tegucigalpa, where she studied at the School for Young Ladies run by Concha Maldonado. During the 1920s she worked as a teacher at the primary school in Valle de Ángeles. A serious illness in 1930 forced her retirement, and she took up drawing and oil painting as a hobby. She exhibited work at the National Library of Honduras in 1933, under the auspices of the Secretariat of Education, receiving as a result private lessons with Maximiliano Ramírez Euceda. When Alejandro del Vecchio was hired by Archbishop Agustín Hombach to restore the decorative scheme of Tegucigalpa Cathedral she was hired as his assistant, developing as a result an interest in religious painting. She also took an interest in the work of Pablo Zelaya Sierra. Fortín was hired by Carlos Zúñiga Figueroa to teach at his art academy at its foundation in 1932.During her career she worked with the Carnegie Foundation, assisting in its excavation and restoration of the archaeological site at Copán in 1938. She continued to show work both in solo exhibitions and in group shows. In 1976 she presented a cycle of autobiographical paintings depicting various moments in her life. She received the Pablo Zelaya Sierra Prize for her work in 1980.
Fortín died in Tegucigalpa.",https://en.wikipedia.org/wiki/Teresita_Fort%C3%ADn
Hungary,55,1,Victor Vasarely,http://www.wikidata.org/entity/Q154448,wd:Q154448,311107,French-Hungarian painter and printmaker,"Victor Vasarely (French: [viktɔʁ vazaʁeli]; born Győző Vásárhelyi, Hungarian: [ˈvaːʃaːrhɛji ˈɟøːzøː]; 9 April 1906 – 15 March 1997), was a Hungarian-French artist, who is widely accepted as a ""grandfather"" and leader of the Op art movement.
His work entitled Zebra, created in 1937, is considered by some to be one of the earliest examples of Op art.",https://en.wikipedia.org/wiki/Victor_Vasarely
Iceland,20,1,Jóhannes Sveinsson Kjarval,http://www.wikidata.org/entity/Q1364913,wd:Q1364913,701114,Icelandic painter (1885-1972),Jóhannes Sveinsson Kjarval (15 October 1885 – 13 April 1972) was an Icelandic painter. He is by many considered one of the most important artists of Iceland.,https://en.wikipedia.org/wiki/J%C3%B3hannes_Sveinsson_Kjarval
India,52,1,Raja Ravi Varma,http://www.wikidata.org/entity/Q333453,wd:Q333453,910003,Indian painter from Kerala (1848-1906),"Raja Ravi Varma (29 April 1848 – 2 October 1906) was an Indian painter and artist. He is considered among the greatest painters in the history of Indian art. His works are one of the best examples of the fusion of European academic art with a purely Indian sensibility and iconography. Specially, he was notable for making affordable lithographs of his paintings available to the public, which greatly enhanced his reach and influence as a painter and public figure. His lithographs increased the involvement of common people with fine arts and defined artistic tastes among common people. Furthermore, his religious depictions of Hindu deities and works from Indian epic poetry and Puranas have received profound acclaim. He was part of the royal family of erstwhile Parappanad, Malappuram district.
Raja Ravi Varma was closely related to the royal family of Travancore of present-day Kerala state in India. Later in his life, two of his granddaughters were adopted into that royal family, and their descendants comprise the totality of the present royal family of Travancore, including the latest three Maharajas (Balarama Varma III, Marthanda Varma III and Rama Varma VII).",https://en.wikipedia.org/wiki/Raja_Ravi_Varma
Indonesia,27,1,Jan Toorop,http://www.wikidata.org/entity/Q369416,wd:Q369416,178222,Dutch-Indonesian painter (1858-1928),"Johannes Theodorus 'Jan' Toorop (Dutch pronunciation: [joːˈɦɑnəs teːoːˈdoːrɵs jɑn ˈtoːrɔp]; 20 December 1858 – 3 March 1928) was a Dutch-Indonesian painter, who worked in various styles, including Symbolism, Art Nouveau, and Pointillism. His early work was influenced by the Amsterdam Impressionism movement.",https://en.wikipedia.org/wiki/Jan_Toorop
Iran,31,1,Kamāl ud-Dīn Behzād,http://www.wikidata.org/entity/Q334875,wd:Q334875,1639000,Iranian artist (1450-1535),"Kamāl ud-Dīn Behzād (c. 1450 – c. 1535), also known as Kamal al-din Bihzad or Kamaleddin Behzad (Persian: کمال‌الدین بهزاد), was a Persian painter and head of the royal ateliers in Herat and Tabriz during the late Timurid and early Safavid Persian periods. He is regarded as marking the highpoint of the great tradition of Islamic miniature painting.  He was very prominent in his role as a director of a workshop in the Herat Academy as well as his position in the Royal Library in the city of Herat. His art is unique in that it includes the common geometric attributes of Persian painting, while also inserting his own style, such as vast empty spaces to which the subject of the painting dances around. His art includes masterful use of value and individuality of character, with one of his most famous pieces being ""The Seduction of Yusuf”' from Sa'di's Bustan of 1488. Behzād’s fame and renown in his lifetime inspired many during, and after, his life to copy his style and works due to the wide praise they received. Due to the great number of copies and difficulty with tracing origin of works, there is a large amount of contemporary work into proper attribution.",https://en.wikipedia.org/wiki/Kam%C4%81l_ud-D%C4%ABn_Behz%C4%81d
Iraq,78,1,Zaha Hadid,http://www.wikidata.org/entity/Q47780,wd:Q47780,513402,Iraqi British architect and painter,"Dame Zaha Mohammad Hadid  (Arabic: زها حديد Zahā Ḥadīd; 31 October 1950 – 31 March 2016) was a British-Iraqi architect, artist and designer, recognised as a major figure in architecture of the late 20th and early 21st centuries. Born in Baghdad, Iraq, Hadid studied mathematics as an undergraduate and then enrolled at the Architectural Association School of Architecture in 1972. In search of an alternative system to traditional architectural drawing, and influenced by Suprematism and the Russian avant-garde, Hadid adopted painting as a design tool and abstraction as an investigative principle to ""reinvestigate the aborted and untested experiments of Modernism [...] to unveil new fields of building.""She was described by The Guardian as the ""Queen of the curve"", who ""liberated architectural geometry, giving it a whole new expressive identity"".  Her major works include the London Aquatics Centre for the 2012 Olympics, the Broad Art Museum, Rome's MAXXI Museum, and the Guangzhou Opera House. Some of her awards have been presented posthumously, including the statuette for the 2017 Brit Awards. Several of her buildings were still under construction at the time of her death, including the Daxing International Airport in Beijing, and the Al Wakrah Stadium in Qatar, a venue for the 2022 FIFA World Cup.Hadid was the first woman to receive the Pritzker Architecture Prize, in 2004. She received the UK's most prestigious architectural award, the Stirling Prize, in 2010 and 2011. In 2012, she was made a Dame by Elizabeth II for services to architecture, and in February, 2016, the month preceding her death, she became the first woman to be individually awarded the Royal Gold Medal from the Royal Institute of British Architects (Ray Eames and Sheila O'Donnell had previously been awarded it jointly with Charles Eames and John Tuomey respectively).",https://en.wikipedia.org/wiki/Zaha_Hadid
Israel,28,1,Yaacov Agam,http://www.wikidata.org/entity/Q276030,wd:Q276030,1336683,Israeli sculptor and experimental artist,"Yaacov Agam (Hebrew: יעקב אגם) (born 11 May 1928) is an Israeli sculptor and experimental artist widely known for his contributions to optical and kinetic art.

",https://en.wikipedia.org/wiki/Yaacov_Agam
Italy,282,1,Leonardo da Vinci,http://www.wikidata.org/entity/Q762,wd:Q762,18079,Italian Renaissance polymath (1452-1519),"Leonardo di ser Piero da Vinci (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor and architect. While his fame initially rested on his achievements as a painter, he also became known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and paleontology. Leonardo's genius epitomized the Renaissance humanist ideal, and his collective works compose a contribution to later generations of artists matched only by that of his younger contemporary, Michelangelo.Born out of wedlock to a successful notary and a lower-class woman in, or near, Vinci, he was educated in Florence by the Italian painter and sculptor Andrea del Verrocchio. He began his career in the city, but then spent much time in the service of Ludovico Sforza in Milan. Later, he worked in Florence and Milan again, as well as briefly in Rome, all while attracting a large following of imitators and students. Upon the invitation of Francis I, he spent his last three years in France, where he died in 1519. Since his death, there has not been a time where his achievements, diverse interests, personal life, and empirical thinking have failed to incite interest and admiration, making him a frequent namesake and subject in culture.
Leonardo is among the greatest painters in the history of art and is often credited as the founder of the High Renaissance. Despite having many lost works and less than 25 attributed major works—including numerous unfinished works—he created some of the most influential paintings in Western art. His magnum opus, the Mona Lisa, is his best known work and often regarded as the world's most famous painting. The Last Supper is the most reproduced religious painting of all time and his Vitruvian Man drawing is also regarded as a cultural icon. In 2017, Salvator Mundi, attributed in whole or part to Leonardo, was sold at auction for US$450.3 million, setting a new record for the most expensive painting ever sold at public auction.
Revered for his technological ingenuity, he conceptualized flying machines, a type of armored fighting vehicle, concentrated solar power, an adding machine, and the double hull. Relatively few of his designs were constructed or even feasible during his lifetime, as the modern scientific approaches to metallurgy and engineering were only in their infancy during the Renaissance. Some of his smaller inventions, however, entered the world of manufacturing unheralded, such as an automated bobbin winder and a machine for testing the tensile strength of wire. He made substantial discoveries in anatomy, civil engineering, hydrodynamics, geology, optics, and tribology, but he did not publish his findings and they had little to no direct influence on subsequent science.",https://en.wikipedia.org/wiki/Leonardo_da_Vinci
Jamaica,5,1,Barrington Watson,http://www.wikidata.org/entity/Q808936,wd:Q808936,8526831,Jamaican painter (1931-2016),Basil Barrington Watson (9 January 1931 – 26 January 2016) was a Jamaican painter.,https://en.wikipedia.org/wiki/Barrington_Watson
Japan,153,1,Katsushika Hokusai,http://www.wikidata.org/entity/Q5586,wd:Q5586,43357,Japanese artist (1760-1849),"Katsushika Hokusai (葛飾 北斎, c. 31 October 1760 – 10 May 1849), known simply as Hokusai, was a Japanese artist, ukiyo-e painter and printmaker of the Edo period. Hokusai is best known for the woodblock print series Thirty-Six Views of Mount Fuji which includes the internationally iconic print The Great Wave off Kanagawa.
Hokusai created the monumental Thirty-Six Views of Mount Fuji both as a response to a domestic travel boom in Japan and as part of a personal obsession with Mount Fuji. It was this series, specifically The Great Wave off Kanagawa and Fine Wind, Clear Morning, that secured his fame both in Japan and overseas. While Hokusai's work prior to this series is certainly important, it was not until this series that he gained broad recognition.Hokusai's work transformed the ukiyo-e artform from a style of portraiture largely focused on courtesans and actors into a much broader style of art that focused on landscapes, plants, and animals. Hokusai worked in various fields besides woodblock prints, such as painting and producing designs for book illustrations, including his own educational Hokusai Manga, which consists of thousands of images of every subject imaginable over fifteen volumes. Starting as a young child, he continued working and improving his style until his death, aged 88. In a long and successful career, he produced over 30,000 paintings, sketches, woodblock prints, and images for picture books in total. Innovative in his compositions and exceptional in his drawing technique, Hokusai is considered one of the greatest masters in the history of art.",https://en.wikipedia.org/wiki/Hokusai
Jordan,23,1,Princess Fahrelnissa Zeid,http://www.wikidata.org/entity/Q3064473,wd:Q3064473,1328444,Turkish artist (1901–1991),"Fahrelnissa Zeid (Arabic: فخر النساء زيد, Fakhr un-nisa or Fahr-El-Nissa; 7 January 1901 – 5 September 1991) was a Turkish artist best known for her large-scale abstract paintings with kaleidoscopic patterns. Also using drawings, lithographs, and sculptures. Zeid was one of the first women to go to art school in Istanbul. She lived in different cities and became part of the avant-garde scenes in 1940s Istanbul, and post-war Paris. Her work has been exhibited at various institutions in Paris, New York, and London, including the Institute of Contemporary Art in 1954. In the 1970s, she moved to Amman, Jordan, where she established an art school. In 2017, Tate Modern in London organized a major retrospective of the artist and called her ""one of the greatest female artists of the 20th century"".  Her largest work to be sold at auction, Towards a Sky (1953), sold for just under one million pounds in 2017. Her record is the USD 2,741,000 sale of her Break of the Atom and Vegetal Life (1962) in 2013 by Christies.
In the 1930s, she married into the Hashemite royal family of Iraq, and was the mother of Prince Ra'ad bin Zeid and the grandmother of Prince Zeid bin Ra'ad, Prince Mired bin Ra'ad, Prince Firas bin Ra'ad, Prince Faisal bin Ra'ad and Princess Nissa Raad.",https://en.wikipedia.org/wiki/Princess_Fahrelnissa_Zeid
Kazakhstan,14,1,Vladimir Tretchikoff,http://www.wikidata.org/entity/Q716596,wd:Q716596,1660979,Russian artist (1913-2006),"Vladimir Grigoryevich Tretchikoff (Владимир Григорьевич Третчиков, 26 December [O.S. 13 December] 1913, Petropavlovsk, Russian Empire, now Petropavl in Kazakhstan – 26 August 2006, Cape Town, South Africa) was an artist whose painting Chinese Girl, popularly known as The Green Lady, is one of the best-selling art prints of the twentieth century.Tretchikoff was a self-taught artist who painted realistic figures, portraits, still life, and animals, with subjects often inspired by his early life in China, Singapore and Indonesia, and later life in South Africa. While his work was immensely popular with the general public, it is often seen by art critics as the epitome of kitsch (indeed, he was nicknamed the ""King of Kitsch""). He worked in oil, watercolour, ink, charcoal and pencil but is best known for those works turned into reproduction prints. According to his biographer Boris Gorelik, writing in Incredible Tretchikoff, the reproductions were so popular that it was rumoured that Tretchikoff was the world's richest artist after Picasso.Red Jacket, a 1998 South African documentary, detailed Tretchikoff's life and work.",https://en.wikipedia.org/wiki/Vladimir_Tretchikoff
Kenya,11,1,Wangechi Mutu,http://www.wikidata.org/entity/Q457420,wd:Q457420,4215779,Kenyan sculptor,"Wangechi Mutu (born 1972) is a Kenyan-born American visual artist, known primarily for her painting, sculpture, film, and performance work. Born in Kenya, she has lived and established her career in New York for more than twenty years. Mutu's work has directed the female body as subject through collage painting, immersive installation, and live and video performance all the while exploring questions of self-image, gender constructs, cultural trauma, and environmental destruction, as well as notions of beauty and power.

",https://en.wikipedia.org/wiki/Wangechi_Mutu
Kosovo,6,1,Ramadan Ramadani,http://www.wikidata.org/entity/Q14542500,wd:Q14542500,30968666,Kosovar painter (1944-2005),"Ramadan Ramadani (1944–2005) was a  Kosovar painter from Ferizaj, Kosovo, a town southwest of Kosovo's capital city Pristina. He finished high school in his home town and in 1967 he was accepted at the Institute of Pedagogy in Prishtina, where he studied figurative arts. During his studies he was awarded the “best freestyle drawing of the year” award, one of the most prestigious awards given to students.",https://en.wikipedia.org/wiki/Ramadan_Ramadani
Kuwait,6,1,Shurooq Amin,http://www.wikidata.org/entity/Q19588367,wd:Q19588367,45654148,Kuwaiti artist,"Shurooq Amin (born 1967) is a Kuwaiti painter and poet.
Shurooq Amin was born in Kuwait in 1967 to a Kuwaiti father and a Syrian mother. Her father died when she was 11. She earned her BA in English literature from Kuwait University in 1988 and her MA in modern literature from Kent University in 1989. She earned her PhD in creative writing from Warnborough College in 2007, specialising in Ekphrastic art and poetry.
Amin is a lecturer at Kuwait University, where she heads the College of Business Administration's English Language Unit.Since her first solo exhibition in 1992, Amin's works have evolved to explore religion and sexuality, challenging cultural and societal boundaries. In 2009 and 2010 she exhibited Society Girls in Kuwait and London. The subject of her 2012 exhibition at Al M Gallery, It's a Man's World, was men in GCC countries. Kuwait City officials shut down the show three hours after its opening, deeming the content ""pornographic"". According to Amin the authorities focused on a work depicting three card-playing men ""drinking 'grape juice' from a bottle which suggested contraband alcohol"" and her work My Mistress and Family, which portrays a man with a woman in a minidress sitting in his lap. Her 2013 exhibition in Dubai, Popcornographic, explored taboos in Middle Eastern society. She is represented by Ayyam Gallery. In 2013, she was awarded Artist of the Year by Arab Woman Awards.Amin writes short stories and poetry. In 1994 she published the poetry collection Kuwaiti Butterfly Unveiled. Her writings have appeared in the literary journals Words-Myth, Etchings, Diode, and Beauty/Truth. She was nominated for a Pushcart Prize in December 2007 for her poem ""Framboise Fig and Bronze Nude"".",https://en.wikipedia.org/wiki/Shurooq_Amin
Kyrgyzstan,5,1,Lucien Dulfan,http://www.wikidata.org/entity/Q6697058,wd:Q6697058,17043160,American artist,"Lucien Dulfan (Russian: Люсьен Вениаминович Дульфан) (born 14 February 1942, Frunze, Kyrgyz SSR) is a Soviet-born conceptualist artist, resident in the United States since 1990. During his career in the USSR, he was considered a Nonconformist artist.",https://en.wikipedia.org/wiki/Lucien_Dulfan
Laos,2,1,Marisa Darasavath,http://www.wikidata.org/entity/Q42719188,wd:Q42719188,55717115,Laotian artist and translator,"Marisa Darasavath (born 1972) is a Laotian artist and translator who is cited in The New York Times as ""one of Laos's leading contemporary artists"".",https://en.wikipedia.org/wiki/Marisa_Darasavath
Latvia,63,1,Mark Rothko,http://www.wikidata.org/entity/Q160149,wd:Q160149,127657,American painter of Latvian-Jewish descent (1903-1970),"Mark Rothko (), born Markus Yakovlevich Rothkowitz (Russian: Ма́ркус Я́ковлевич Ротко́вич, Latvian: Markuss Rotkovičs; name not Anglicized until 1940; September 25, 1903 – February 25, 1970), was an American abstract painter of Latvian Jewish descent.  He is best known for his color field paintings that depicted irregular and painterly rectangular regions of color, which he produced from 1949 to 1970.
Although Rothko did not personally subscribe to any one school, he is associated with the American Abstract Expressionist movement of modern art.  Originally emigrating to Portland, Oregon from Russia with his family, Rothko later moved to New York City where his youthful period of artistic production dealt primarily with urban scenery.  In response to World War II, Rothko's art entered a transitional phase during the 1940s, where he experimented with mythological themes and Surrealism to express tragedy.  Toward the end of the decade Rothko painted canvases with regions of pure color which he further abstracted into rectangular color forms, the idiom he would use for the rest of his life.
In his later career, Rothko executed several canvases for three different mural projects. The Seagram murals were to have decorated the Four Seasons Restaurant in the Seagram Building, but Rothko eventually grew disgusted with the idea that his paintings would be decorative objects for wealthy diners and refunded the lucrative commission, donating the paintings to museums including the Tate Modern.  The Harvard Mural series was gifted to a dining room in Harvard's Holyoke Center (now Smith Campus Center); their colors faded badly over time due to Rothko's use of the pigment Lithol Red together with regular sunlight exposure.  The Harvard series has since been restored using a special lighting technique.  Rothko contributed 14 canvases to a permanent installation at the Rothko Chapel, a non-denominational chapel in Houston, Texas.
Although Rothko lived modestly for much of his life, the resale value of his paintings grew tremendously in the decades following his suicide in 1970.",https://en.wikipedia.org/wiki/Mark_Rothko
Lebanon,11,1,Paul Guiragossian,http://www.wikidata.org/entity/Q7151036,wd:Q7151036,44436268,Armenian painter,"Paul Guiragossian (Western Armenian: Փօլ Կիրակոսեան; 1926 – November 20, 1993) was an Armenian Lebanese painter.",https://en.wikipedia.org/wiki/Paul_Guiragossian
Libya,7,1,Mario Schifano,http://www.wikidata.org/entity/Q1411112,wd:Q1411112,19279309,Italian painter (1934-1998),"Mario Schifano (20 September 1934, Khoms, Libya – 26 January 1998, Rome, Italy) was an Italian painter and collagist of the Postmodern tradition. He also achieved some renown as a film-maker and rock musician.
He is considered to be one of the most significant and pre-eminent artists of Italian postmodernism. His work was exhibited in the famous 1962 ""New Realists"" show at the Sidney Janis Gallery with other young Pop art and Nouveau réalisme innovators, including Andy Warhol and Roy Lichtenstein. He became part of the core group of artists comprising the ""Scuola di Piazza del Popolo"" alongside Franco Angeli and Tano Festa. Renowned as a prolific and exuberant artist, he nonetheless struggled with a lifelong drug habit that earned him the label maledetto, or ""cursed"".Schifano had a relationship with Anita Pallenberg in 1963, and with Marianne Faithfull in 1969.He had a connection to The Rolling Stones beyond his relationships with Pallenberg and Faithfull: Keith Richards and Mick Jagger gave cameo performances in a film he directed, `Umano non Umano' (1968); and he was even the inspiration for a Rolling Stones song, `Monkey Man', on their 1969 album `Let It Bleed'.",https://en.wikipedia.org/wiki/Mario_Schifano
Lithuania,48,1,Isaac Levitan,http://www.wikidata.org/entity/Q211356,wd:Q211356,61629531,Russian artist (1860-1900),"Isaac Ilyich Levitan (Russian: Исаа́к Ильи́ч Левита́н; 30 August [O.S. 18 August] 1860 – 4 August [O.S. 22 July] 1900) was a classical Russian landscape painter who advanced the genre of the ""mood landscape"".",https://en.wikipedia.org/wiki/Isaac_Levitan
Luxembourg,35,1,Edward Steichen,http://www.wikidata.org/entity/Q313899,wd:Q313899,389901,"American photographer, artist and curator (1879-1973)","Edward Jean Steichen (March 27, 1879 – March 25, 1973) was a Luxembourgish American photographer, painter, and curator, renowned as one of the most prolific and influential figures in the history of photography.Steichen was credited with transforming photography into an art form. His photographs appeared in Alfred Stieglitz's groundbreaking magazine Camera Work more often than anyone else during its publication run from 1903 to 1917. Stieglitz hailed him as ""the greatest photographer that ever lived"".As a pioneer of fashion photography, Steichen's gown images for the magazine Art et Décoration in 1911 were the first modern fashion photographs to be published. From 1923 to 1938, Steichen served as chief photographer for the Condé Nast magazines Vogue and Vanity Fair, while also working for many advertising agencies, including J. Walter Thompson. During these years, Steichen was regarded as the most popular and highest-paid photographer in the world.After the United States' entry into World War II, Steichen was invited by the United States Navy to serve as Director of the Naval Aviation Photographic Unit. In 1944, he directed the war documentary The Fighting Lady, which won the Academy Award for Best Documentary Feature at the 17th Academy Awards.
From 1947 to 1961, Steichen served as Director of the Department of Photography at New York's Museum of Modern Art. While there, he curated and assembled exhibits including The Family of Man, which was seen by nine million people. In 2003, the Family of Man photographic collection was added to UNESCO's Memory of the World Register in recognition of its historical value.In February 2006, a print of Steichen's early pictorialist photograph, The Pond—Moonlight (1904), sold for US$2.9 million—at the time, the highest price ever paid for a photograph at auction.",https://en.wikipedia.org/wiki/Edward_Steichen
Malawi,1,1,Mary Nicol Neill Armour,http://www.wikidata.org/entity/Q6780415,wd:Q6780415,29239707,Scottish painter (1902-2000),"Dr Mary Nicol Neill Armour LLD, née Steel, (27 March 1902 – 5 July 2000) was a Scottish landscape and still life painter, art teacher and an Honorary President of the Glasgow School of Art and the Royal Glasgow Institute of the Fine Arts.

",https://en.wikipedia.org/wiki/Mary_Nicol_Neill_Armour
