0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox .navbar{font-size:100%}.mw-parser-output .navbox .navbar{display:block;font-size:100%}.mw-parser-output .navbox-title .navbar{float:left;text-align:left;margin-right:0.5em}vteCountries and languages lists",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}.mw-parser-output .infobox .navbar{font-size:100%}.mw-parser-output .navbox .navbar{display:block;font-size:100%}.mw-parser-output .navbox-title .navbar{float:left;text-align:left;margin-right:0.5em}vteCountries and languages lists",,,,,,,,,,,,,,,,
"CountriesBy languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union","CountriesBy languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",Countries,Countries,"By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union","By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Endonyms,Countries and capitals in native languages,Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,
Countries,Countries,,,,,,,,,,,,,,,,
"By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union","By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Endonyms,Countries and capitals in native languages,Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,,,,,
By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,
Spoken,Countries by spoken languages,,,,,,,,,,,,,,,,
Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,,,,,
Endonyms,Countries and capitals in native languages,,,,,,,,,,,,,,,,
Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,,,,,,,,,,,,,,,
"LanguagesBy continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages","LanguagesBy continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages",Languages,Languages,"By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages","By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages",By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",By population,"By number of native speakers
By number of total speakers
Languages in censuses",By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",See also,"Lists of languages
Category:Languages"
Languages,Languages,,,,,,,,,,,,,,,,
"By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages","By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages",By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",By population,"By number of native speakers
By number of total speakers
Languages in censuses",By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",See also,"Lists of languages
Category:Languages",,,,
By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",,,,,,,,,,,,,,,,
By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",,,,,,,,,,,,,,,,
By population,"By number of native speakers
By number of total speakers
Languages in censuses",,,,,,,,,,,,,,,,
By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",,,,,,,,,,,,,,,,
Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",,,,,,,,,,,,,,,,
See also,"Lists of languages
Category:Languages",,,,,,,,,,,,,,,,
Countries,Countries,,,,,,,,,,,,,,,,
"By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union","By languagesSpoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil
Endonyms
Countries and capitals in native languages
Exonyms
Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Endonyms,Countries and capitals in native languages,Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,,,,,
By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,
Spoken,Countries by spoken languages,,,,,,,,,,,,,,,,
Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,,,,,
Endonyms,Countries and capitals in native languages,,,,,,,,,,,,,,,,
Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,,,,,,,,,,,,,,,
By languages,"Spoken
Countries by spoken languages
Official
Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",Spoken,Countries by spoken languages,Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,
Spoken,Countries by spoken languages,,,,,,,,,,,,,,,,
Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,,,,,
Endonyms,Countries and capitals in native languages,,,,,,,,,,,,,,,,
Exonyms,"Country names in various languages
A・E・EC
D・E・EI
J・E・EP
Q・E・EZ
China
Germany
Iceland
India
Indonesia
Japan
Korea
Kosovo
Myanmar
Singapore
Sri Lanka
Vietnam
Languages of the European Union",,,,,,,,,,,,,,,,
Spoken,Countries by spoken languages,,,,,,,,,,,,,,,,
Official,"Countries by the number of recognized official languages
Arabic
Chinese
Dutch/Afrikaans
English
French
German
Hindustani
Italian
Malay
Persian
Portuguese
Romanian
Russian
Spanish
Tamil",,,,,,,,,,,,,,,,
Languages,Languages,,,,,,,,,,,,,,,,
"By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages","By continent
Africa
Americas
North
South
Asia
East
South
Europe
Oceania
By country
Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages
By population
By number of native speakers
By number of total speakers
Languages in censuses
By family
Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages
Language-basedgeopoliticalorganizations
Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)
See also
Lists of languages
Category:Languages",By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",By population,"By number of native speakers
By number of total speakers
Languages in censuses",By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",See also,"Lists of languages
Category:Languages",,,,
By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",,,,,,,,,,,,,,,,
By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",,,,,,,,,,,,,,,,
By population,"By number of native speakers
By number of total speakers
Languages in censuses",,,,,,,,,,,,,,,,
By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",,,,,,,,,,,,,,,,
Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",,,,,,,,,,,,,,,,
See also,"Lists of languages
Category:Languages",,,,,,,,,,,,,,,,
By continent,"Africa
Americas
North
South
Asia
East
South
Europe
Oceania",,,,,,,,,,,,,,,,
By country,"Official languages
by state
List of languages without official status
Countries by the number of recognized official languages
Languages by the number of countries in which they are recognized as an official language
Number of languages",,,,,,,,,,,,,,,,
By population,"By number of native speakers
By number of total speakers
Languages in censuses",,,,,,,,,,,,,,,,
By family,"Language families 
List of Afro-Asiatic languages
List of Austronesian languages
List of Indo-European languages
List of Mongolic languages
List of Tungusic languages
List of Turkic languages
List of Uralic languages",,,,,,,,,,,,,,,,
Language-basedgeopoliticalorganizations,"Arab League (Arabic)
Dutch Language Union (Dutch)
Commonwealth of Nations (English)
Francophonie (French)
Community of Portuguese Language Countries (Portuguese)
Paﾃｭses Africanos de Lﾃｭngua Oficial Portuguesa (Portuguese)
Latin Unionﾂ(Romance)
Hispanidad (Spanish)
Turkic Councilﾂ(Turkic)
International Organization of Turkic Cultureﾂ(Turkic)
Three Linguistic Spaces (French, Portuguese and Spanish)",,,,,,,,,,,,,,,,
See also,"Lists of languages
Category:Languages",,,,,,,,,,,,,,,,
