0,1,2,3,4,5,6,7
Pakistan,14-Aug-73,Constitution of Pakistan,14-Aug-47,Independence from British India in the Partition,,,
Pakistan,14-Aug-73,Constitution of Pakistan,14-Aug-47,Independence from British India in the Partition,,,
Palestine・E・E[Asia 2],04-May-94,Agreement on the Gaza Strip and the Jericho Area,15-Nov-88,Palestinian Declaration of Independence,15-Jun-07,Hamas takeover of the Gaza Strip,
Philippines・E・E[Asia 3],30-Nov-35,The Commonwealth of the Philippines was established through provisions of the Tydings・E・EMcDuffie Act.,12 June 1898,The evolving revolutionary movement in the Philippines declares itself independent from the Spanish Empire.[13][14][15],2012[16][17],"In 2012, the United Nations approved a 2009 claim by the Philippines to the Benham Rise.[17]",
Philippines・E・E[Asia 3],30-Nov-35,The Commonwealth of the Philippines was established through provisions of the Tydings・E・EMcDuffie Act.,04-Jul-46,"The United States recognizes independence under the provisions of the Treaty of Manila (1946). The 1935 Constitution remained in effect until 1973, when the Marcos regime promulgated a newer one, in turn replaced by the present 1987 Constitution.",2012[16][17],"In 2012, the United Nations approved a 2009 claim by the Philippines to the Benham Rise.[17]",
Qatar,,,18 December 1878,Independence from the Ottoman Empire,,,
Saudi Arabia,23-Sep-23,"Regions of al-Hasa, Qatif, Nejd and Hejaz unified to become Saudi Arabia",1744,Establishment of the First Saudi State [18],12-Jun-00,Border with Yemen finalized by Treaty of Jeddah (2000),
Singapore,9 August 1965[9],Singapore ceased to be a state of Malaysia,03-Jun-59,Self-government under the United Kingdom,09-Aug-65,Establishment of Singapore as an independent sovereign state[11],
Singapore,9 August 1965[9],Singapore ceased to be a state of Malaysia,09-Aug-65,separate from and independent of Malaysia[9][10],09-Aug-65,Establishment of Singapore as an independent sovereign state[11],
Sri Lanka,22-May-72,Constitution of Sri Lanka,04-Feb-48,Independence from United Kingdom,14 February 1815,De jure: The Kandyan Kingdom is annexed by British Ceylon,
Sri Lanka,22-May-72,Constitution of Sri Lanka,04-Feb-48,Independence from United Kingdom,18-May-09,De facto: The Sri Lankan government regains control of the whole island following the end of the Sri Lankan Civil War.,
Syria,27-Feb-12,Constitution of Syria[note 8],28-Sep-61,End of the United Arab Republic,08-Nov-41,De jure: Lebanon declares independence from the French Mandate for Syria and the Lebanon[note 8],
Syria,27-Feb-12,Constitution of Syria[note 8],28-Sep-61,End of the United Arab Republic,10-Jun-67,De facto: Israel conquers the Golan Heights from Syria during the Six-day War,
Tajikistan,,,09-Sep-91,Independence from the Soviet Union[5],05-Dec-29,Establishment of the Tajik SSR,
Thailand,06-Apr-17,Constitution of the Kingdom of Thailand 2017,6 November 1767,Salvage Independence by King Taksin the Great consist of expulsion of Burmese out of former capital (Through Taksin's reunification of Siam on October-6 November 1767) and Establish a New kingdom together with reunification of Thailand,10-Mar-09,Anglo-Siamese Treaty of 1909,
Timor-Leste,20-May-02,Constitution of East Timor,28-Nov-75,East Timor declares its independence but was suppressed by the Indonesian invasion,1914,The borders of Portuguese Timor are agreed.[19],
Timor-Leste,20-May-02,Constitution of East Timor,20-May-02,Independence was recognized by the international community following the UN-sponsored act of self-determination of 1999,1914,The borders of Portuguese Timor are agreed.[19],
Turkmenistan,28-Sep-08,Constitution of Turkmenistan,27-Oct-91,Independence from the Soviet Union[5],07-Aug-21,Establishment of the Turkmen SSR,
United Arab Emirates,,,02-Dec-71,End of treaty relationship with the United Kingdom,11-Feb-72,Ras al-Khaimah joins the UAE,
Uzbekistan,,,31-Aug-91,Independence from the Soviet Union declared[5],24-Oct-24,Establishment of the Uzbek SSR,
Vietnam,31-Dec-59,North Vietnam declared a socialist republic,02-Sep-45,Withdrawal of the Japanese after World War II,02-Jul-76,Reunification of North Vietnam and South Vietnam as Socialist Republic of Vietnam,
Vietnam,01-Jan-14,Current Constitution of the Socialist Republic of Vietnam,02-Sep-45,Withdrawal of the Japanese after World War II,02-Jul-76,Reunification of North Vietnam and South Vietnam as Socialist Republic of Vietnam,
Yemen,22-May-90,Unification of North Yemen and South Yemen,01-Nov-18,North Yemen independence from the Ottoman Empire,21-Sep-14,Houthis seized control of the bulk of the former North Yemen territory and its capital Sana'a,
Yemen,22-May-90,Unification of North Yemen and South Yemen,30-Nov-67,South Yemen independence from the United Kingdom,26-Apr-20,Southern Transitional Council declares self-governance of Socotra and some areas controlled by the former PDR Yemen.,
Country,Date of current form of government,Birth of current form of government,Date of acquisition of sovereignty,Acquisition of sovereignty,Date of territorial modification,Most recent significant territorial modification,
Albania,29-Apr-91,Socialist People's Republic of Albania was replaced by the Republic of Albania.,1190 c.,Principality of Arbﾃｫr was established by archon Progon.,1945,"Occupied Kosovo, west Macedonia and border region of Montenegro returned to Yugoslavia",
Albania,29-Apr-91,Socialist People's Republic of Albania was replaced by the Republic of Albania.,28-Nov-12,Declaration of independence from Ottoman Empire,1945,"Occupied Kosovo, west Macedonia and border region of Montenegro returned to Yugoslavia",
Albania,29-Apr-91,Socialist People's Republic of Albania was replaced by the Republic of Albania.,28-Nov-44,Albanian state re-established after Italian/German occupation,1945,"Occupied Kosovo, west Macedonia and border region of Montenegro returned to Yugoslavia",
Andorra,28-Apr-93,Current Constitution of Andorra entered force,1813,"Reversal of annexation of Andorra by the Napoleonic Empire, through the Peninsular War",28-Aug-01,The Andorra・E・EFrance border is adjusted to allow Andorra to construct the Envalira Tunnel access bridge,
Austria,12-Nov-18,Declaration of the Republic of German-Austria,15-May-55,Austrian Independence Treaty re-established Austria as a sovereign state,14-Dec-21,"City of Sopron, and 8 other towns moved to Hungary after plebiscite",
Austria,12-Nov-18,Declaration of the Republic of German-Austria,17 September 1156,Privilegium Minus: Sovereignty from Duchy of Bavaria as a Duchy of the Holy Roman Empire,14-Dec-21,"City of Sopron, and 8 other towns moved to Hungary after plebiscite",
Austria,12-Nov-18,Declaration of the Republic of German-Austria,11 August 1804,Proclamation of the Austrian Empire,14-Dec-21,"City of Sopron, and 8 other towns moved to Hungary after plebiscite",
Belarus,28-Nov-96,Constitutional amendment abolishes the Supreme Soviet and establishes the National Assembly,27-Jul-90,Declaration of State Sovereignty of the Belarusian Soviet Socialist Republic,1945,Western border with Poland: modification of the Curzon Line determined at the 1945 Yalta Conference,
Belarus,28-Nov-96,Constitutional amendment abolishes the Supreme Soviet and establishes the National Assembly,25-Aug-91,Independence recognized by Soviet Union[5],1945,Western border with Poland: modification of the Curzon Line determined at the 1945 Yalta Conference,
Belgium,21 July 1831,King Leopold I of Belgium swears allegiance to the constitution making the country a constitutional monarchy,4 October 1830,Independence was proclaimed by the provisonial government,28-Jun-19,Belgian proper:Treaty of Versailles and annexation of the East Cantons,
Belgium,21 July 1831,King Leopold I of Belgium swears allegiance to the constitution making the country a constitutional monarchy,4 October 1830,Independence was proclaimed by the provisonial government,01-Jul-62,Belgian colonial empire:Ruanda-Urundi declares independence and split within two countries: Rwanda and Burundi.,
Bosnia and Herzegovina,03-Mar-92,Independence declared from the SFR Yugoslavia[note 9],1154,Formation of the Banate of Bosnia,25-Nov-43,Establishment of SR Bosnia in the Socialist Federal Republic of Yugoslavia,
Bulgaria,10-Nov-89,People's Republic of Bulgaria was replaced by the Republic of Bulgaria,632 then 681,Old Great Bulgaria and the successor state of the First Bulgarian Empire are formed,28-Oct-44,"Under the 1944 Armistice with the Allies, Bulgaria renounces the 1941 annexation of Vardar Macedonia from Yugoslavia and Eastern Macedonia and Western Thrace from Greece. Formally confirmed on 10 February 1947 by Paris Peace Treaties.",
Bulgaria,10-Nov-89,People's Republic of Bulgaria was replaced by the Republic of Bulgaria,1185,Second Bulgarian Empire formed,28-Oct-44,"Under the 1944 Armistice with the Allies, Bulgaria renounces the 1941 annexation of Vardar Macedonia from Yugoslavia and Eastern Macedonia and Western Thrace from Greece. Formally confirmed on 10 February 1947 by Paris Peace Treaties.",
Bulgaria,10-Nov-89,People's Republic of Bulgaria was replaced by the Republic of Bulgaria,13 July 1878,Autonomy within Ottoman Empire recognized internationally by the Treaty of Berlin,28-Oct-44,"Under the 1944 Armistice with the Allies, Bulgaria renounces the 1941 annexation of Vardar Macedonia from Yugoslavia and Eastern Macedonia and Western Thrace from Greece. Formally confirmed on 10 February 1947 by Paris Peace Treaties.",
Bulgaria,10-Nov-89,People's Republic of Bulgaria was replaced by the Republic of Bulgaria,22-Sep-08,Independence from Ottoman Empire,28-Oct-44,"Under the 1944 Armistice with the Allies, Bulgaria renounces the 1941 annexation of Vardar Macedonia from Yugoslavia and Eastern Macedonia and Western Thrace from Greece. Formally confirmed on 10 February 1947 by Paris Peace Treaties.",
Croatia,08-Oct-91,Independence from SFR Yugoslavia[note 9],626,Formation of Duchy of Croatia[20][21][22][23][24],10-Feb-47,Annexation of most of Istria to SR Croatia as a result of signing the 1947 Paris Peace Treaties,
Croatia,08-Oct-91,Independence from SFR Yugoslavia[note 9],925,Formation of Kingdom of Croatia by King Tomislav,10-Feb-47,Annexation of most of Istria to SR Croatia as a result of signing the 1947 Paris Peace Treaties,
Czech Republic,01-Jan-93,"Dissolution of Czechoslovakia, creating Czech Republic and Slovakia",895,Independence from Great Moravia,,,
Denmark,05-Jun-53,Constitutional Act of Denmark,777 (or prior),Various Danish kings are mentioned throughout the 8th century.,,,
Denmark,05-Jun-53,Constitutional Act of Denmark,777 (or prior),Various Danish kings are mentioned throughout the 8th century.,15-Jun-20,Denmark proper:Sﾃｸnderjylland was recovered from Germany.[note 10],
Estonia,24-Feb-18,"Estonian Declaration of Independence, whereby a republic was declared[Europe 1]",24-Feb-18,Independence declared from the Russian Empire,01-Jul-20,De jure: Signing of the Estonia・E・ELatvia Border Treaty whereby Valga proper was ceded to Estonia,
Estonia,24-Feb-18,"Estonian Declaration of Independence, whereby a republic was declared[Europe 1]",20-Aug-91,"Independence (from the Soviet Union) reasserted, end of occupation[note 11]",01-Jan-45,De facto: Eastern coast of Narva river and most of Petseri County were transferred to Russian SFSR,
Finland,29 March 1809,"Diet of Porvoo, birth of Finland as an autonomous state entity within Russian Empire",06-Dec-17,Independence from Russian Empire declared,26-Jan-56,Porkkala returned from Soviet control,
Finland,29 March 1809,"Diet of Porvoo, birth of Finland as an autonomous state entity within Russian Empire",03-Jan-18,"Independence from Russia recognized by the highest Soviet executive body, VTsIK",26-Jan-56,Porkkala returned from Soviet control,
France,04-Oct-58,Establishment of the current semi-presidential system known as the Fifth Republic,481 then843,"First creation with (Clovis), king of the Franks
Creation of the Kingdom of France (West Francia), Treaty of Verdun",10-Feb-47,"Metropolitan France:Annexation of Tende, La Brigue and other villages formerly in Italy.[note 12][note 13]",
France,04-Oct-58,Establishment of the current semi-presidential system known as the Fifth Republic,481 then843,"First creation with (Clovis), king of the Franks
Creation of the Kingdom of France (West Francia), Treaty of Verdun",05-Jul-62,Overseas France:Loss of the French departments in Algeria following the latter's independence.,
Germany,23-May-49,The Basic Law of Germany comes into effect.,"843 then
962","Creation of East Francia
East Francia becomes the Holy Roman Empire (with the Kingdom of Germany as a main part of the empire)",03-Oct-90,Reunification of West Germany and East Germany,
Germany,23-May-49,The Basic Law of Germany comes into effect.,1815,German Confederation founded,03-Oct-90,Reunification of West Germany and East Germany,
Germany,23-May-49,The Basic Law of Germany comes into effect.,18 January 1871,German Empire founded,03-Oct-90,Reunification of West Germany and East Germany,
Germany,23-May-49,The Basic Law of Germany comes into effect.,1954,German Democratic Republic (commonly referred to at the time as East Germany) declared fully sovereign,03-Oct-90,Reunification of West Germany and East Germany,
Germany,23-May-49,The Basic Law of Germany comes into effect.,05-May-55,Federal Republic of Germany (commonly referred to at the time as West Germany) declared fully sovereign,03-Oct-90,Reunification of West Germany and East Germany,
Germany,23-May-49,The Basic Law of Germany comes into effect.,15-May-91,Treaty on the Final Settlement with Respect to Germany ends the Four Power occupation.,03-Oct-90,Reunification of West Germany and East Germany,
Greece,11-Jun-75,Third Hellenic Republic,"25 March 1821 (Traditional)
23 February 1821 (Actual)","Greek Revolution starts, various regional administrations established during 1821",10-Feb-47,Peace treaty with Italy awards the Dodecanese to Greece,
Greece,11-Jun-75,Third Hellenic Republic,1 January 1822,Provisional Administration of Greece proclaimed,10-Feb-47,Peace treaty with Italy awards the Dodecanese to Greece,
Greece,11-Jun-75,Third Hellenic Republic,3 February 1830,Independence recognised by the London Protocol as Kingdom of Greece.,10-Feb-47,Peace treaty with Italy awards the Dodecanese to Greece,
Hungary,23-Oct-89,People's Republic of Hungary was replaced by the Republic of Hungary.,895,Principality of Hungary formed,10-Feb-47,"With the Paris Peace Treaty, Hungary loses all territories that were regained with the First and Second Vienna Awards and during World War II, thus it returns to the 1937 borders (except for three villages in the northwest given to Czechoslovakia).",
Hungary,01-Jan-12,The Basic Law of Hungary comes into effect.,1000,Formation of the Kingdom of Hungary by Stephen I of Hungary.,10-Feb-47,"With the Paris Peace Treaty, Hungary loses all territories that were regained with the First and Second Vienna Awards and during World War II, thus it returns to the 1937 borders (except for three villages in the northwest given to Czechoslovakia).",
Iceland,930,The Icelandic Commonwealth established and first meeting held of the Althingi (Parliament).,01-Dec-18,Iceland becomes sovereign and independent from Denmark as the Kingdom of Iceland but retains a personal union with the King of Denmark.,01-Sep-72,"No territorial changes on land have taken place, however the expansion of the Exclusive Economic Zone was such an important change in territory for Iceland that it merits a special inclusion here.",
Iceland,1 July 1845,The Althingi resumes meeting after hiatus since 1799.,17-Jun-44,Kingdom of Iceland becomes a Republic.,01-Sep-72,"No territorial changes on land have taken place, however the expansion of the Exclusive Economic Zone was such an important change in territory for Iceland that it merits a special inclusion here.",
Ireland,21-Jan-19,Elected Irish Parliament Dﾃ｡il ﾃ・Eireann unilaterally declares Ireland's independence from the United Kingdom,1542,Foundation of the Kingdom of Ireland,,,
Ireland,21-Jan-19,Elected Irish Parliament Dﾃ｡il ﾃ・Eireann unilaterally declares Ireland's independence from the United Kingdom,06-Dec-22,Irish Free State secedes from United Kingdom by agreement in accordance with the terms of the Anglo-Irish Treaty but remains a dominion of the British Empire,08-Dec-22,De facto: Northern Ireland secedes from the Irish Free State and rejoins the United Kingdom in accordance with the Irish Free State Constitution Act 1922,
Ireland,21-Jan-19,Elected Irish Parliament Dﾃ｡il ﾃ・Eireann unilaterally declares Ireland's independence from the United Kingdom,11-Dec-31,Statute of Westminster confers legislative independence from the United Kingdom,,,
Ireland,29-Dec-37,"Constitution of Ireland establishes the roles of Taoiseach and President, and replaces the Irish Free State (or Saorstat Eireann in Irish language) with a new state named Ireland (or ﾃ・Eire in Irish language).",18-Apr-49,Republic of Ireland Act 1948 terminates the functions of the British King in Ireland's diplomatic relations; domestic United Kingdom law purports that Ireland was one of the King's dominions until this date; Irish law does not accept this interpretation.,02-Dec-99,De jure: Amendment to the Irish constitution removes irredentist claims to Northern Ireland.[note 14],
Italy,01-Jan-48,Constitution of Italy creating the Italian Republic,17 March 1861,Italian unification,,,
Italy,01-Jan-48,Constitution of Italy creating the Italian Republic,23 August 476,"Establishment of the Kingdom of Italy, an independent successor state created after the Fall of the Western Roman Empire",,,
Italy,01-Jan-48,Constitution of Italy creating the Italian Republic,2 January 888 c.,"Sovereignty of the Kingdom of Italy, an independent successor state of the dissolved Carolingian Empire",,,
Italy,01-Jan-48,Constitution of Italy creating the Italian Republic,25-Apr-45,"Disestablishment of the German-backed Italian Social Republic, whereby the unity and independence of the Italian state was restored",01-Jan-48,The Peace treaty with Italy officially determines the boundaries of the Republic of Italy. The Italian Constitution of 1948 implements it at articles 10 and 117.,
Latvia,07-Nov-22,Constitution of Latvia enforced[Europe 1],18-Nov-18,Independence declared from Russia,1944,Abrene district ceded to Russian SFSR (modern Russia),
Latvia,07-Nov-22,Constitution of Latvia enforced[Europe 1],04-May-90,Independence (from Soviet Union) reasserted[note 11],1944,Abrene district ceded to Russian SFSR (modern Russia),
Liechtenstein,16-Mar-03,The 2003 Liechtenstein constitutional referendum increases the Prince's powers and makes the country an absolute monarchy[26],19 October 1813,Dissolution of the Confederation of the Rhine,23 January 1719,Purchase of Vaduz,
Lithuania,11-Mar-90,"Act of the Re-Establishment of the State of Lithuania independence (from the Soviet Union) reasserted, end of occupation[note 11][Europe 1]",1253,"Coronation of King Mindaugas (state established some time earlier, perhaps in the 1230s)",27 October 1939 and3 August 1940,Western part (approximately half) of Vilnius Region ceded to Lithuania,
Lithuania,11-Mar-90,"Act of the Re-Establishment of the State of Lithuania independence (from the Soviet Union) reasserted, end of occupation[note 11][Europe 1]",16-Feb-18,Independence declared from Germany and Russia,27 October 1939 and3 August 1940,Western part (approximately half) of Vilnius Region ceded to Lithuania,
Luxembourg,23 November 1890,"Separates from union with the Kingdom of the Netherlands, becomes Grand Duchy in its own right",1945,End of German occupation during World War II,19 April 1839,Partition of Luxembourg under the Treaty of London,
Malta,13-Dec-74,The State of Malta became a republic,21-Sep-64,Independence from United Kingdom,20 August 1801,Gozo rejoined Malta,
Moldova,27-Aug-97,Constitution of Moldova (1997),27-Aug-91,Independence from Soviet Union[5],02-Aug-40,De jure: Moldavian SSR formed,
Moldova,27-Aug-97,Constitution of Moldova (1997),27-Aug-91,Independence from Soviet Union[5],02-Sep-90,"De facto: Pridnestrovian Moldavian Republic declares independence. The government is not recognized by any UN member, but has de facto control over the Transnistria region.",
Monaco,17-Dec-62,Amendment to Constitution of Monaco curtails the power of the prince and establishes the modern National Council,1861,Franco-Monegasque Treaty confirms Monaco's sovereignty (formerly a protectorate of the Kingdom of Sardinia),1848,Secession of Menton and Roquebrune-Cap-Martin.,
Montenegro,22-Oct-07,Constitution of Montenegro,25-Nov-43,Establishment of SR Montenegro,,,
Montenegro,22-Oct-07,Constitution of Montenegro,25-Nov-43,Establishment of SR Montenegro,13 July 1878,Independence officially confirmed by Ottoman Empire internationally by the Treaty of Berlin other countries recognized earlier.,
Montenegro,22-Oct-07,Constitution of Montenegro,25-Nov-43,Establishment of SR Montenegro,03-Jun-06,Declaration of independence from Serbia and Montenegro.,
Netherlands,24 August 1815,Adoption of the constitution of the United Kingdom of the Netherlands.,26 July 1581,"Plakkaat van Verlatinghe signed, independence from Spain",16 March 1839,European Netherlands: The United Kingdom of the Netherlands divided under the Treaty of London (1839).,
Netherlands,15-Dec-54,Charter for the Kingdom of the Netherlands signed,05-May-45,Surrender of Nazi forces occupying the Netherlands,25-Nov-75,Kingdom of the Netherlands: Suriname declares independence.,
North Macedonia(until 2019 Republic of Macedonia),17-Nov-91,Constitution of North Macedonia,08-Sep-91,"After a referendum, the Socialist Republic of Macedonia declared independence from Yugoslavia[note 9]",02-Aug-44,Establishment of SR Macedonia,
Norway,1814,Constitution of Norway,872,King Harald I of Norway unifies the Petty kingdoms of Norway.,27-Feb-30,Jan Mayen was made part of the Kingdom of Norway.,
Norway,1814,Constitution of Norway,1814,Dissolution of the union between Norway and Denmark.,27-Feb-30,Jan Mayen was made part of the Kingdom of Norway.,
Norway,1814,Constitution of Norway,07-Jun-05,Dissolution of the union between Norway and Sweden.,27-Feb-30,Jan Mayen was made part of the Kingdom of Norway.,
Norway,1814,Constitution of Norway,08-May-45,German occupying forces surrender.,27-Feb-30,Jan Mayen was made part of the Kingdom of Norway.,
Poland,04-Jun-89,The first partially free Parliament's vote after 45-year-long Soviet domination,966,Adoption of Christianity by the first historically documented Polish ruler Mieszko I.,15-Feb-51,Polish-Soviet border adjustment treaty,
Poland,04-Jun-89,The first partially free Parliament's vote after 45-year-long Soviet domination,1025,Formation of the Kingdom of Poland by Mieszko's son Bolesﾅ・Eaw I Chrobry.,15-Feb-51,Polish-Soviet border adjustment treaty,
Portugal,02-Apr-76,Constitution of Portugal,25 July 1139,County of Portugal becomes independent from the Kingdom of Leﾃｳn after the Battle of Ourique as part of the Reconquista. Recognized by Leﾃｳn in 1143 and by the Pope in 1179.,6 June 1801,Continental Portugal:Spain occupies the present day border town of Olivenﾃｧa since the War of the Oranges.,
Portugal,02-Apr-76,Constitution of Portugal,25 July 1139,County of Portugal becomes independent from the Kingdom of Leﾃｳn after the Battle of Ourique as part of the Reconquista. Recognized by Leﾃｳn in 1143 and by the Pope in 1179.,20-Dec-99,Portuguese Overseas:De facto: Portuguese Macau transferred to the People's Republic of China,
Portugal,02-Apr-76,Constitution of Portugal,25 July 1139,County of Portugal becomes independent from the Kingdom of Leﾃｳn after the Battle of Ourique as part of the Reconquista. Recognized by Leﾃｳn in 1143 and by the Pope in 1179.,20-May-02,"Portuguese Overseas:De jure: Portuguese Timor, occupied by Indonesia since 1975, officially dissolved to form the independent state of East Timor.[note 15]",
Romania,22-Dec-89,Romanian Revolution of 1989,24 January 1859,Autonomous Principality of Romania founded; becomes kingdom in 1866 and achieved independence 1878 Ottoman Empire,10-Feb-47,Soviet occupation of Bessarabia and Northern Bukovina,
Romania,22-Dec-89,Romanian Revolution of 1989,13 July 1878,International recognition by the Treaty of Berlin.,10-Feb-47,Soviet occupation of Bessarabia and Northern Bukovina,
San Marino,1600,Constitution of San Marino,1243,The people of San Marino established the positions of Captains Regent ('Capitani Reggenti') as a joint heads of state,1463,"Added Fiorentino, Montegiardino, Serravalle, and Faetano",
Serbia,27-Apr-92,"Independence from SFR Yugoslavia, forming the Federal Republic of Yugoslavia.[note 9]",650 then 768[27],7th century-Creation of the Principality of Serbia in the Southeastern Europe.,17 February 2008 (disputed)[28],"The region of Kosovo declared independence unilaterally on 17 February 2008, and is recognized by 108 UN states. Serbia recognizes the government of Kosovo but claims its territory as an Autonomous Province.",
Serbia,08-Jun-06,"Republic of Serbia declared legal successor to Serbia and Montenegro, ending the process of the dissolution of Yugoslavia.",650 then 768[27],,17 February 2008 (disputed)[28],,
Slovakia,01-Jan-93,Dissolution of Czechoslovakia,01-Jan-93,"Dissolution of Czechoslovakia, creating Slovakia and Czech Republic",,,
Slovenia,13-Dec-91,Constitution of Slovenia,25-Jun-91,Declaration of independence from Yugoslavia[note 9],19-Feb-45,Formation of SR Slovenia,
Spain,06-Dec-78,Spanish Constitution,1479,"Dinastical unification of the Crown of Castile and the Crown of Aragon by the Catholic Monarchs. The governments, institutions, and legal traditions of each kingdom remained independent of each other; alien laws (Leyes de extranjeria) determined that the national of one kingdom was a foreigner in the other Crowns/States.[29]",26-Feb-76,Spanish Sahara is lost following the Madrid Accords.,
Spain,06-Dec-78,Spanish Constitution,1707~1716,De jure by the Nueva Planta decrees,26-Feb-76,Spanish Sahara is lost following the Madrid Accords.,
Spain,06-Dec-78,Spanish Constitution,1831,"Dissolution of crowns and kingdoms and creation de jure, of the unified Kingdom of Spain.",26-Feb-76,Spanish Sahara is lost following the Madrid Accords.,
Sweden,01-Jan-74,Instrument of Government,970 (Or prior),"Eric the Victorious, the first king of Sweden about whom anything definite is known, becomes king.",29 March 1809,Loss of Finland to Imperial Russia.,
Sweden,01-Jan-74,Instrument of Government,6 June 1523,Gustav Vasa elected King of Sweden and marking a definite secession from the Kalmar Union.,29 March 1809,Loss of Finland to Imperial Russia.,
Switzerland,12 November 1848,Foundation of the federal state after Sonderbund war,1291,Traditional founding,1815,"The cantons of Valais, Neuchﾃ｢tel and Geneva join the Swiss Confederation.",
Switzerland,12 November 1848,Foundation of the federal state after Sonderbund war,7 August 1815,"Restoration of the Ancien Rﾃｩgime (federalism), reverting the changes imposed by Napoleon Bonaparte.",1815,"The cantons of Valais, Neuchﾃ｢tel and Geneva join the Swiss Confederation.",
Ukraine,24-Aug-91,Independence from Soviet Union,882,Formation of the Kievan Rus',18-Mar-14,Annexation of Crimea by Russia,
Ukraine,24-Aug-91,Independence from Soviet Union,22-Jan-18,Independence of Ukrainian People's Republic from Russian Republic declared.,18-Mar-14,Annexation of Crimea by Russia,
Ukraine,24-Aug-91,Independence from Soviet Union,24-Aug-91,Independence of former Ukrainian Soviet Socialist Republic from Soviet Union declared.[5],18-Mar-14,Annexation of Crimea by Russia,
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",519 then927,Kingdom of Wessex thenKingdom of England,1603,"The Kingdoms of Scotland, England and Ireland were united in a personal union when James VI, King of Scots inherited the crowns of England and Ireland; each country nevertheless remained a separate political entity and retained its separate political, legal and religious institutions.[30][31]",
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",843,"Kingdom of Scotland
(Devolved Parliament since 1999)",1603,"The Kingdoms of Scotland, England and Ireland were united in a personal union when James VI, King of Scots inherited the crowns of England and Ireland; each country nevertheless remained a separate political entity and retained its separate political, legal and religious institutions.[30][31]",
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",1057[32] then1165[33],"Kingdom of Wales thenPrincipality of Wales
(Annexed by England in 1542)(Devolved Assembly since 1999)",1603,"The Kingdoms of Scotland, England and Ireland were united in a personal union when James VI, King of Scots inherited the crowns of England and Ireland; each country nevertheless remained a separate political entity and retained its separate political, legal and religious institutions.[30][31]",
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",1171 then1542,Lordship of Ireland thenKingdom of Ireland,1603,"The Kingdoms of Scotland, England and Ireland were united in a personal union when James VI, King of Scots inherited the crowns of England and Ireland; each country nevertheless remained a separate political entity and retained its separate political, legal and religious institutions.[30][31]",
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",1 May 1707,"Kingdom of Great Britain
(United the parliaments of Scotland and England)",,,
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",1 January 1801,"United Kingdom of Great Britain and Ireland[34][35][36]
(United the parliaments of Great Britain and Ireland)",6 December 1922 then 8 December 1922,Irish Free State secedes from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922.,
United Kingdom,08-Dec-22,"The Irish Free State seceded from the United Kingdom of Great Britain and Ireland by agreement in accordance with the terms of the Anglo-Irish Treaty and the Irish Free State Constitution Act 1922, however Northern Ireland opted to exclude itself from the Irish Free State two days later creating the United Kingdom of Great Britain and Northern Ireland.",08-Dec-22,"United Kingdom of Great Britain and Northern Ireland
(Partitioned the island of Ireland)",01-Jul-97,British Overseas Territories:Hong Kong was transferred to the People's Republic of China in 1997.[note 12],
Vatican City,1274,Birth of current form of government the Papal conclave in 1274,07-Jun-29,"Ratification of the Lateran Treaty, making the Vatican City a sovereign state",11-Feb-29,Signing of the Lateran Treaty,
Country,Date of current form of government,Birth of current form of government,Date of acquisition of sovereignty,Acquisition of sovereignty,Date of territorial modification,Most recent significant territorial modification,
Australia,01-Jan-01,Commonwealth of Australia established as federation.,01-Jan-01,Independence from United Kingdom.,16-Sep-75,Papua New Guinea becomes formally independent of Australia,
