,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
484,Estonia,12,Georg Kuphaldt,http://www.wikidata.org/entity/Q67490,wd:Q67490,22607616,"Georg Friedrich Ferdinand Kuphaldt (Latvian: Georgs Frīdrīhs Ferdinands Kūfalts) (6 June 1853 in Plön, Holstein – 14 April 1938 in Berlin, Germany) was an influential German landscape architect, gardener and dendrologist of the Russian Empire.At the age of 27, Kuphaldt was promoted to the perhaps most prestigeful position in his career as director of the city gardens and parks in Riga. The following almost 35 years he was in charge of establishing and developing the newly created administration of the city's gardens and parks, of which structures has been preserved until today. In the period from 1880 to 1914 he was also involved in planning parks and gardens throughout the Russian Empire. Some of the most renowned works of Kuphaldt are the gardens of the Winter Palace and Oranienbaum in Saint Petersburg as well as locations in Nizhny Novgorod, Dagomys in Sochi, Tsarskoye Selo and Catharinenthal Palace in Reval (now Tallinn).",https://en.wikipedia.org/wiki/Georg_Kuphaldt
502,Fiji,3,Ron Sang,http://www.wikidata.org/entity/Q7364357,wd:Q7364357,38493081,"Ronald Fong Sang  (11 July 1938 – 11 June 2021) was a New Zealand architect, art collector, art exhibitor and publisher of New Zealand art books.",https://en.wikipedia.org/wiki/Ron_Sang
504,Finland,86,Alvar Aalto,http://www.wikidata.org/entity/Q82840,wd:Q82840,2009,"Hugo Alvar Henrik Aalto (pronounced [ˈhuːɡo ˈɑlʋɑr ˈhenrik ˈɑːlto]; 3 February 1898 – 11 May 1976) was a Finnish architect and designer. His work includes architecture, furniture, textiles and glassware, as well as sculptures and paintings. He never regarded himself as an artist, seeing painting and sculpture as ""branches of the tree whose trunk is architecture."" Aalto's early career ran in parallel with the rapid economic growth and industrialization of Finland during the first half of the 20th century. Many of his clients were industrialists, among them the Ahlström-Gullichsen family. The span of his career, from the 1920s to the 1970s, is reflected in the styles of his work, ranging from Nordic Classicism of the early work, to a rational International Style Modernism during the 1930s to a more organic modernist style from the 1940s onwards. 
Typical for his entire career is a concern for design as a Gesamtkunstwerk, a total work of art, in which he – together with his first wife Aino Aalto – would design the building, and give special treatment to the interior surfaces, furniture, lamps and glassware. His furniture designs are considered Scandinavian Modern, in the sense of a concern for materials, especially wood, and simplification but also technical experimentation, which led him to receiving patents for various manufacturing processes, such as bent wood. As a designer he is celebrated as the inventor of bent plywood furniture. The Alvar Aalto Museum, designed by Aalto himself, is located in what is regarded as his home city Jyväskylä.",https://en.wikipedia.org/wiki/Alvar_Aalto
523,France,170,Le Corbusier,http://www.wikidata.org/entity/Q4724,wd:Q4724,17900,"Charles-Édouard Jeanneret (6 October 1887 – 27 August 1965), known as Le Corbusier (UK:  lə kor-BEW-zee-ay, US:  lə KOR-boo-ZYAY, -⁠SYAY, French: [lə kɔʁbyzje]; roughly, ""the crow-like one""), was a Swiss-French architect, designer, painter, urban planner, writer, and one of the pioneers of what is now regarded as modern architecture. He was born in Switzerland and became a French citizen in 1930. His career spanned five decades, and he designed buildings in Europe, Japan, India, and North and South America.
Dedicated to providing better living conditions for the residents of crowded cities, Le Corbusier was influential in urban planning, and was a founding member of the Congrès International d'Architecture Moderne (CIAM). Le Corbusier prepared the master plan for the city of Chandigarh in India, and contributed specific designs for several buildings there, especially the government buildings.
On 17 July 2016, seventeen projects by Le Corbusier in seven countries were inscribed in the list of UNESCO World Heritage Sites as The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement.Le Corbusier remains a controversial figure. Some of his urban planning ideas have been criticized for their indifference to pre-existing cultural sites, societal expression and equity, and his ties with fascism, antisemitism and the dictator Benito Mussolini have resulted in some continuing contention.",https://en.wikipedia.org/wiki/Le_Corbusier
552,Georgia,31,Zurab Tsereteli,http://www.wikidata.org/entity/Q1358703,wd:Q1358703,6870129,"Zurab Konstantinovich Tsereteli (Georgian: ზურაბ კონსტანტინეს ძე წერეთელი, Russian: Зураб Константинович Церетели; born 4 January 1934) is a Georgian-Russian painter, sculptor and architect known for large-scale and at times controversial monuments. Tsereteli has served as the President of the Russian Academy of Arts since 1997.",https://en.wikipedia.org/wiki/Zurab_Tsereteli
564,Ghana,16,David Adjaye,http://www.wikidata.org/entity/Q1173530,wd:Q1173530,3975088,"Sir David Frank Adjaye   (born 22 September 1966) is a Ghanaian-British architect. He is known for having designed many notable buildings around the world, including the  National Museum of African American History and Culture in Washington, D.C. Adjaye was knighted in the 2017 New Year Honours for services to architecture. He is the recipient of the 2021 Royal Gold Medal, making him the first African recipient and one of the youngest recipients.",https://en.wikipedia.org/wiki/David_Adjaye
585,Greece,106,El Greco,http://www.wikidata.org/entity/Q301,wd:Q301,140639,"Domḗnikos Theotokópoulos (Greek: Δομήνικος Θεοτοκόπουλος [ðoˈminikos θeotoˈkopulos]; 1 October 1541 –  7 April 1614), most widely known as El Greco (""The Greek""), was a Greek painter, sculptor and architect of the Spanish Renaissance. ""El Greco"" was a nickname, and the artist normally signed his paintings with his full birth name in Greek letters, Δομήνικος Θεοτοκόπουλος (Domḗnikos Theotokópoulos), often adding the word Κρής (Krḗs), which means Cretan.
El Greco was born in the Kingdom of Candia (modern Crete), which was at that time part of the Republic of Venice, Italy, and the center of Post-Byzantine art. He trained and became a master within that tradition before traveling at age 26 to Venice, as other Greek artists had done. In 1570, he moved to Rome, where he opened a workshop and executed a series of works. During his stay in Italy, El Greco enriched his style with elements of Mannerism and of the Venetian Renaissance taken from a number of great artists of the time, notably Tintoretto. In 1577, he moved to Toledo, Spain, where he lived and worked until his death. In Toledo, El Greco received several major commissions and produced his best-known paintings, such as View of Toledo and Opening of the Fifth Seal.
El Greco's dramatic and expressionistic style was met with puzzlement by his contemporaries but found appreciation by the 20th century. El Greco is regarded as a precursor of both Expressionism and Cubism, while his personality and works were a source of inspiration for poets and writers such as Rainer Maria Rilke and Nikos Kazantzakis. El Greco has been characterized by modern scholars as an artist so individual that he belongs to no conventional school. He is best known for tortuously elongated figures and often fantastic or phantasmagorical pigmentation, marrying Byzantine traditions with those of Western painting.",https://en.wikipedia.org/wiki/El_Greco
615,Guatemala,6,Teddy Cruz,http://www.wikidata.org/entity/Q17350521,wd:Q17350521,45468222,"Teddy Cruz (born 1962 in Guatemala City, Guatemala) is an American architect, urbanist, Professor in Ancient Architecture and Urbanism in the Visual Arts Department at the University of California, San Diego. Cruz studied at Rafael Landivar University in Guatemala City, Guatemala, but moved to the United States at the age of 20, continuing his education at California State Polytechnic University, San Luis Obispo, and the Harvard Graduate School of Design in Cambridge, Massachusetts.
Cruz is the founder and president of Estudio Teddy Cruz + Fonna Forman, a research-based political and architectural practice based in San Diego, in partnership with University of California, San Diego political theorist, Fonna Forman. Cruz and Forman lead a variety of urban curatorial initiatives, including The Civic Innovation Lab in the City of San Diego to rethink public space and civic engagement; the UCSD Cross-Border Initiative to promote research and practice focused on regional territories of poverty; and the UCSD Community Stations, to foster corridors of knowledge exchange between the university and marginalized communities. Additionally, they collaborated with former Bogota Mayor Antanas Mockus to develop the Bi-national Citizenship Culture Survey, an unprecedented protocol that surveyed cross-border civic infrastructure, public trust and social norms, to generate new shared urban policies between the municipalities of San Diego and Tijuana, as well as collaborative strategies for cross-border urban intervention.
Cruz's architectural and intellectual projects have been exhibited at internationally renowned venues, including: the Tijuana Cultural Center, Museum of Contemporary Art San Diego, Carnegie Museum of Art, Walker Art Center, San Francisco Art Institute, Casa de America in Madrid, Spain, and Small Scale, Big Change: New Architectures of Social Engagement at the Museum of Modern Art.  Apart from his design work, Cruz's project at UCSD, Community Stations, champions the mutual exchange of knowledge between universities and communities, the latter of which he feels have their own valuable resources and assets that are often overlooked.",https://en.wikipedia.org/wiki/Teddy_Cruz
620,Haiti,4,Charles Frédéric Chassériau,http://www.wikidata.org/entity/Q2959137,wd:Q2959137,31400032,"Baron Charles Frédéric Chassériau du Chiron (29 January 1802 – 11 January 1896) was a French architect and painter, who served as chief architect of the cities of Marseille, Algiers, in Algeria; and Cairo, in Egypt. He is particularly known for having designed the seafront of the city of Algiers.",https://en.wikipedia.org/wiki/Charles_Fr%C3%A9d%C3%A9ric_Chass%C3%A9riau
626,Hungary,57,Ernő Rubik,http://www.wikidata.org/entity/Q186089,wd:Q186089,335331,"Ernő Rubik (Hungarian: [ˈrubik ˈɛrnøː]; born 13 July 1944) is a Hungarian inventor, architect and professor of architecture. He is best known for the invention of mechanical puzzles including the Rubik's Cube (1974), Rubik's Magic, Rubik's Magic: Master Edition, and Rubik's Snake.While Rubik became famous for inventing the Rubik's Cube and his other puzzles, much of his recent work involves the promotion of science in education. Rubik is involved with several organizations such as Beyond Rubik's Cube, the Rubik Learning Initiative and the Judit Polgar Foundation all of whose aim is to engage students in science, mathematics, and problem solving at a young age.",https://en.wikipedia.org/wiki/Ern%C5%91_Rubik
651,Iceland,15,Guðjón Samúelsson,http://www.wikidata.org/entity/Q1238310,wd:Q1238310,5948246,"Guðjón Samúelsson (16 April 1887 – 25 April 1950) was a State Architect of Iceland, and the first Icelander to be educated in architecture. He's been described as one of Iceland's most influential architects. His notable designs include the main building of the University of Iceland, the National Theatre of Iceland, the Landakot Roman Catholic Cathedral in Reykjavík, and the Church of Akureyri. His final and most recognized work is the Hallgrímskirkja church, which was commissioned in 1937.",https://en.wikipedia.org/wiki/Gu%C3%B0j%C3%B3n_Sam%C3%BAelsson
666,India,25,Balkrishna Doshi,http://www.wikidata.org/entity/Q380449,wd:Q380449,2250207,"Balkrishna Vithaldas Doshi OAL (born 26 August 1927) is an Indian architect. He is considered to be an important figure of Indian architecture and noted for his contributions to the evolution of architectural discourse in India. Having worked under Le Corbusier and Louis Kahn, he is a pioneer of modernist and brutalist architecture in India.
His more noteworthy designs include the IIM Bangalore, IIM Udaipur, NIFT Delhi, Amdavad ni Gufa, CEPT University, and the Aranya Low Cost Housing development in Indore which was awarded the Aga Khan Award for Architecture.In 2018, he became the first Indian architect to receive the Pritzker Architecture Prize, which is considered one of the most prestigious prizes in architecture. He has also been awarded the Padma Shri and the Padma Bhushan. He has been awarded the Royal Institute of British Architects' Royal Gold Medal for 2022.",https://en.wikipedia.org/wiki/B._V._Doshi
688,Indonesia,9,Wolff Schoemaker,http://www.wikidata.org/entity/Q17919,wd:Q17919,28185273,"Charles Prosper Wolff Schoemaker (25 July 1882 – 22 May 1949) was a Dutch architect who designed several distinguished Art Deco buildings in Bandung, Indonesia, including the Villa Isola and Hotel Preanger. He has been described as ""the Frank Lloyd Wright of Indonesia,"" and Wright had a considerable influence on Schoemaker's modernist designs. Although he was primarily known as an architect, he was also a painter and sculptor.",https://en.wikipedia.org/wiki/Charles_Prosper_Wolff_Schoemaker
702,Iran,64,Nasir al-Din al-Tusi,http://www.wikidata.org/entity/Q302835,wd:Q302835,33642424,"Muhammad ibn Muhammad ibn al-Hasan al-Tūsī (Persian: محمد ابن محمد ابن حسن طوسی 18 February 1201 – 26 June 1274), better known as Nasir al-Din al-Tusi (Persian: نصیر الدین طوسی; or simply Tusi  in the West), was a Persian polymath, architect, philosopher, physician, scientist, and theologian. Nasir al-Din al-Tusi was a well published author, writing on subjects of math, engineering, prose, and mysticism. Additionally, al-Tusi made several scientific advancements. In astronomy, al-Tusi created very accurate tables of planetary motion, an updated planetary model, and critiques of Ptolemaic astronomy. He also made strides in logic, mathematics but especially trigonometry, biology, and chemistry. Nasir al-Din al-Tusi left behind a great legacy as well. Some consider Tusi one of the greatest scientists of medieval Islam, since he is often considered the creator of trigonometry as a mathematical discipline in its own right.
The  Muslim scholar Ibn Khaldun (1332–1406) considered Tusi to be the greatest of the later Persian scholars. There is also reason to believe that he may have influenced Copernican heliocentrism. Nasir also proposed a relationship between humans and animals with some holding a higher level or awareness hinting at an evolutionary theory (though markedly different from modern evolutionary theory). 

",https://en.wikipedia.org/wiki/Nasir_al-Din_al-Tusi
724,Iraq,78,Zaha Hadid,http://www.wikidata.org/entity/Q47780,wd:Q47780,513402,"Dame Zaha Mohammad Hadid  (Arabic: زها حديد Zahā Ḥadīd; 31 October 1950 – 31 March 2016) was an Iraqi-British architect, artist and designer, recognised as a major figure in architecture of the late 20th and early 21st centuries. Born in Baghdad, Iraq, Hadid studied mathematics as an undergraduate and then enrolled at the Architectural Association School of Architecture in 1972. In search of an alternative system to traditional architectural drawing, and influenced by Suprematism and the Russian avant-garde, Hadid adopted painting as a design tool and abstraction as an investigative principle to ""reinvestigate the aborted and untested experiments of Modernism [...] to unveil new fields of building.""She was described by The Guardian as the ""Queen of the curve"", who ""liberated architectural geometry, giving it a whole new expressive identity"".  Her major works include the London Aquatics Centre for the 2012 Olympics, the Broad Art Museum, Rome's MAXXI Museum, and the Guangzhou Opera House. Some of her awards have been presented posthumously, including the statuette for the 2017 Brit Awards. Several of her buildings were still under construction at the time of her death, including the Daxing International Airport in Beijing, and the Al Wakrah Stadium in Qatar, a venue for the 2022 FIFA World Cup.Hadid was the first woman to receive the Pritzker Architecture Prize, in 2004. She received the UK's most prestigious architectural award, the Stirling Prize, in 2010 and 2011. In 2012, she was made a Dame by Elizabeth II for services to architecture, and in February, 2016, the month preceding her death, she became the first woman to be individually awarded the Royal Gold Medal from the Royal Institute of British Architects (Ray Eames and Sheila O'Donnell had previously been awarded it jointly with Charles Eames and John Tuomey respectively).",https://en.wikipedia.org/wiki/Zaha_Hadid
740,Israel,31,Moshe Safdie,http://www.wikidata.org/entity/Q220944,wd:Q220944,53626,"Moshe Safdie     (Hebrew: משה ספדיה; born July 14, 1938) is an architect, urban planner, educator, theorist, and author who claims Israeli, Canadian and American citizenship. Over a 50-year career, Safdie has explored the essential principles of socially responsible design through a comprehensive and humane design philosophy. Safdie is an important architect of the second half of the twentieth and early twenty-first century because of his multiculturalism, commitment to geographic, social and cultural elements that define a place, and constant search for typological and technological innovation. Safdie's projects include cultural, educational, and civic institutions; neighborhoods and public parks; housing; mixed-use urban centers; airports; and master plans for both existing communities and entirely new cities. Safdie has had projects in North and South America, the Middle East, and throughout Asia. He is most identified with designing Marina Bay Sands and Jewel Changi Airport, as well as his debut project, Habitat 67, originally conceived as his thesis at McGill University. This led to his international career. Safdie is considered a thought leader and his exemplary projects have inspired generations of architects and architecture.",https://en.wikipedia.org/wiki/Moshe_Safdie
766,Italy,281,Leonardo da Vinci,http://www.wikidata.org/entity/Q762,wd:Q762,18079,"Leonardo di ser Piero da Vinci (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor and architect. While his fame initially rested on his achievements as a painter, he also became known for his notebooks, in which he made drawings and notes on a variety of subjects, including anatomy, astronomy, botany, cartography, painting, and paleontology. Leonardo's genius epitomized the Renaissance humanist ideal, and his collective works compose a contribution to later generations of artists matched only by that of his younger contemporary, Michelangelo.Born out of wedlock to a successful notary and a lower-class woman in, or near, Vinci, he was educated in Florence by the Italian painter and sculptor Andrea del Verrocchio. He began his career in the city, but then spent much time in the service of Ludovico Sforza in Milan. Later, he worked in Florence and Milan again, as well as briefly in Rome, all while attracting a large following of imitators and students. Upon the invitation of Francis I, he spent his last three years in France, where he died in 1519. Since his death, there has not been a time where his achievements, diverse interests, personal life, and empirical thinking have failed to incite interest and admiration, making him a frequent namesake and subject in culture.
Leonardo is among the greatest painters in the history of art and is often credited as the founder of the High Renaissance. Despite having many lost works and less than 25 attributed major works—including numerous unfinished works—he created some of the most influential paintings in Western art. His magnum opus, the Mona Lisa, is his best known work and often regarded as the world's most famous painting. The Last Supper is the most reproduced religious painting of all time and his Vitruvian Man drawing is also regarded as a cultural icon. In 2017, Salvator Mundi, attributed in whole or part to Leonardo, was sold at auction for US$450.3 million, setting a new record for the most expensive painting ever sold at public auction.
Revered for his technological ingenuity, he conceptualized flying machines, a type of armored fighting vehicle, concentrated solar power, an adding machine, and the double hull. Relatively few of his designs were constructed or even feasible during his lifetime, as the modern scientific approaches to metallurgy and engineering were only in their infancy during the Renaissance. Some of his smaller inventions, however, entered the world of manufacturing unheralded, such as an automated bobbin winder and a machine for testing the tensile strength of wire. He made substantial discoveries in anatomy, civil engineering, hydrodynamics, geology, optics, and tribology, but he did not publish his findings and they had little to no direct influence on subsequent science.",https://en.wikipedia.org/wiki/Leonardo_da_Vinci
790,Jamaica,7,Nadine Isaacs,http://www.wikidata.org/entity/Q21191086,wd:Q21191086,48338152,"Nadine Isaacs (1942–2004) was a Jamaican architect. She was the first female vice chair of the Architects Registration Board and the first female president of the Jamaica Institute of Architects. She headed the Caribbean School of Architecture, as its first female leader as well as leading the faculty of the Built Environment at the University of Technology in Kingston.",https://en.wikipedia.org/wiki/Nadine_Isaacs
796,Japan,59,Kenzō Tange,http://www.wikidata.org/entity/Q151794,wd:Q151794,53427,"Kenzō Tange (丹下 健三, Tange Kenzō, 4 September 1913 – 22 March 2005) was a Japanese architect, and winner of the 1987 Pritzker Prize for architecture. He was one of the most significant architects of the 20th century, combining traditional Japanese styles with modernism, and designed major buildings on five continents. His career spanned the entire second half of the twentieth century, producing numerous distinctive buildings in Tokyo, other Japanese cities and cities around the world, as well as ambitious physical plans for Tokyo and its environs.  Tange was also an influential patron of the Metabolist movement. He said: ""It was, I believe, around 1959 or at the beginning of the sixties that I began to think about what I was later to call structuralism"", (cited in Plan 2/1982, Amsterdam), a reference to the architectural movement known as Dutch Structuralism.
Influenced from an early age by the Swiss modernist, Le Corbusier, Tange gained international recognition in 1949 when he won the competition for the design of Hiroshima Peace Memorial Park. He was a member of CIAM (Congres Internationaux d'Architecture Moderne) in the 1950s. He did not join the group of younger CIAM architects known as Team X, though his 1960 Tokyo Bay plan was influential for Team 10 in the 1960s, as well as the group that became Metabolism.
His university studies on urbanism put him in an ideal position to handle redevelopment projects after the Second World War. His ideas were explored in designs for Tokyo and Skopje. Tange's work influenced a generation of architects across the world.",https://en.wikipedia.org/wiki/Kenz%C5%8D_Tange
817,Jordan,9,Ja'afar Tuqan,http://www.wikidata.org/entity/Q3156994,wd:Q3156994,2030676,Ja'afar Tuqan (Arabic: جعفر طوقان) (also spelled Jafar Tukan; (19 January 1938 – 25 November 2014) was a Palestinian-Jordanian architect.,https://en.wikipedia.org/wiki/Ja%27afar_Tuqan
823,Kazakhstan,3,George Tsypin,http://www.wikidata.org/entity/Q5545343,wd:Q5545343,8306828,"George Tsypin is an American stage designer, sculptor and architect.
He was an artistic director, production designer and coauthor of the script for the Opening Ceremony of the Olympic Games in Sochi in 2014.

",https://en.wikipedia.org/wiki/George_Tsypin
825,Kenya,5,Emma Miloyo,http://www.wikidata.org/entity/Q21472343,wd:Q21472343,48174376,"Emma Miloyo is a Kenyan architect, who was reported, in 2017, to be the first woman president of the Architectural Association of Kenya  Kenya. She serves as the first female President of  the Architectural Association of Kenya since 2017. In October 2016, Archinect.com listed her among the five Emerging Female Architects of East Africa, in  African Great Lakes region countries.",https://en.wikipedia.org/wiki/Emma_Miloyo
828,Kosovo,8,Zvonko Petričević,http://www.wikidata.org/entity/Q1772961,wd:Q1772961,57740279,"Zvonimir ""Džimi"" Petričević (26 July 1940 – 20 January 2009) was a Croatian basketball player and architect. He represented the Yugoslavia national basketball team internationally. Petričević was a member of the Yugoslavia national team that competed in the men's tournament at the 1960 Summer Olympics",https://en.wikipedia.org/wiki/Zvonko_Petri%C4%8Devi%C4%87
830,Kuwait,3,Eric Parry,http://www.wikidata.org/entity/Q15999937,wd:Q15999937,39367922,"Eric Owen Parry  (born 24 March 1952) is a British architect, designer, writer and educator. Parry is the founder and principal of Eric Parry Architects established in London in 1983. His built work includes the restoration and renewal of St Martin-in-the-Fields in London, the Holburne Museum in Bath, 50 New Bond Street, 23 Savile Row, One Eagle Place in Piccadilly, Aldermanbury Square by London Wall, 30 Finsbury Square in London, and the London Stock Exchange. His projects also include a number of residential developments. Eric Parry's architectural work and design has been shown internationally on major exhibitions, including the Royal Academy of Arts, the British School at Rome, and the 2012 Venice Biennale of Architecture.",https://en.wikipedia.org/wiki/Eric_Parry
831,Laos,1,Bounlap Keokangna,http://www.wikidata.org/entity/Q60545024,wd:Q60545024,59571841,"Bounlap Keokangna is a heritage conservationist architect from Laos. On 9 March 2018, Keokangna was conferred the Padma Sri for his contribution in the field of architecture by the President of India, Ram Nath Kovind.",https://en.wikipedia.org/wiki/Bounlap_Keokangna
832,Latvia,20,Gunnar Birkerts,http://www.wikidata.org/entity/Q1554720,wd:Q1554720,2621138,"Gunnar Birkerts (Latvian: Gunārs Birkerts, January 17, 1925 – August 15, 2017) was a Latvian American architect who, for most of his career, was based in the metropolitan area of Detroit, Michigan.
Some of his notable designs include the Corning Museum of Glass and the Corning Fire Station in Corning, New York; Marquette Plaza in Minneapolis, Minnesota; the Kemper Museum of Contemporary Art in Kansas City, Missouri; and the U.S. Embassy in Caracas, Venezuela.
In 2014, the National Library of Latvia in Riga was completed to his design.",https://en.wikipedia.org/wiki/Gunnar_Birkerts
852,Lebanon,22,Bahāʾ al-dīn al-ʿĀmilī,http://www.wikidata.org/entity/Q2658411,wd:Q2658411,13083487,"Bahāʾ al‐Dīn Muḥammad ibn Ḥusayn al‐ʿĀmilī (also known as Sheikh Baha'i, Persian: شیخ بهایی) (18 February 1547 – 1 September 1621) was an Arab Iranian Shia Islamic scholar, philosopher, architect, mathematician, astronomer and poet who lived in the late 16th and early 17th centuries in Safavid Iran. He was born in Baalbek, Ottoman Syria (present-day Lebanon) but immigrated in his childhood to Safavid Iran with the rest of his family.  He was one of the earliest astronomers in the Islamic world to suggest the possibility of the Earth's movement prior to the spread of the Copernican theory. He is considered one of the main co-founders of Isfahan School of Islamic Philosophy. In later years he became one of the teachers of Mulla Sadra.He wrote over 100 treatises and books in different topics, in Arabic and Persian. A number of architectural and engineering designs are attributed to him, but none can be substantiated with sources. These may have included the Naqsh-e Jahan Square and Charbagh Avenue in Isfahan,. He is buried in Imam Reza's shrine in Mashad in Iran.",https://en.wikipedia.org/wiki/Baha%27_al-din_al-%27Amili
872,Lithuania,21,Stanisław Witkiewicz,http://www.wikidata.org/entity/Q684591,wd:Q684591,396039,"Stanisław Witkiewicz (Lithuanian: Stanislovas Vitkevičius) (8 May 1851 – 5 September 1915) was a Polish painter, art theoretician, and amateur architect, known for his creation of ""Zakopane Style"".",https://en.wikipedia.org/wiki/Stanis%C5%82aw_Witkiewicz
890,Luxembourg,15,Léon Krier,http://www.wikidata.org/entity/Q970000,wd:Q970000,1371541,"Léon Krier CVO (born 7 April 1946) is a Luxembourgish architect, architectural theorist, and urban planner, a prominent critic of modernist architecture and advocate of New Classical architecture and New Urbanism. Krier combines an international architecture and planning practice with writing and teaching. He is well-known for his master plan for Poundbury, in Dorset, England.  He is the younger brother of architect Rob Krier.",https://en.wikipedia.org/wiki/L%C3%A9on_Krier
902,Malawi,2,Peter Buchanan,http://www.wikidata.org/entity/Q15431449,wd:Q15431449,38109230,"Peter Buchanan (born 1942, in Malawi) is an architect, urbanist, writer, critic, lecturer and exhibition curator.
He is best known for his series of critical essays for The Big Rethink published by The Architectural Review and for his books on architecture.",https://en.wikipedia.org/wiki/Peter_Buchanan_(architect)
903,Malaysia,10,Ken Yeang,http://www.wikidata.org/entity/Q522879,wd:Q522879,1879224,"Ken Yeang (6 October 1948) is an architect, ecologist, planner and author from Malaysia, best known for his ecological architecture and ecomasterplans that have a distinctive green aesthetic. He pioneered an ecology-based architecture (since 1971), working on the theory and practice of sustainable design. The Guardian newspaper (2008) named him ""one of the 50 people who could save the planet"".[ 1] Yeang's headquarters is in Kuala Lumpur (Malaysia) as Hamzah & Yeang, with offices in London (UK) as Llewelyn Davies Ken Yeang Ltd. and Beijing (China) as North Hamzah Yeang Architectural and Engineering Company.",https://en.wikipedia.org/wiki/Ken_Yeang
924,Malta,35,Dom Mintoff,http://www.wikidata.org/entity/Q167307,wd:Q167307,382416,"Dominic Mintoff,  (Maltese: Duminku Mintoff; often called il-Perit, ""the Architect""; 6 August 1916 – 20 August 2012) was a Maltese Socialist politician, architect, and civil engineer who was leader of the Labour Party from 1949 to 1984, and was 8th Prime Minister of Malta from 1955 to 1958, when Malta was still a British colony, and again, following independence, from 1971 to 1984. His tenure as Prime Minister saw the creation of a comprehensive welfare state, nationalisation of large corporations, a substantial increase in the general standard of living and the establishment of the Maltese republic, but was later on marred by a stagnant economy, a rise in authoritarianism and outbreaks of political violence.",https://en.wikipedia.org/wiki/Dom_Mintoff
944,Mauritius,2,Gaétan Siew,http://www.wikidata.org/entity/Q5529234,wd:Q5529234,24455678,Gaétan Siew (born 1954) is a Mauritian architect.,https://en.wikipedia.org/wiki/Ga%C3%A9tan_Siew
945,Mexico,47,Luis Barragán,http://www.wikidata.org/entity/Q243295,wd:Q243295,30872415,"Luis Ramiro Barragán Morfín (March 9, 1902 – November 22, 1988) was a Mexican architect and engineer. His work has influenced contemporary architects visually and conceptually.  Barragán's buildings are frequently visited by international students and professors of architecture. He studied as an engineer in his home town, while undertaking the entirety of additional coursework to obtain the title of architect.Barragán won the Pritzker Prize, the highest award in architecture, in 1980, and his personal home, the Luis Barragán House and Studio, was declared a UNESCO World Heritage Site in 2004.",https://en.wikipedia.org/wiki/Luis_Barrag%C3%A1n
968,Moldova,6,Avraham Yaski,http://www.wikidata.org/entity/Q2909474,wd:Q2909474,17393936,"Avraham Yasky (Hebrew: אברהם יסקי; April 14, 1927 – March 28, 2014) was an Israeli architect.",https://en.wikipedia.org/wiki/Avraham_Yaski
976,Monaco,7,Julien Médecin,http://www.wikidata.org/entity/Q6308771,wd:Q6308771,16114819,"Julien Médécin (3 November 1894 – 26 January 1986) was a Monegasque architect. He won a bronze medal in Designs for Town Planning at the 1924 Olympics in Paris (no gold medal was awarded that year). He received his medal for his design of the Stadium for Monte Carlo in Monaco.He remains the only Monegasque competitor to have won an Olympic medal in any discipline; however, art competition medals are no longer recognized by the International Olympic Committee. As a result, Monaco, which has appeared in 31 Olympic Games as of 2021 (21 summer and ten winter), has the most Olympic appearances without a medal.",https://en.wikipedia.org/wiki/Julien_M%C3%A9d%C3%A9cin
980,Mongolia,2,Biambasuren Luvsandamdingiin,http://www.wikidata.org/entity/Q27449504,wd:Q27449504,52006735,"Biambasuren Luvsandamdingiin (born 1955) is a Mongolian architect.
She studied architecture at the Mongolian University of Science and Technology, graduating in 1978. She was named architect for the State Construction Design Institute. As an urban planner, she did master plans for many of the master plans for cities and towns in Mongolia. In 1983, she developed a plan for the city of Khovd which preserved the older parts of the city and redeveloped the newer parts of the city. Her plan received a Laureate Award from the Union of Mongolian Architects. As of 2007, she was working for the city of Khovd as an urban planner.",https://en.wikipedia.org/wiki/Biambasuren_Luvsandamdingiin
981,Montenegro,12,Svetlana Kana Radević,http://www.wikidata.org/entity/Q19602731,wd:Q19602731,48222859,"Svetlana Kana Radević (21 November 1937 – 8 November 2000) was a Yugoslav architect, credited as the first female Montenegrin architect. Her work has been recognized by two national architecture prizes.",https://en.wikipedia.org/wiki/Svetlana_Kana_Radevi%C4%87
985,Morocco,30,Christian de Portzamparc,http://www.wikidata.org/entity/Q312838,wd:Q312838,3108056,"Christian de Portzamparc (French pronunciation: ​[kʁistjɑ̃ də pɔʁtzɑ̃paʁk]; born 5 May 1944) is a French architect and urbanist. 
He graduated from the École Nationale des Beaux Arts in Paris in 1970 and has since been noted for his bold designs and artistic touch; his projects reflect a sensibility to their environment and to urbanism that is a founding principle of his work.He was awarded the Pritzker Prize in 1994.",https://en.wikipedia.org/wiki/Christian_de_Portzamparc
993,Myanmar,3,Arunendu Das,http://www.wikidata.org/entity/Q4802258,wd:Q4802258,36799238,"Arunendu Das (1938 – 2 February 2019) was a Burmese born English architect, singer-songwriter and musician. He was one of the pioneers of late 20th-century alternative Bengali songwriting. While Moheener Ghoraguli is considered to be the first Bengali Band, Arunendu was the first person to compose Bengali lyrics for songs written specifically to be accompanied by guitar, a genus of Bengali music which has become increasingly popular over time.",https://en.wikipedia.org/wiki/Arunendu_Das
