,Unnamed: 0,country,number,item,item_id,shortform,pageid_x,wikidata_description_x,pageid_y,wikidata_description_y,wikipedia_summary,wikipedia_url
38,606,Ecuador,11,Ana Cecilia Blum,http://www.wikidata.org/entity/Q466017,wd:Q466017,26437093,Ecuadorian writer and journalist,26437093,Ecuadorian writer and journalist,"Ana Cecilia Blum (Guayaquil, March 17, 1972) is an Ecuadorian writer and journalist.
She studied Political and Social Sciences at the Vicente Rocafuerte Lay University of Guayaquil. She worked for several media and investigating about literature at the Catholic University of Guayaquil, Andean University of Quito and the FACSO University of Guayaquil. She currently lives between Ecuador and the United States.",https://en.wikipedia.org/wiki/Ana_Cecilia_Blum
39,633,Egypt,22,Magdi Allam,http://www.wikidata.org/entity/Q458709,wd:Q458709,7080465,"Egyptian-born Italian politician, journalist, author, columnist",7080465,"Egyptian-born Italian politician, journalist, author, columnist","Magdi Cristiano Allam (Arabic: مجدي علام Majdī ʿAllām; born 22 April 1952), is an Egyptian-Italian journalist and politician, noted for his criticism of Islamic extremism and his articles on the relations between Western culture and the Islamic world.  Allam converted from Islam to Christianity during the Vatican's 2008 Easter vigil service presided over by Pope Benedict XVI.He also serves as a regional councillor in the Italian region of Basilicata after being elected in 2010 and a Member of the European Parliament for Italy since 2009.",https://en.wikipedia.org/wiki/Magdi_Allam
40,645,El Salvador,18,Roque Dalton Garcia,http://www.wikidata.org/entity/Q539461,wd:Q539461,1468073,Salvadoran journalist and poet (1935-1975),1468073,Salvadoran journalist and poet (1935-1975),"Roque Antonio Dalton García (San Salvador, El Salvador, 14 May 1935 – Quezaltepeque, El Salvador, 10 May 1975), born Roque Antonio García, better known as Roque Dalton, was a Salvadoran poet, essayist, journalist, communist activist, and intellectual. He is considered one of Latin America's most compelling poets. He wrote emotionally strong, sometimes sarcastic, and image-loaded works dealing with life, death, love, and politics.
Even though he never received an academic degree, he took part in higher education at the University of Chile and the University of El Salvador, where he studied law. He also visited the National Autonomous University of Mexico. While in Chile, he began to study Marxism and on returning to El Salvador, he became a significant player in local politics. He began working with poetry after helping found the University Literary Circle. He joined the Communist Party of El Salvador. He was imprisoned in 1959 and 1960 for inciting revolt during the presidency of José María Lemus.
In 1961, he was exiled from El Salvador, spending 1961 in Mexico, then moving to Cuba – where most of his poetry was published and where he completed his development as an author, but also in Mexico and Czechoslovakia. In Cuba, he became involved in the culture and received military training after the Bay of Pigs Invasion. After returning to El Salvador in 1965, he was arrested and interrogated by an agent of the Central Intelligence Agency. In 1969, he returned to Cuba and then Prague to work as correspondent for The International Review: Problems of Peace and Socialism. In the same year, he won the Poetry Prize Casa de las Américas for his book Taberna y otros lugares.
After leaving Cuba, Dalton became involved in El Salvador's civil war, joining the People's Revolutionary Army (ERP) in 1973. In the ERP, he found himself in a serious internal dispute with leader Alejandro Rivas Mira, who was becoming an influential leader of the armed group. As a consequence, the leadership of the ERP decided to execute him.He is remembered for his bohemian lifestyle and the jovial, irreverent personality reflected in his literary work, as well as his commitment to social causes in El Salvador. His work is diverse, going beyond the influences of his Marxist beliefs. He is considered one of the most influential Salvadoran writers. Posthumously, he has received recognition as ""Hijo Meritísimo"" and ""Poeta Meritísimo"" by the Salvadoran government and an honorary doctorate degree from the Universidad de El Salvador.",https://en.wikipedia.org/wiki/Roque_Dalton
41,671,Eritrea,4,Elvira Banotti,http://www.wikidata.org/entity/Q38776955,wd:Q38776955,64273101,"Italian journalist, writer and feminist activist",64273101,"Italian journalist, writer and feminist activist","Elvira Banotti (Asmara, 17 July 1933 - Lavinio, 2 March 2014) was an Italian journalist and writer of Italian Eritrean descent, feminist activist and founder of the Rivolta Femminile group in the early 1970s.",https://en.wikipedia.org/wiki/Elvira_Banotti
42,698,Ethiopia,8,Katarina Sandström,http://www.wikidata.org/entity/Q4976955,wd:Q4976955,26488432,Swedish television journalist,26488432,Swedish television journalist,"Anna Hiruth Katarina Sandström Borglund (born 20 March 1974 in Addis Ababa, Ethiopia) is a Swedish television news presenter and journalist.She has several times been nominated for and won awards for best news anchor and for best spoken Swedish on television. She has led the evening news broadcast Rapport on SVT since 2000.In parallel with work on Rapport, Sandström also has participated in major events such as the SVT broadcasts from the Nobel Banquet, One year with the Royal Family (annual broadcast with the Swedish Royal Family on New Year's Eve) and National election coverage in 2006. She has previously worked on the radio news broadcast Dagens Eko (""Echo of the day"") and newspaper Västerbotten Folkblad, a local newspaper for northern Sweden.",https://en.wikipedia.org/wiki/Katarina_Sandstr%C3%B6m
45,716,Fiji,2,Brian Widlake,http://www.wikidata.org/entity/Q4965632,wd:Q4965632,28289455,British television journalist (1931-2017),28289455,British television journalist (1931-2017),"Ben Nicholas (stepson)
Susanna Nicholas (stepdaughter)
Nigel Brian Windsor Widlake (13 April 1931 – 2 January 2017) was a British journalist, broadcaster and presenter.",https://en.wikipedia.org/wiki/Brian_Widlake
46,724,Finland,49,Eino Leino,http://www.wikidata.org/entity/Q360079,wd:Q360079,205750,Finnish poet and journalist,205750,Finnish poet and journalist,"Eino Leino (born Armas Einar Leopold Lönnbohm; 6 July 1878 – 10 January 1926) was a Finnish poet and journalist who is considered one of the pioneers of Finnish poetry and a national poet of Finland. His poems combine modern and Finnish folk elements. Much of his work is in the style of the Kalevala and folk songs in general. Nature, love, and despair are frequent themes in Leino's work.  He is beloved and widely read in Finland today.
Leino's birthday on 6 July was named Eino Leino Day (Eino Leinon päivä) as well as day of Finnish poetry and summer in 1992, and it is an established Finnish flag day.",https://en.wikipedia.org/wiki/Eino_Leino
47,739,France,186,Albert Camus,http://www.wikidata.org/entity/Q34670,wd:Q34670,983,"French writer, philosopher and journalist (1913-1960)",983,"French writer, philosopher and journalist (1913-1960)","Albert Camus ( kam-OO, US also  kə-MOO; French: [albɛʁ kamy] (listen); 7 November 1913 – 4 January 1960) was a French philosopher, author, and journalist. He was awarded the 1957 Nobel Prize in Literature at the age of 44, the second-youngest recipient in history. His works include The Stranger, The Plague, The Myth of Sisyphus, The Fall, and The Rebel.
Camus was born in French Algeria to Pieds Noirs parents. He spent his childhood in a poor neighbourhood and later studied philosophy at the University of Algiers. He was in Paris when the Germans invaded France during World War II in 1940. Camus tried to flee but finally joined the French Resistance where he served as editor-in-chief at Combat, an outlawed newspaper. After the war, he was a celebrity figure and gave many lectures around the world. He married twice but had many extramarital affairs. Camus was politically active; he was part of the left that opposed the Soviet Union because of its totalitarianism. Camus was a moralist and leaned towards anarcho-syndicalism. He was part of many organisations seeking European integration. During the Algerian War (1954–1962), he kept a neutral stance, advocating for a multicultural and pluralistic Algeria, a position that caused controversy and was rejected by most parties.
Philosophically, Camus's views contributed to the rise of the philosophy known as absurdism. He is also considered to be an existentialist, even though he firmly rejected the term throughout his lifetime.",https://en.wikipedia.org/wiki/Albert_Camus
48,760,Gabon,3,Patrick N'Guema N'Dong,http://www.wikidata.org/entity/Q3369733,wd:Q3369733,13502456,Franco-Gabonese journalist,13502456,Franco-Gabonese journalist,"Patrick N'Guema N'Dong (1957 – 23 December 2021) was a French-Gabonese journalist on Gabon's Africa N°1 radio station, which is transmitted through French Africa and France. He was known for his two programs devoted to the occult sciences, parapsychology, and traditional African religions.",https://en.wikipedia.org/wiki/Patrick_N%27Guema_N%27Dong
49,773,Georgia,27,Georgiy Gongadze,http://www.wikidata.org/entity/Q263598,wd:Q263598,743401,Ukrainian journalist,743401,Ukrainian journalist,"Georgiy Ruslanovich Gongadze (Ukrainian: Георгій Русланович Ґонґадзе; Georgian: გიორგი ღონღაძე; 21 May 1969 – 17 September 2000) was a Ukrainian journalist and film director who was kidnapped and murdered in 2000 near Kyiv. He founded the internet newspaper Ukrayinska Pravda along with Olena Prytula in 2000.
The circumstances of his death became a national scandal and a focus for protests against the government of the then President, Leonid Kuchma. During the Cassette Scandal, audiotapes were released on which Kuchma, Volodymyr Lytvyn and other top-level administration officials are heard discussing the need to silence Gongadze for his online news reports about high-level corruption. Former Interior Minister Yuriy Kravchenko died of two gunshots to the head on 4 March 2005, just hours before he was to begin providing testimony as a witness in the case. Kravchenko was the superior of the four policemen who were charged with Gongadze's murder soon after Kravchenko's death. The official ruling of suicide was doubted by media reports.Three former officials of the Ukrainian Interior Ministry's foreign surveillance department and criminal intelligence unit (Valeriy Kostenko, Mykola Protasov and Oleksandr Popovych) accused of his murder were arrested in March 2005 and a fourth one (Oleksiy Pukach, the former chief of the unit) in July 2009. A court in Ukraine sentenced Protasov to a sentence of 13 years and Kostenko and Popovych to 12-year terms March 2008 (the trial had begun January 2006) for the murder. Gongadze's family believe the trial had failed to bring the masterminds behind the killing to justice. No one has yet been charged with giving the order for Gongadze's murder.",https://en.wikipedia.org/wiki/Georgiy_Gongadze
50,785,Ghana,10,Yaba Badoe,http://www.wikidata.org/entity/Q4937239,wd:Q4937239,41114872,"Ghanaian-British documentary filmmaker, journalist and author",41114872,"Ghanaian-British documentary filmmaker, journalist and author","Yaba Badoe (born 1955) is a Ghanaian-British documentary filmmaker, journalist and author.",https://en.wikipedia.org/wiki/Yaba_Badoe
51,811,Greece,24,Matilde Serao,http://www.wikidata.org/entity/Q384594,wd:Q384594,1594268,"Italian journalist and writer, editor",1594268,"Italian journalist and writer, editor","Matilde Serao (Italian pronunciation: [maˈtilde seˈraːo]; Greek: Ματθίλδη Σεράο; 7 March 1856 – 25 July 1927) was a Greek-born Italian journalist and novelist. She was the first woman called to edit an Italian newspaper, Il Corriere di Roma and later Il Giorno. Serao was also the co-founder and editor of the newspaper Il Mattino, and the author of several novels. She never won the Nobel Prize in Literature despite being nominated on six occasions.",https://en.wikipedia.org/wiki/Matilde_Serao
52,822,Grenada,2,Cynthia Hughes,http://www.wikidata.org/entity/Q28792885,wd:Q28792885,61289893,Grenadian journalist,61289893,Grenadian journalist,"Cynthia Hughes was a Grenadian journalist. She and her husband, Alister Hughes, co-edited and published The Grenada Newsletter. They are credited with publicizing the happenings during the 1983 overthrow of Maurice Bishop, which led to the American invasion of Grenada. Their newspaper was subscription only, and was not sold at newsstands.Hughes wrote about Grenada before independence, Grenadian Independence, the armed take-over by the People's Revolutionary Government in 1979, the revolutionary rule and 1983 coups, the assassination of Prime Minister Maurice Bishop and members of his Cabinet and supporters, the United States invasion, the Grenada 17, and democracy.Hughes and her husband were under 24-hour surveillance from June 19 to August 1981. In 1984, Columbia University gave their Maria Moors Cabot Award to Cynthia and Alister; the couple were the first husband-wife team to win the award. Hughes died at the age of 72, and was survived by her husband and their two children. The University of the West Indies has a collection of Grenadian artifacts, documents, and other historical items in her name.",https://en.wikipedia.org/wiki/Cynthia_Hughes
53,826,Guatemala,14,Enrique Gómez Carrillo,http://www.wikidata.org/entity/Q5379720,wd:Q5379720,17547565,"Guatemalan literary critic, writer, journalist and diplomat (1873-1927)",17547565,"Guatemalan literary critic, writer, journalist and diplomat (1873-1927)","Enrique Gómez Carrillo (February 27, 1873 in Guatemala City – November 29, 1927 in Paris) was a Guatemalan literary critic, writer, journalist and diplomat, and the second husband of the Salvadoran-French writer and artist Consuelo Suncin de Sandoval-Cardenas, later Consuelo Suncin, comtesse de Saint Exupéry, who in turn was his third wife; he had been previously married to intellectual Aurora Caceres and Spanish actress Raquel Meller.He also became famous for his travels, chronicles, bohemian lifestyle and his notorious numerous love affairs. At one point he was falsely accused of being the one that betrayed Mata Hari and gave the famous German spy to the French during World War I.",https://en.wikipedia.org/wiki/Enrique_G%C3%B3mez_Carrillo
54,847,Guinea,3,Tibou Kamara,http://www.wikidata.org/entity/Q3528121,wd:Q3528121,46715337,Guinean journalist,46715337,Guinean journalist,"Tibou Kamara is a Guinean politician and journalist.

",https://en.wikipedia.org/wiki/Tibou_Kamara
55,851,Guyana,19,Chris Brasher,http://www.wikidata.org/entity/Q728956,wd:Q728956,189633,"London marathon co-founder, athlete, journalist",189633,"London marathon co-founder, athlete, journalist","Christopher William Brasher CBE (21 August 1928 – 28 February 2003) was a British track and field athlete, sports journalist and co-founder of the London Marathon.",https://en.wikipedia.org/wiki/Chris_Brasher
56,866,Haiti,24,Dany Laferrière,http://www.wikidata.org/entity/Q1165217,wd:Q1165217,4449145,Haitian Canadian novelist and journalist,4449145,Haitian Canadian novelist and journalist,"Dany Laferrière  (born Windsor Kléber Laferrière, 13 April 1953) is a Haitian-Canadian novelist and journalist who writes in French. He was elected to seat 2 of the Académie française on 12 December 2013, and inducted in May 2015.",https://en.wikipedia.org/wiki/Dany_Laferri%C3%A8re
57,887,Honduras,9,Dina Meza,http://www.wikidata.org/entity/Q53830435,wd:Q53830435,57457131,Honduran journalist and human rights defender,57457131,Honduran journalist and human rights defender,"Dina Meza is a journalist, human rights defender, and founder of PEN Honduras, an organisation which supports at-risk journalists.",https://en.wikipedia.org/wiki/Dina_Meza
58,906,Hungary,92,Theodor Herzl,http://www.wikidata.org/entity/Q44003,wd:Q44003,8233758,"Austro-Hungarian Jewish journalist, playwright, political activist, writer and the father of modern political Zionism",8233758,"Austro-Hungarian Jewish journalist, playwright, political activist, writer and the father of modern political Zionism","Theodor Herzl (; German: [ˈhɛɐtsl̩]; Hebrew: תֵּאוֹדוֹר הֶרְצְל, Te'odor Hertzel; Hungarian: Herzl Tivadar; 2 May 1860 – 3 July 1904) or Hebrew name given at his brit milah Binyamin Ze'ev, was an Austro-Hungarian Jewish journalist, playwright, political activist, and writer who was the father of modern political Zionism. Herzl formed the Zionist Organization and promoted Jewish immigration to Palestine in an effort to form a Jewish state.
Although he died before Israel's establishment, he is known in Hebrew as חוֹזֵה הַמְדִינָה, Chozeh HaMedinah lit. ""Visionary of the State"". Herzl is specifically mentioned in the Israeli Declaration of Independence and is officially referred to as ""the spiritual father of the Jewish State"", i.e. the visionary who gave a concrete, practicable platform and framework to political Zionism. However, he was not the first Zionist theoretician or activist; scholars, many of them religious such as rabbis Yehuda Bibas, Zvi Hirsch Kalischer and Judah Alkalai, promoted a range of proto-Zionist ideas before him.",https://en.wikipedia.org/wiki/Theodor_Herzl
59,935,Iceland,13,Kristinn Hrafnsson,http://www.wikidata.org/entity/Q956043,wd:Q956043,30007557,Icelandic journalist,30007557,Icelandic journalist,Kristinn Hrafnsson (born 25 June 1962) is an Icelandic investigative journalist who is editor-in-chief of WikiLeaks. He was the spokesperson for WikiLeaks between 2010 and 2017.,https://en.wikipedia.org/wiki/Kristinn_Hrafnsson
60,950,India,56,Ravindra Prabhat,http://www.wikidata.org/entity/Q4170763,wd:Q4170763,38419244,"Hindi poet, scholar, journalist, novelist and short story writer",38419244,"Hindi poet, scholar, journalist, novelist and short story writer","Ravindra Prabhat (born 5 April 1969) is a Hindi novelist, journalist, poet, and short story writer from India. He has worked as an editor and screen play writer. Some of his works have been translated into other languages and published in various literary magazines and anthologies.",https://en.wikipedia.org/wiki/Ravindra_Prabhat
61,967,Indonesia,20,Abdul Muis,http://www.wikidata.org/entity/Q1401053,wd:Q1401053,2643203,"Indonesian writer, journalist and nationalist (1883-1959)",2643203,"Indonesian writer, journalist and nationalist (1883-1959)","Abdul Muis (also spelt Abdoel Moeis; 1886 – 17 July 1959), was an Indonesian writer, journalist and nationalist.  He argued tirelessly for Indonesia's independence from the Netherlands. He was also the first person to be named a national hero by President Sukarno.",https://en.wikipedia.org/wiki/Abdul_Muis
62,991,Iran,25,Neda Agha-Soltan,http://www.wikidata.org/entity/Q326474,wd:Q326474,23349647,Iranian musician and journalist,23349647,Iranian musician and journalist,error,error
64,1001,Iraq,40,Muntadhar al-Zaidi,http://www.wikidata.org/entity/Q205360,wd:Q205360,20700771,Iraqi journalist,20700771,Iraqi journalist,"Muntadhar al-Zaidi (Arabic: منتظر الزيدي Muntaẓar az-Zaydī; born 15 January 1979) is an Iraqi broadcast journalist who served as a correspondent for Iraqi-owned, Egyptian-based Al-Baghdadia TV.  As of February 2011, al-Zaidi works with a Lebanese TV channel.On 16 November 2007, al-Zaidi was kidnapped by unknown assailants in Baghdad. He was also previously twice arrested by the United States Armed Forces. On 14 December 2008, al-Zaidi  threw his shoes at then-U.S. President George W. Bush during a Baghdad press conference while shouting, ""This is a farewell kiss from the Iraqi people, you dog."" Al-Zaidi suffered injuries as he was taken into custody and some sources said he was tortured during his initial detention. There were calls throughout the Middle East to place the shoes in an Iraqi museum, but the shoes were later destroyed by U.S. and Iraqi security forces.
Al-Zaidi's shoeing inspired many similar incidents of political protest around the world.Following the incident, Al-Zaidi was represented by the head of the Iraqi Bar Association at trial. On 20 February 2009, al-Zaidi received a 90-minute trial by the Central Criminal Court of Iraq. On 12 March 2009, he was sentenced to three years in prison for assaulting a foreign head of state during an official visit. On 7 April, the sentence was reduced from three years to one year. He was released on 15 September 2009 for good behavior after spending nine months in jail. After his release, Al-Zaidi was treated for injuries received in prison and later said he planned to ""build orphanages, a children's hospital, and medical and orthopaedic centres offering free treatment and manned by Iraqi doctors and medical staff.""",https://en.wikipedia.org/wiki/Muntadhar_al-Zaidi
65,1022,Israel,63,Amos Oz,http://www.wikidata.org/entity/Q151872,wd:Q151872,330857,"Israeli writer, novelist, journalist and intellectual (1939-2018)",330857,"Israeli writer, novelist, journalist and intellectual (1939-2018)","Amos Oz (Hebrew: עמוס עוז; born Amos Klausner; 4 May 1939 – 28 December 2018) was an Israeli writer, novelist, journalist, and intellectual. He was also a professor of Hebrew literature at Ben-Gurion University of the Negev. From 1967 onwards, Oz was a prominent advocate of a two-state solution to the Israeli–Palestinian conflict.
He was the author of 40 books, including novels, short story collections, children's books, and essays, and his work has been published in 45 languages, more than that of any other Israeli writer. He was the recipient of many honours and awards, among them the Friedenspreis des Deutschen Buchhandels, the Legion of Honour of France, the Israel Prize, the Goethe Prize, the Prince of Asturias Award in Literature, the Heinrich Heine Prize, and the Franz Kafka Prize.
Oz is regarded as one of ""Israel's most prolific writers and respected intellectuals"", as The New York Times worded it in an obituary.",https://en.wikipedia.org/wiki/Amos_Oz
66,1042,Italy,93,Gabriele D'Annunzio,http://www.wikidata.org/entity/Q193236,wd:Q193236,47407,"Italian writer, poet, journalist and playwright (1863-1938)",47407,"Italian writer, poet, journalist and playwright (1863-1938)","General Gabriele D'Annunzio, Prince of Montenevoso  (UK: , US: , Italian: [ɡabriˈɛːle danˈnuntsjo]; 12 March 1863 – 1 March 1938), sometimes written d'Annunzio, was an Italian poet, playwright, orator, journalist, aristocrat, and army officer during World War I. He occupied a prominent place in Italian literature from 1889 to 1910 and later political life from 1914 to 1924. He was often referred to under the epithets Il Vate (""the Poet"") or Il Profeta (""the Prophet"").
D'Annunzio was associated with the Decadent movement in his literary works, which interplayed closely with French Symbolism and British Aestheticism. Such works represented a turn against the naturalism of the preceding romantics and was both sensuous and mystical. He came under the influence of Friedrich Nietzsche which would find outlets in his literary and later political contributions. His affairs with several women, including Eleonora Duse and Luisa Casati, received public attention.
During the First World War, perception of D'Annunzio in Italy transformed from literary figure into a national war hero. He was associated with the elite Arditi storm troops of the Italian Army and took part in actions such as the Flight over Vienna. As part of an Italian nationalist reaction against the Paris Peace Conference, he set up the short-lived Italian Regency of Carnaro in Fiume with himself as Duce. The constitution made ""music"" the fundamental principle of the state, which was corporatist in nature. Though D'Annunzio preached Italian ultranationalism and never called himself a fascist, he has been accused of partially inventing Italian fascism as both his ideas and aesthetics were an influence upon Benito Mussolini.",https://en.wikipedia.org/wiki/Gabriele_D%27Annunzio
67,1065,Jamaica,9,Amy Jacques Garvey,http://www.wikidata.org/entity/Q481874,wd:Q481874,1291830,Jamaican journalist and political activist,1291830,Jamaican journalist and political activist,"Amy Euphemia Jacques Garvey (31 December 1895 – 25 July 1973) was the Jamaican-born second wife of Marcus Garvey, and a journalist and activist in her own right. She was one of the pioneering female Black journalists and publishers of the 20th century.",https://en.wikipedia.org/wiki/Amy_Jacques_Garvey
68,1086,Japan,44,Fukuzawa Yukichi,http://www.wikidata.org/entity/Q355447,wd:Q355447,313283,"Japanese author, writer, teacher, translator, entrepreneur and journalist who founded Keio University (1835-1901)",313283,"Japanese author, writer, teacher, translator, entrepreneur and journalist who founded Keio University (1835-1901)","Fukuzawa Yukichi (福澤 諭吉, January 10, 1835 – February 3, 1901) was a Japanese author, writer, teacher, translator, entrepreneur, journalist, and leader who founded Keio University, Jiji-Shinpō (a newspaper) and the Institute for Study of Infectious Diseases. 
Fukuzawa was an early advocate for reform in Japan. Fukuzawa's ideas about the organization of government and the structure of social institutions made a lasting impression on a rapidly changing Japan during the Meiji period. He appears on the current 10,000-Japanese yen banknote.",https://en.wikipedia.org/wiki/Fukuzawa_Yukichi
69,1108,Jordan,5,Jumana Ghunaimat,http://www.wikidata.org/entity/Q22687372,wd:Q22687372,59563759,Jordanian journalist,59563759,Jordanian journalist,Jumana Ghunaimat (Arabic: جمانة غنيمات; born 4 December 1973) is a Jordanian journalist and was Jordan's Minister of State for Media Affairs and Government Spokesperson. She is currently Jordan's ambassador to Morocco.,https://en.wikipedia.org/wiki/Jumana_Ghunaimat
70,1124,Kazakhstan,10,Yelena Masyuk,http://www.wikidata.org/entity/Q4284421,wd:Q4284421,32026759,Russian journalist,32026759,Russian journalist,Yelena Vasilyevna Masyuk (Russian: Елена Васильевна Масюк) (born 24 January 1966) is a Russian television journalist known for her coverage of the First and Second Chechen Wars.,https://en.wikipedia.org/wiki/Yelena_Masyuk
71,1138,Kenya,10,Philo Ikonya,http://www.wikidata.org/entity/Q4955600,wd:Q4955600,57960180,"Kenyan writer and journalist, human rights activist",57960180,"Kenyan writer and journalist, human rights activist","Philo Ikonya is a writer, journalist and human rights activist from Kenya. Her articles and books often cover the current political situation in Kenya. She was the president of Kenya's branch of PEN, the international association of writers. After several arrests for her activism and a severe beating in 2009 while in police custody, she left Kenya in political exile.",https://en.wikipedia.org/wiki/Philo_Ikonya
72,1157,Kosovo,19,Arbana Xharra,http://www.wikidata.org/entity/Q19668240,wd:Q19668240,45641807,Albanian investigative journalist,45641807,Albanian investigative journalist,Arbana Xharra is an Albanian investigative journalist from Kosovo. She has won numerous awards for her reporting and was a 2015 recipient of the International Women of Courage Award from the US State Department.,https://en.wikipedia.org/wiki/Arbana_Xharra
73,1176,Kuwait,7,Hidaya Sultan al-Salem,http://www.wikidata.org/entity/Q22003053,wd:Q22003053,48372528,Kuwaiti journalist,48372528,Kuwaiti journalist,"Hidaya Sultan al-Salem, (Arabic: هدايه سلطان السالم, 1936 – 20 March 2001), sometimes transliterated as Hedaya, was a Kuwaiti journalist and author, who owned and edited the one of Kuwait's earliest political magazines al-Majalis in Kuwait City, Kuwait. She was Kuwait's first female to serve as an editor of a publication. She was a feminist and secularist, and she campaigned against corruption and on behalf of women's rights and suffrage in Kuwait. She was the first journalist to be killed in Kuwait since the Committee to Protect Journalists began recording these acts in 1992.",https://en.wikipedia.org/wiki/Hidaya_Sultan_al-Salem
74,1200,Latvia,22,Rūdolfs Blaumanis,http://www.wikidata.org/entity/Q1082044,wd:Q1082044,13920076,"Latvian writer, journalist and playwright",13920076,"Latvian writer, journalist and playwright","Kārlis Rūdolfs Leonīds Blaumanis (1863–1908) was a Latvian writer, journalist and playwright. He is considered one of the greatest writers in Latvian history and particularly a master of realism. The building of a flat in Riga that he once lived has been converted to a memorial museum named partially in his honor, the Janis Rozentāls and Rūdolfs Blaumanis museum.",https://en.wikipedia.org/wiki/R%C5%ABdolfs_Blaumanis
75,1205,Lebanon,30,Jurji Zaydan,http://www.wikidata.org/entity/Q1262212,wd:Q1262212,30701093,"Lebanese novelist, journalist, editor and teacher (1861-1914)",30701093,"Lebanese novelist, journalist, editor and teacher (1861-1914)","Jurji Zaydan (Arabic: جرجي زيدان, ALA-LC: Jurjī Zaydān; December 14, 1861 – July 21, 1914) was a prolific Lebanese novelist, journalist, editor and teacher, most noted for his creation of the magazine Al-Hilal, which he used to serialize his twenty three historical novels. 
His primary goal, as a writer and intellectual during the Nahda, was to make the common Arabic population know their own history through the entertaining medium of the novel. He has enjoyed a widespread popularity. He is also considered to have been one of the first thinkers to help formulate the theory of Arab nationalism.",https://en.wikipedia.org/wiki/Jurji_Zaydan
76,1225,Liechtenstein,10,Eduard von Falz-Fein,http://www.wikidata.org/entity/Q950186,wd:Q950186,17056573,Russian-born Liechtensteiner businessman and journalist,17056573,Russian-born Liechtensteiner businessman and journalist,"Baron Eduard Oleg Alexandrowitsch von Falz-Fein (14 September 1912 – 17 November 2018) was a Russian-born Liechtensteiner businessman, journalist, and sportsman. He served as a ""sports diplomat"" who initiated the Olympic movement in Liechtenstein and was vice president of the Liechtenstein Olympic Committee in the mid-1930s. His Father Alexander Eduardovich is an agronomist, brother of the founder of the Askania-Nova biosphere reserve, Friedrich von Falz-Fein, mother Vera Nikolaevna is from a family of generals and admirals of the Russian fleet Yepanchins.",https://en.wikipedia.org/wiki/Eduard_von_Falz-Fein
77,1250,Malawi,2,Gregory Gondwe,http://www.wikidata.org/entity/Q5606940,wd:Q5606940,37834005,Malawian freelance journalist,37834005,Malawian freelance journalist,"Vitus-Gregory Gondwe is a Malawian journalist, editor and media consultant. He also runs his own social, music and business analysis blog. He is known for his investigative stories. He also writes on Business news. He has been a contributor to several newspapers in Malawi, and has worked for the Malawi Broadcasting Corporation as correspondent. He is a Malawi correspondent for the Associated Press, as well as a regular correspondent for BizCommunity and BiztechAfrica. He has contributed to a number of news sources worldwide since 1993. He also regularly writes about freedom of Press and the media industry.",https://en.wikipedia.org/wiki/Gregory_Gondwe
78,1258,Malaysia,20,Abdul Muis,http://www.wikidata.org/entity/Q1401053,wd:Q1401053,2643203,"Indonesian writer, journalist and nationalist (1883-1959)",2643203,"Indonesian writer, journalist and nationalist (1883-1959)","Abdul Muis (also spelt Abdoel Moeis; 1886 – 17 July 1959), was an Indonesian writer, journalist and nationalist.  He argued tirelessly for Indonesia's independence from the Netherlands. He was also the first person to be named a national hero by President Sukarno.",https://en.wikipedia.org/wiki/Abdul_Muis
79,1284,Mali,2,Soeraedi Tahsin,http://www.wikidata.org/entity/Q16924394,wd:Q16924394,42747095,Indonesian journalist and diplomat,42747095,Indonesian journalist and diplomat,"Soeraedi Tahsin (died February 25, 2003 in Amsterdam), also known as Eddie Soeraedi, was an Indonesian journalist and diplomat. He was the founding editor of the publication Berita Indonesia ('Indonesian News'), the first republican newspaper in Batavia.",https://en.wikipedia.org/wiki/Soeraedi_Tahsin
80,1287,Malta,45,Daphne Caruana Galizia,http://www.wikidata.org/entity/Q19646809,wd:Q19646809,53850446,Maltese journalist and blogger,53850446,Maltese journalist and blogger,"Daphne Anne Caruana Galizia (née Vella; 26 August 1964 – 16 October 2017) was a Maltese writer, journalist, blogger and anti-corruption activist, who reported on political events in Malta. In particular, she focused on investigative journalism, reporting on government corruption, nepotism, patronage, allegations of money laundering, links between Malta's online gambling industry and organized crime, Malta's citizenship-by-investment scheme, and payments from the government of Azerbaijan. Caruana Galizia's national and international reputation was built on her regular reporting of misconduct by Maltese politicians and politically exposed persons.Caruana Galizia continued to publish articles for decades, despite intimidation and threats, libel suits and other lawsuits. She was arrested by the Malta Police Force on two occasions. Caruana Galizia's investigations were published via her personal blog Running Commentary, which she set up in 2008. She was a regular columnist with The Sunday Times of Malta and later The Malta Independent. Her blog consisted of investigative reporting and commentary, some of which was regarded as personal attacks on individuals, leading to a series of legal battles. In 2016 and 2017, she revealed controversially sensitive information and allegations relating to a number of Maltese politicians and the Panama Papers scandal.On 16 October 2017, Caruana Galizia was killed close to her home when a car bomb was detonated inside her vehicle, attracting widespread local and international condemnation of the attack. In December 2017, three men were arrested in connection with the car bomb attack. Police arrested Yorgen Fenech, the owner of the Dubai-based company 17 Black, on his yacht on 20 November 2019 in connection with her murder.In April 2018, an international consortium of 45 journalists published The Daphne Project, a collaboration to complete her investigative work. The GUE/NGL Award for Journalists, Whistleblowers & Defenders of the Right to Information was established in 2018 in honour of Galizia.",https://en.wikipedia.org/wiki/Daphne_Caruana_Galizia
