,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description,wikipedia_summary,wikipedia_url
710,713,Liechtenstein,45,Lara Gut-Behrami,http://www.wikidata.org/entity/Q30293,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,wd:Q30293,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,15556757,Swiss alpine skier,Lara Gut-Behrami (née Gut; Italian pronunciation: [ˈlaːr a ˈɡut]; born 27 April 1991) is a Swiss World Cup alpine ski racer who competes in all disciplines and specializes in the speed events of downhill and super-G. She won the gold medal in the Super-G event at the 2022 Winter Olympics in Beijing.,https://en.wikipedia.org/wiki/Lara_Gut-Behrami
724,727,Lithuania,113,Emma Goldman,http://www.wikidata.org/entity/Q79969,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,wd:Q79969,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,9764,Russian anarchist,"Emma Goldman (June 27 [O.S. June 15], 1869 – May 14, 1940) was an anarchist political activist and writer. She played a pivotal role in the development of anarchist political philosophy in North America and Europe in the first half of the 20th century.
Born in Kaunas, Russian Empire (now Lithuania), to a Jewish family, Goldman emigrated to the United States in 1885. Attracted to anarchism after the Chicago Haymarket affair, Goldman became a writer and a renowned lecturer on anarchist philosophy, women's rights, and social issues, attracting crowds of thousands. She and anarchist writer Alexander Berkman, her lover and lifelong friend, planned to assassinate industrialist and financier Henry Clay Frick as an act of propaganda of the deed. Frick survived the attempt on his life in 1892, and Berkman was sentenced to 22 years in prison. Goldman was imprisoned several times in the years that followed, for ""inciting to riot"" and illegally distributing information about birth control. In 1906, Goldman founded the anarchist journal Mother Earth.
In 1917, Goldman and Berkman were sentenced to two years in jail for conspiring to ""induce persons not to register"" for the newly instated draft. After their release from prison, they were arrested—along with 248 others—in the so-called Palmer Raids during the First Red Scare and deported to Russia. Initially supportive of that country's October Revolution that brought the Bolsheviks to power, Goldman changed her opinion in the wake of the Kronstadt rebellion; she denounced the Soviet Union for its violent repression of independent voices. She left the Soviet Union and in 1923 published a book about her experiences, My Disillusionment in Russia. While living in England, Canada, and France, she wrote an autobiography called Living My Life. It was published in two volumes, in 1931 and 1935. After the outbreak of the Spanish Civil War, Goldman traveled to Spain to support the anarchist revolution there. She died in Toronto, Canada, on May 14, 1940, aged 70.
During her life, Goldman was lionized as a freethinking ""rebel woman"" by admirers, and denounced by detractors as an advocate of politically motivated murder and violent revolution. Her writing and lectures spanned a wide variety of issues, including prisons, atheism, freedom of speech, militarism, capitalism, marriage, free love, and homosexuality. Although she distanced herself from first-wave feminism and its efforts toward women's suffrage, she developed new ways of incorporating gender politics into anarchism. After decades of obscurity, Goldman gained iconic status in the 1970s by a revival of interest in her life, when feminist and anarchist scholars rekindled popular interest.",https://en.wikipedia.org/wiki/Emma_Goldman
729,732,Luxembourg,45,"Charlotte, Grand Duchess of Luxembourg",http://www.wikidata.org/entity/Q155608,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,wd:Q155608,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,442798,suo jure Grand Duchess of Luxembourg from 1919 to 1964,"Charlotte (Charlotte Adelgonde Elisabeth Marie Wilhelmine; 23 January 1896 – 9 July 1985) reigned as Grand Duchess of Luxembourg from January 1919 until her abdication in November 1964.
She acceded to the throne on 14 January 1919 following the abdication of her sister, Marie-Adélaïde, due to political pressure over Marie-Adélaïde's role during the German occupation of Luxembourg during World War I. A referendum retained the monarchy with Charlotte as grand duchess.
She married Prince Felix of Bourbon-Parma on 6 November 1919. They had six children. Following the 1940 German invasion of Luxembourg during World War II, Charlotte went into exile: first in France, then Portugal, Great Britain, and North America. While in Britain, she made broadcasts to the people of Luxembourg. She returned to Luxembourg in April 1945.
She abdicated in 1964, and was succeeded by her son Jean. Charlotte died from cancer on 9 July 1985. She was the last agnatic member of the House of Nassau. She was the last personal recipient of the Golden Rose and since her death there are no living personal recipients of that honour, which in modern times has been awarded only to churches and shrines.","https://en.wikipedia.org/wiki/Charlotte,_Grand_Duchess_of_Luxembourg"
749,752,Madagascar,37,Ranavalona III,http://www.wikidata.org/entity/Q233326,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),wd:Q233326,271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),271544,last sovereign of the Kingdom of Madagascar (1861-1917),"Ranavalona III (Malagasy pronunciation: [ranˈfalunə̥]; 22 November 1861 – 23 May 1917) was the last sovereign of the Kingdom of Madagascar. She ruled from 30 July 1883 to 28 February 1897 in a reign marked by ultimately futile efforts to resist the colonial designs of the government of France. As a young woman, she was selected from among several Andriana qualified to succeed Queen Ranavalona II upon her death. Like both preceding queens, Ranavalona entered a political marriage with a member of the Hova elite named Rainilaiarivony, who largely oversaw the day-to-day governance of the kingdom and managed its foreign affairs in his role as prime minister. Ranavalona tried to stave off colonization by strengthening trade and diplomatic relations with foreign powers throughout her reign, but French attacks on coastal port towns and an assault on the capital city of Antananarivo led to the capture of the royal palace in 1895, ending the sovereignty and political autonomy of the centuries-old kingdom.
Ranavalona and her court were initially permitted to remain as symbolic figureheads, but the outbreak of a popular resistance movement called the menalamba rebellion, and the discovery of anti-French political intrigues at court led the French to exile her to the island of Réunion in 1897. Rainilaiarivony died that same year, and Ranavalona was relocated to a villa in Algiers, along with several members of her family. The queen, her family, and the servants accompanying her were provided an allowance and enjoyed a comfortable standard of living, including occasional trips to Paris for shopping and sightseeing. Ranavalona was never permitted to return home to Madagascar, however, despite her repeated requests. She died of an embolism at her villa in Algiers in 1917 at age 55. Her remains were buried in Algiers but were disinterred 21 years later and shipped to Madagascar, where they were placed within the tomb of Queen Rasoherina on the grounds of the Rova of Antananarivo.",https://en.wikipedia.org/wiki/Ranavalona_III
755,758,Malawi,60,Joyce Banda,http://www.wikidata.org/entity/Q57388,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,wd:Q57388,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,5503425,4th President of Malawi,"Joyce Hilda Banda (née Ntila; born 12 April 1950) is a Malawian politician who was the President of Malawi from 7 April 2012 to 31 May 2014. Banda took office as President following the sudden death of President Bingu wa Mutharika. She is the founder and leader of the People's Party, created in 2011. An educator and grassroots women's rights activist, she was the Minister of Foreign Affairs from 2006 to 2009 and the Vice-President of Malawi from May 2009 to April 2012. She had served in various roles as a member of Parliament and as Minister of Gender and Child Welfare before she became the President of the Republic of Malawi.Before her active career in politics, she was the founder of the Joyce Banda Foundation, founder of the National Association of Business Women (NABW), Young Women Leaders Network and the Hunger Project.
Banda was Malawi's fourth president and its first female president and second female head of state, after Elizabeth II. She was the second woman to become the president in the African continent, after Liberia's Ellen Johnson Sirleaf. She was also the country's first female vice-president. In June 2014, Forbes named President Banda as the 40th most powerful woman in the world and the most powerful woman in Africa. In October 2014, she was included in the BBC's 100 Women.",https://en.wikipedia.org/wiki/Joyce_Banda
756,759,Malaysia,68,Siti Nurhaliza,http://www.wikidata.org/entity/Q2725555,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,wd:Q2725555,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,1730738,Malaysian singer and actress,"Dato' Sri Hajah Siti Nurhaliza Tarudin  (Jawi: سيتي نورهاليزا بنت تارودين ; IPA: [ˈsiti nʊrhaˈliza ˈbinti taˈrudɪn]; born 11 January 1979)  is a Malaysian singer, songwriter, actress and businesswoman with more than 300 local and international awards. She made her debut after she won a local singing competition show, ""Bintang HMI"" in 1995 when she was 16. Her debut single, Jerat Percintaan, won the 11th Anugerah Juara Lagu and another two awards for Best Performance and Best Ballad. The album, as of 2005, has sold more than 800,000 units in Malaysia. She has recorded and sung in multiple languages, including Malaysian, Javanese, English,and Mandarin.
Throughout her career, Siti has received an unprecedented number of music awards in Malaysia and its neighbouring countries: 42 Anugerah Industri Muzik, 25 Anugerah Bintang Popular, 28 Anugerah Planet Muzik, 21 Anugerah Juara Lagu, four MTV Asia Awards, three World Music Awards, two Anugerah Musik Indonesia (Indonesian Music Awards), and two records in the Malaysia Book of Records. Having 19 studio albums, she is one of the most popular artists in the Malay Archipelago and Nusantara region – she has been voted for Regional Most Popular Artiste ten times in a row beating other fellow artists from Malaysia, Indonesia, and Singapore in the Anugerah Planet Muzik since 2001. Currently listed as one of Malaysia's richest, most-influential, most award-winning, and most single-produced artist. She is also one of Malaysia's best selling artists, with her album sales having contributed to 10 percent of Malaysia's total album sales for 2001. To date, she has sold more than 6 million in record sales.
At international stage, Siti has won the Gold Award in Asia New Singer Competition at Shanghai Asia Music Festival in 1999, two awards from 'South Pacific International Song and Singing Competition 1999' held in Gold Coast, Queensland, Australia, and the Grand Prix Champion title in Voice of Asia in 2002 held in Almaty, Kazakhstan. In 2020, after receiving a record breaking of votes, she won the public choice for Adelaide Festival Centre's Walk of Fame 2019.Besides musical awards, she has various other achievements. In 1998, Siti was chosen to perform during the closing ceremony of 1998 Commonwealth Games in front of Queen Elizabeth II and her consort, Prince Philip, among other dignitaries and officials from 70 countries including those from the Commonwealth of Nations. In 2005, Siti became the first Southeast Asian singer, and third Asian singer to perform a solo concert at the Royal Albert Hall, London, while being backed by the London Symphony Orchestra. She was listed second by MTV Asia in Asia's Best Musical Artiste and Channel V's Biggest Asian Artiste in 2005. Later in 2008, she was named as one of Asia's Idol by Asia News Network. She also has been listed as one of The Muslim 500 - The World's 500 Most Influential Muslims from year 2015 to 2022. Her success in the Asian region has gained her honorific titles including the ""Voice of Asia"" and ""Asia's Celine Dion"".",https://en.wikipedia.org/wiki/Siti_Nurhaliza
758,761,Maldives,14,Mariya Ahmed Didi,http://www.wikidata.org/entity/Q17517052,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,wd:Q17517052,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,43548909,Maldivian Democratic Party politician,"Mariya Didi (born August 18, 1962) is the Minister of Defence of the Republic of Maldives, a former Member of People's Majlis and a leading human rights activist. She was sworn in as the Minister of Defence on 17 November 2018 by President Ibrahim Mohamed Solih. She is the first female in the history of Maldives to be appointed Minister of Defence.
Didi has a bachelor's degree in Law (LLB) (Hons) and a master's degree in Law (LLB) (Hons) from the University of Aberystwyth, Wales, United Kingdom. She completed her professional qualifications in England and is among the first two Barristers to be called to the Bar of England and Wales, and is a Barrister of the prestigious Gray's Inn, England, having done her pupillage at Albion Chambers, Bristol. Mariya believes that her studies laid the foundations that in order for a country to become a nation of laws and enjoy all freedoms that come along with it, democracy and the rule of law have to be introduced, nurtured and allowed to flourish.
Didi is the first female lawyer of the Maldives. As an elected Member of Parliament for 4 consecutive terms, Didi sat in the Drafting Committee of the 2008 Constitution. In 2007, she was awarded the International Women of Courage Award by the US Secretary of State in recognition of her contribution to democracy and human rights in the Maldives.
She was elected as Chairperson of Maldivian Democratic Party (MDP), the largest political party in the Maldives. It was under her chairmanship that the party won the first ever multiparty democratic presidential elections held in the Maldives in 2008.
On 7 February 2012, the then President Mohamed Nasheed of Maldives resigned suddenly in a “Coup d'état”. On the day of the President's resignation and on the day after, Didi was very badly beaten by some rogue members of the security forces, who had allegedly joined hands with the then Vice President, who succeeded the President under dubious circumstances.
Didi is married to Mr. Mohamed Amir. She has one daughter and two sons.",https://en.wikipedia.org/wiki/Mariya_Ahmed_Didi
759,763,Mali,24,Fatoumata Diawara,http://www.wikidata.org/entity/Q707255,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,wd:Q707255,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,32019705,Malian musician and actress,"Fatoumata Diawara (Bambara: ߝߊ߫ߕߎߡߕߊ ߖߊ߯ߥߙߊ߫, romanized: Fatumta Jawara, born 1982 in Ouragahio, Ivory Coast) is a Malian actress, singer-songwriter and guitarist currently living in France.
She received two nominations at the 61st Annual Grammy Awards for Best World Music Album for her album Fenfo and Best Dance Recording for ""Ultimatum"" in which she was featured with the English band Disclosure. She performed a Tiny Desk home concert in February 2022.",https://en.wikipedia.org/wiki/Fatoumata_Diawara
771,774,Malta,55,Marie Louise Coleiro Preca,http://www.wikidata.org/entity/Q6762928,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,wd:Q6762928,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,16973920,Maltese politician,"Marie-Louise Coleiro Preca,  (born 7 December 1958) is a Maltese politician who served as the ninth president of Malta from 2014 to 2019. Currently, Coleiro Preca is president of Eurochild. 
Previously, as a member of the Labour Party, she was a Member of Parliament in the House of Representatives of Malta from 1998 to 2014, and served as the Minister of the Family and Social Solidarity from March 2013 to March 2014.",https://en.wikipedia.org/wiki/Marie-Louise_Coleiro_Preca
772,775,Marshall Islands,37,Hilda C. Heine,http://www.wikidata.org/entity/Q20090884,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,wd:Q20090884,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,46890386,Marshallese politician,"Hilda Cathy Heine (born April 6, 1951) is a Marshallese educator and politician, who served as the eighth President of the Marshall Islands. Prior to assuming office, she served as the Minister of Education. She was the first individual in the Marshall Islands to earn a doctorate degree, and the founder of the women's rights group Women United Together Marshall Islands (WUTMI).Heine is the first woman to hold the presidency of the Marshall Islands. She is also the first female president of any Micronesian country, and only the fourth woman to serve as head of government for any independent nation in Oceania (following Jenny Shipley and Helen Clark of New Zealand and Julia Gillard of Australia). She is one of only three women currently serving in the Nitijeļā, the country's legislature, as of January 2016.",https://en.wikipedia.org/wiki/Hilda_Heine
774,777,Mauritania,19,Fatimata M’baye,http://www.wikidata.org/entity/Q1398156,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,wd:Q1398156,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,49988660,Judge in Mauritania,"Fatimata M'baye (born 1957) is a Mauritanian lawyer. She has campaigned for human rights in her country. In 2016, she was given an International Women of Courage Award by the U.S. Secretary of State.",https://en.wikipedia.org/wiki/Fatimata_M%27Baye
777,780,Mauritius,44,Ameenah Gurib-Fakim,http://www.wikidata.org/entity/Q20022984,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,wd:Q20022984,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,46851552,scientist and president of Mauritius,"Dr. Bibi Ameenah Firdaus Gurib-Fakim (Mauritian Creole pronunciation: [bibi ameenah fiʁdaus ɡuʁib fakim]) GCSK (born 17 October 1959) is a Mauritian politician and biodiversity scientist who served as the sixth president of Mauritius from 2015 to 2018. In December 2014, she was selected to be the presidential candidate of the Alliance Lepep. After Kailash Purryag resigned on 29 May 2015, both Prime Minister Sir Anerood Jugnauth and Leader of the Opposition Paul Berenger positively welcomed her nomination, which was unanimously approved in a vote in the National Assembly.Gurib-Fakim is the first woman elected as president of the country and is the third woman to have served as Head of State following Queen Elizabeth II and Monique Ohsan Bellepeau, who preceded her in this office and was her first Vice President. She served as a 2019 keynote speaker of Cambridge University's conference ""Africa Together: Which Way Forward?"" hosted by the African Society of Cambridge University.

",https://en.wikipedia.org/wiki/Ameenah_Gurib-Fakim
783,786,Mexico,170,Frida Kahlo,http://www.wikidata.org/entity/Q5588,Mexican painter,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,wd:Q5588,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,162276,Mexican painter,"Magdalena Carmen Frida Kahlo y Calderón (Spanish pronunciation: [ˈfɾiða ˈkalo]; 6 July 1907 – 13 July 1954) was a Mexican painter known for her many portraits, self-portraits, and works inspired by the nature and artifacts of Mexico. Inspired by the country's popular culture, she employed a naïve folk art style to explore questions of identity, postcolonialism, gender, class, and race in Mexican society. Her paintings often had strong autobiographical elements and mixed realism with fantasy. In addition to belonging to the post-revolutionary Mexicayotl movement, which sought to define a Mexican identity, Kahlo has been described as a surrealist or magical realist. She is known for painting about her experience of chronic pain.Born to a German father and a mestiza mother, Kahlo spent most of her childhood and adult life at La Casa Azul, her family home in Coyoacán – now publicly accessible as the Frida Kahlo Museum. Although she was disabled by polio as a child, Kahlo had been a promising student headed for medical school until she suffered a bus accident at the age of 18, which caused her lifelong pain and medical problems. During her recovery, she returned to her childhood interest in art with the idea of becoming an artist.
Kahlo's interests in politics and art led her to join the Mexican Communist Party in 1927, through which she met fellow Mexican artist Diego Rivera. The couple married in 1929 and spent the late 1920s and early 1930s travelling in Mexico and the United States together. During this time, she developed her artistic style, drawing her main inspiration from Mexican folk culture, and painted mostly small self-portraits that mixed elements from pre-Columbian and Catholic beliefs. Her paintings raised the interest of Surrealist artist André Breton, who arranged for Kahlo's first solo exhibition at the Julien Levy Gallery in New York in 1938; the exhibition was a success and was followed by another in Paris in 1939. While the French exhibition was less successful, the Louvre purchased a painting from Kahlo, The Frame, making her the first Mexican artist to be featured in their collection. Throughout the 1940s, Kahlo participated in exhibitions in Mexico and the United States and worked as an art teacher. She taught at the Escuela Nacional de Pintura, Escultura y Grabado (""La Esmeralda"") and was a founding member of the Seminario de Cultura Mexicana. Kahlo's always-fragile health began to decline in the same decade. She had her first solo exhibition in Mexico in 1953, shortly before her death in 1954 at the age of 47.
Kahlo's work as an artist remained relatively unknown until the late 1970s, when her work was rediscovered by art historians and political activists. By the early 1990s, not only had she become a recognized figure in art history, but she was also regarded as an icon for Chicanos, the feminism movement, and the LGBTQ+ movement. Kahlo's work has been celebrated internationally as emblematic of Mexican national and indigenous traditions and by feminists for what is seen as its uncompromising depiction of the female experience and form.",https://en.wikipedia.org/wiki/Frida_Kahlo
789,792,Moldova,70,Maia Sandu,http://www.wikidata.org/entity/Q15071069,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,wd:Q15071069,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,40796149,President of Moldova,"Maia Sandu (Romanian pronunciation: [ˈmaja ˈsandu], born 24 May 1972) is a Moldovan politician and the current president of Moldova since 24 December 2020. 
Sandu is the former leader of the Party of Action and Solidarity (PAS) and former prime minister of Moldova from 8 June 2019 until 14 November 2019. On 12 November 2019, Sandu's government collapsed after a vote of no-confidence, with 63 (deputies from PSRM and PDM) of the 101 MPs having voted on the motion submitted by the PSRM. Sandu was Minister of Education from 2012 to 2015 and member of the Parliament of Moldova from 2014 to 2015, and again in 2019.She was selected as the joint candidate of the pro-European PPDA and PAS parties for president of Moldova in the 2016 election. However, she was defeated in the subsequent runoff by the pro-Russian PSRM candidate, Igor Dodon, losing the popular vote by a margin of 48% to 52%. In a rematch between Dodon and Sandu in the 2020 election, she won the subsequent runoff, 58% to 42%, defeating Dodon. She is the first female president of Moldova.

",https://en.wikipedia.org/wiki/Maia_Sandu
790,793,Monaco,110,Grace Kelly,http://www.wikidata.org/entity/Q3925,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),wd:Q3925,42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),42620,American actress and Princess consort of Monaco (1929-1982),"Grace Patricia Kelly (November 12, 1929 – September 14, 1982) was an American actress who, after starring in several significant films in the early to mid-1950s, became Princess of Monaco by marrying Prince Rainier III in April 1956.
Kelly was born into a well-known Catholic family of Irish and German origin in the U.S. city of Philadelphia. After graduating from the American Academy of Dramatic Arts in 1949, Kelly began appearing in New York City theatrical productions and over 40 live drama productions broadcast in early 1950s Golden Age of Television. She gained stardom from her performance in John Ford's adventure-romance Mogambo (1953), for which she was nominated for an Academy Award for Best Supporting Actress. She won the Academy Award for Best Actress for her performance in the drama The Country Girl (1954). Other notable works include the western High Noon (1952), the romantic comedy High Society (1956), and three consecutive Alfred Hitchcock suspense thrillers: Dial M for Murder (1954), Rear Window (1954), and To Catch a Thief (1955). Kelly worked with some of the most prominent leading men of the era, including Gary Cooper, Clark Gable, Ray Milland, James Stewart, Bing Crosby, William Holden, Cary Grant, Alec Guinness, and Frank Sinatra.
Kelly retired from acting at age 26 to marry Rainier, and began her duties as Princess of Monaco. Hitchcock hoped that she would appear in more of his films which required an ""icy blonde"" lead actress, but he was unable to coax her out of retirement. The Prince and Princess had three children: Princess Caroline, Prince Albert, and Princess Stéphanie. Princess Grace retained her link to America by her dual U.S. and Monégasque citizenship. Her charity work focused on young children and the arts, establishing the Princess Grace Foundation to support local artisans in 1964. Her organization for children's rights, AMADE Mondiale, gained consultive status within UNICEF and UNESCO. Her final film contribution was in 1977 to the documentary The Children of Theatre Street directed by Robert Dornhelm, where she served as the narrator. The documentary was nominated for an Academy Award for Best Documentary Feature.
Kelly died at the age of 52 at Monaco Hospital on September 14, 1982, from injuries sustained in a car crash the previous day.  She is listed 13th among the American Film Institute's 25 Greatest Female Stars of Classical Hollywood Cinema. Her son, Prince Albert, helped establish the Princess Grace Awards in 1984 to recognize emerging performers in film, theatre, and dance.",https://en.wikipedia.org/wiki/Grace_Kelly
792,795,Mongolia,39,Börte,http://www.wikidata.org/entity/Q234805,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,wd:Q234805,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,489477,First wife of Genghis Khan,"Börte (simply Borte, also Börte Üjin; Cyrillic: Бөртэ үжин; c. 1161–1230) was the first wife of Temüjin, who became Genghis Khan, the founder of the Mongol Empire. Börte became the head of the first Court of Genghis Khan, and Grand Empress of his Empire. Little is known about the details of her early life, but she was betrothed to Genghis at a young age, married at seventeen, and then kidnapped by a rival tribe. Her husband’s daring rescue of her may have been one of the key events that started him on his path to becoming a conqueror. She gave birth to four sons and five daughters, who, along with their own descendants, were the key bloodline that further expanded the Mongol Empire.
Borte and Hoelun, Genghis's mother, were some of the most influential and important people in the Khan's life.",https://en.wikipedia.org/wiki/B%C3%B6rte
812,815,Montenegro,40,Elena of Montenegro,http://www.wikidata.org/entity/Q181530,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),wd:Q181530,5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),5010172,Queen consort of Italy (1900-1946),"Elena of Montenegro (Serbian: Јелена Петровић Његош / Jelena Petrović Njegoš; 8 January 1873 – 28 November 1952) was the daughter of King Nicholas I of Montenegro and his wife, Queen Milena. She was Queen of Italy from 1900 until 1946 as wife of King Victor Emmanuel III of Italy.

Due to the Fascist conquest of the Ethiopian Empire in 1936 and Albania in 1939, Queen Elena briefly used the claimed titles of Empress of Ethiopia and Queen of Albania; both titles were dropped when her husband formally renounced them in 1943. With the opening of the case for her canonization, she was made Servant of God by the Catholic Church in 2001.",https://en.wikipedia.org/wiki/Elena_of_Montenegro
832,835,Morocco,38,Fatema Mernissi,http://www.wikidata.org/entity/Q242376,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,wd:Q242376,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,295871,Moroccan feminist writer and sociologist,"Fatema Mernissi (Arabic: فاطمة مرنيسي, romanized: Fāṭima Marnīsī; 27 September 1940 – 30 November 2015) was a Moroccan feminist writer and sociologist.",https://en.wikipedia.org/wiki/Fatema_Mernissi
852,855,Mozambique,41,Luísa Diogo,http://www.wikidata.org/entity/Q236020,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,wd:Q236020,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,476181,Mozambican politician,"Luísa Dias Diogo (born 11 April 1958) is a Mozambican politician who served as Prime Minister of Mozambique from February 2004 to January 2010. She replaced Pascoal Mocumbi, who had been Prime Minister for the previous nine years. Before becoming Prime Minister, she was Minister of Planning and Finance, and she continued to hold that post until February 2005. She was the first female Prime Minister of Mozambique. Diogo represents the party FRELIMO, which has ruled the country since independence in 1975.",https://en.wikipedia.org/wiki/Lu%C3%ADsa_Diogo
